noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG
brake,12,concrete,3.839374961,5,1,4,2,4.44,4.8529,569.5294118,0.87,5.657
hint,12,abstract,3.948588757,4,1,4,4,2.33,5.7941,567.6666667,1.27,3.0
baggage,13,concrete,3.48602089,7,2,5,2,4.43,3.8065,560.9,1.1,6.0
gloom,13,abstract,3.603684248,5,1,4,4,1.86,2.8182,546.1578947,1.09,3.788
daughter,14,concrete,4.971346491,8,2,4,2,4.79,6.4118,535.55,0.5,5.879
reason,14,abstract,5.18989032,6,2,5,4,1.93,6.303,537.2,1.36,3.029
chess,15,concrete,3.905518741,5,1,3,4,4.7,5.3529,549.0540541,0.67,6.353
mercy,15,abstract,4.02370735,5,2,4,6,1.57,6.2286,569.5789474,0.73,3.229
cooker,16,concrete,3.787050886,6,2,4,10,4.22,5.25,646.6666667,0.97,6.514
mode,16,abstract,3.838750526,4,1,3,12,2.46,5.0,621.8611111,1.45,2.636
fireworks,17,concrete,3.900398238,9,2,7,4,4.86,7.3125,565.6578947,0.36,6.839
blessing,17,abstract,3.814331091,8,2,6,2,2.19,8.1143,549.0540541,1.27,3.576
rubble,18,concrete,3.769454077,6,2,5,13,4.56,3.7879,632.8333333,0.89,5.938
bland,18,abstract,3.498509451,5,1,5,13,2.38,3.0938,611.6285714,1.42,2.656
slave,19,concrete,3.86746218,5,1,4,2,4.38,1.5538,496.8157895,0.9,5.563
sadness,19,abstract,3.721860243,7,2,6,2,1.82,1.8485,537.4736842,1.06,4.125
ground,20,concrete,5.189751101,6,1,5,2,4.77,5.4333,481.5128205,0.57,6.355
value,20,abstract,5.004641466,5,2,5,4,1.62,6.3939,512.45,0.88,2.563
night,21,concrete,5.650836325,5,1,3,2,4.52,5.9063,508.8421053,0.91,6.588
chance,21,abstract,5.455984759,6,1,4,4,1.64,6.4857,531.3,0.99,2.636
squash,22,concrete,3.924392684,6,1,5,2,4.7,4.1471,558.025,0.78,5.143
fuss,22,abstract,3.953654177,4,1,3,2,2.43,3.2121,589.7297297,1.41,3.677
packet,23,concrete,3.895216641,6,2,5,6,4.46,5.1818,535.675,0.79,5.909
myth,23,abstract,3.948588757,4,1,3,8,2.17,5.0286,567.8648649,1.36,3.194
bomb,24,concrete,4.491129061,4,1,3,2,4.84,1.5938,504.2777778,0.37,6.273
shame,24,abstract,4.723655863,5,1,3,4,2.24,2.2121,544.7567568,1.46,3.412
stab,25,concrete,3.873560698,4,1,4,4,4.07,1.8529,555.5135135,1.14,5.788
sin,25,abstract,3.95676056,3,1,3,2,1.85,2.0588,531.1081081,1.2,3.618
beer,26,concrete,4.47410407,4,1,3,4,4.88,5.5429,567.6388889,0.33,6.714
fame,26,abstract,4.182307877,4,1,3,4,1.96,6.0,567.65,1.08,4.063
book,27,concrete,5.209658815,4,1,3,2,4.9,6.7879,521.3611111,0.31,6.643
care,27,abstract,5.340331854,4,1,3,2,2.33,7.7188,524.3714286,1.14,3.212
monarch,28,concrete,3.847718122,7,2,6,6,4.14,5.3235,606.7142857,1.27,5.818
glamour,28,abstract,3.877579314,7,2,5,4,2.11,6.1515,560.3947368,1.15,4.0
visa,29,concrete,3.649495418,4,2,4,12,4.38,5.4194,528.175,0.94,4.645
lust,29,abstract,3.375163623,4,1,4,10,2.15,5.5429,522.2162162,1.29,4.171
sheepskin,30,concrete,2.528244639,9,2,7,4,4.78,5.0303,648.1891892,0.42,6.143
thrifty,30,abstract,2.704335898,7,2,6,6,1.92,5.875,671.8181818,0.89,2.879
item,31,concrete,4.699626892,4,2,4,6,4.41,5.1471,538.5833333,0.87,4.647
limit,31,abstract,4.437989396,5,2,5,4,2.28,4.1471,580.1794872,1.33,2.529
prison,32,concrete,4.813371544,6,2,6,2,4.68,1.9032,510.3,0.67,6.0
trouble,32,abstract,5.082519966,7,2,6,4,2.25,2.3235,507.5945946,1.32,3.429
trophy,33,concrete,4.374436161,6,2,5,2,4.89,7.5429,579.825,0.42,6.559
skill,33,abstract,4.397907677,5,1,4,4,2.17,7.6129,574.05,1.29,3.419
shroud,34,concrete,2.838750526,6,1,4,12,4.34,4.1786,634.9714286,1.17,4.167
jargon,34,abstract,3.115691475,6,2,6,12,2.07,3.7333,637.9166667,1.13,2.719
pheasant,35,concrete,3.554874023,8,2,6,8,4.75,4.9412,645.25,0.59,6.177
inkling,35,abstract,3.375163623,7,2,6,10,2.25,5.6563,620.7741935,1.46,2.206
chef,36,concrete,4.69521426,4,1,3,6,4.3,5.8438,566.1111111,1.29,6.486
option,36,abstract,4.60502425,6,2,5,8,2.39,6.0857,519.0263158,1.45,3.118
dog,37,concrete,5.168214255,3,1,3,2,4.85,7.0667,525.175,0.46,6.889
truth,37,abstract,4.909890512,5,1,4,2,1.96,7.6857,503.9210526,1.4,2.677
groom,38,concrete,3.818933801,5,1,4,4,4.54,6.3333,570.2105263,0.96,5.886
notion,38,abstract,3.933279464,6,2,5,6,1.93,5.6774,568.5384615,1.01,2.219
dinner,39,concrete,4.770296194,6,2,4,2,4.5,6.8182,508.725,0.83,6.314
safety,39,abstract,4.846277268,6,2,5,2,2.37,7.0294,525.7368421,1.31,3.441
bread,40,concrete,4.691151525,5,1,4,2,4.92,5.7419,538.7837838,0.28,6.8
reserve,40,abstract,4.629425435,7,2,5,4,2.29,5.2581,548.0540541,1.41,3.281
battle,41,concrete,4.937082943,6,2,5,2,4.0,2.25,544.0277778,0.9,5.686
mistake,41,abstract,4.791637005,7,2,6,2,1.97,2.6667,561.1315789,1.0,3.429
clergy,42,concrete,3.362253707,6,2,5,10,4.03,4.7273,629.0571429,1.3,5.516
plight,42,abstract,3.520512189,6,1,4,10,2.04,3.7667,677.3428571,1.4,2.727
salt,43,concrete,4.693340514,4,1,4,2,4.89,5.0,512.4594595,0.32,6.324
effort,43,abstract,4.764848578,6,2,4,4,2.33,5.8788,555.2368421,1.33,3.353
lice,44,concrete,3.286800333,4,1,3,6,4.73,2.3,578.3589744,0.53,5.807
vulgar,44,abstract,3.236065201,6,2,5,6,1.97,2.1515,628.075,0.98,2.969
puffin,45,concrete,3.298880099,6,2,5,13,4.38,5.4118,609.4,1.38,6.143
proxy,45,abstract,3.047918244,5,2,6,12,2.07,4.6296,648.9459459,1.18,2.286
throne,46,concrete,4.000226254,6,1,4,4,4.64,5.9714,590.2972973,0.99,6.471
method,46,abstract,4.12387052,6,2,5,6,2.41,5.75,571.925,1.43,2.882
lettuce,47,concrete,3.813669561,7,2,5,2,4.97,5.5,574.9189189,0.19,6.794
fiction,47,abstract,4.10549983,7,2,6,4,2.14,5.697,596.7179487,1.48,3.281
hedgehog,48,concrete,3.721860243,8,2,6,13,4.93,6.2143,661.2777778,0.25,6.821
quantum,48,abstract,3.505968244,7,2,7,12,1.9,5.5,662.7428571,1.26,2.121
resort,49,concrete,4.112708899,6,2,6,6,4.3,5.8065,583.9736842,0.95,4.387
status,49,abstract,4.383532138,6,2,6,8,2.24,5.7059,546.8461538,1.43,3.471
