,noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD,denotation,adjective,phrase
55,scab,10,concrete,2.97219753,noun,4,6.65,4.71,0.53,privative,fabricated,fabricated scab
56,scab,10,concrete,2.97219753,noun,4,6.65,4.71,0.53,baseline,qxsw,qxsw scab
57,unease,10,abstract,3.120617363,noun,6,8.42,1.93,1.03,subsective,good,good unease
58,unease,10,abstract,3.120617363,noun,6,8.42,1.93,1.03,privative,fictitious,fictitious unease
59,unease,10,abstract,3.120617363,noun,6,8.42,1.93,1.03,baseline,ptrgsbkv,ptrgsbkv unease
60,dye,11,concrete,3.485316438,noun,3,7.56,4.58,0.76,subsective,actual,actual dye
61,dye,11,concrete,3.485316438,noun,3,7.56,4.58,0.76,privative,artificial,artificial dye
62,dye,11,concrete,3.485316438,noun,3,7.56,4.58,0.76,baseline,ptrgsbkv,ptrgsbkv dye
63,envy,11,abstract,3.63674997,noun,4,8.37,1.69,0.85,subsective,genuine,genuine envy
64,envy,11,abstract,3.63674997,noun,4,8.37,1.69,0.85,privative,fictional,fictional envy
65,envy,11,abstract,3.63674997,noun,4,8.37,1.69,0.85,baseline,mghljkqr,mghljkqr envy
66,trophy,12,concrete,4.374436161,noun,6,5.55,4.89,0.42,subsective,typical,typical trophy
67,trophy,12,concrete,4.374436161,noun,6,5.55,4.89,0.42,privative,spurious,spurious trophy
68,trophy,12,concrete,4.374436161,noun,6,5.55,4.89,0.42,baseline,tqvgqrz,tqvgqrz trophy
69,mood,12,abstract,4.502458229,noun,4,6.58,1.75,0.97,subsective,bad,bad mood
70,mood,12,abstract,4.502458229,noun,4,6.58,1.75,0.97,privative,fake,fake mood
71,mood,12,abstract,4.502458229,noun,4,6.58,1.75,0.97,baseline,rjdnw,rjdnw mood
72,coal,13,concrete,4.322589141,noun,4,6.65,4.66,0.86,subsective,authentic,authentic coal
73,coal,13,concrete,4.322589141,noun,4,6.65,4.66,0.86,privative,counterfeit,counterfeit coal
74,coal,13,concrete,4.322589141,noun,4,6.65,4.66,0.86,baseline,htbqzylm,htbqzylm coal
75,manner,13,abstract,4.173291058,noun,6,6.83,1.62,0.8,subsective,actual,actual manner
76,manner,13,abstract,4.173291058,noun,6,6.83,1.62,0.8,privative,artificial,artificial manner
77,manner,13,abstract,4.173291058,noun,6,6.83,1.62,0.8,baseline,rvqf,rvqf manner
78,saline,14,concrete,3.19404628,noun,6,11.71,4.48,0.94,subsective,typical,typical saline
79,saline,14,concrete,3.19404628,noun,6,11.71,4.48,0.94,privative,spurious,spurious saline
80,saline,14,concrete,3.19404628,noun,6,11.71,4.48,0.94,baseline,wvcnz,wvcnz saline
81,remorse,14,abstract,3.289021793,noun,7,11.11,2.0,1.05,subsective,bad,bad remorse
82,remorse,14,abstract,3.289021793,noun,7,11.11,2.0,1.05,privative,fake,fake remorse
83,remorse,14,abstract,3.289021793,noun,7,11.11,2.0,1.05,baseline,rjdnw,rjdnw remorse
84,dress,15,concrete,4.847258794,noun,5,4.05,4.93,0.26,subsective,unique,unique dress
85,dress,15,concrete,4.847258794,noun,5,4.05,4.93,0.26,privative,virtual,virtual dress
86,dress,15,concrete,4.847258794,noun,5,4.05,4.93,0.26,baseline,zrtqgfplh,zrtqgfplh dress
87,mistake,15,abstract,4.791637005,noun,7,5.78,1.97,1.0,subsective,typical,typical mistake
88,mistake,15,abstract,4.791637005,noun,7,5.78,1.97,1.0,privative,spurious,spurious mistake
89,mistake,15,abstract,4.791637005,noun,7,5.78,1.97,1.0,baseline,mghljkqr,mghljkqr mistake
90,ground,16,concrete,5.189751101,noun,6,4.89,4.77,0.57,subsective,special,special ground
91,ground,16,concrete,5.189751101,noun,6,4.89,4.77,0.57,privative,past,past ground
92,ground,16,concrete,5.189751101,noun,6,4.89,4.77,0.57,baseline,mtpv,mtpv ground
93,times,16,abstract,5.45582633,noun,5,6.7,2.07,1.16,subsective,bad,bad times
94,times,16,abstract,5.45582633,noun,5,6.7,2.07,1.16,privative,fake,fake times
95,times,16,abstract,5.45582633,noun,5,6.7,2.07,1.16,baseline,mtpv,mtpv times
96,rivet,17,concrete,2.822840525,noun,5,12.83,4.5,1.0,subsective,true,true rivet
97,rivet,17,concrete,2.822840525,noun,5,12.83,4.5,1.0,privative,phony,phony rivet
98,rivet,17,concrete,2.822840525,noun,5,12.83,4.5,1.0,baseline,htbqzylm,htbqzylm rivet
99,elation,17,abstract,2.976769093,noun,7,11.41,2.08,1.2,subsective,average,average elation
100,elation,17,abstract,2.976769093,noun,7,11.41,2.08,1.2,privative,fabricated,fabricated elation
101,elation,17,abstract,2.976769093,noun,7,11.41,2.08,1.2,baseline,bxfjwts,bxfjwts elation
102,stitch,18,concrete,3.597194048,noun,6,7.39,4.32,0.77,subsective,authentic,authentic stitch
103,stitch,18,concrete,3.597194048,noun,6,7.39,4.32,0.77,privative,counterfeit,counterfeit stitch
104,stitch,18,concrete,3.597194048,noun,6,7.39,4.32,0.77,baseline,fxldmr,fxldmr stitch
105,intent,18,abstract,3.853192494,noun,6,9.37,1.52,0.91,subsective,important,important intent
106,intent,18,abstract,3.853192494,noun,6,9.37,1.52,0.91,privative,former,former intent
107,intent,18,abstract,3.853192494,noun,6,9.37,1.52,0.91,baseline,htbqzylm,htbqzylm intent
108,haircut,19,concrete,3.729159482,noun,7,4.05,4.77,0.71,subsective,actual,actual haircut
109,haircut,19,concrete,3.729159482,noun,7,4.05,4.77,0.71,privative,artificial,artificial haircut
110,haircut,19,concrete,3.729159482,noun,7,4.05,4.77,0.71,baseline,tqvgqrz,tqvgqrz haircut
111,sadness,19,abstract,3.721860243,noun,7,5.0,1.82,1.06,subsective,important,important sadness
112,sadness,19,abstract,3.721860243,noun,7,5.0,1.82,1.06,privative,former,former sadness
113,sadness,19,abstract,3.721860243,noun,7,5.0,1.82,1.06,baseline,rvqf,rvqf sadness
114,bowler,20,concrete,3.553670991,noun,6,10.58,4.45,0.95,subsective,good,good bowler
115,bowler,20,concrete,3.553670991,noun,6,10.58,4.45,0.95,privative,fictitious,fictitious bowler
116,bowler,20,concrete,3.553670991,noun,6,10.58,4.45,0.95,baseline,zbxlv,zbxlv bowler
