"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","Length","Syllables.CMU","Phonemes.CMU","AoA.BrysbaertBiemiller","CNC.Brysbaert","VAL.Glasgow_Norms","RT.BLP"
160,"Abstract","A2","truce",3.188496115,5,1,4,6,2.47,6.9677,656.7058824
160,"Concrete","A2","bongo",3.038158407,5,2,5,6,4.77,6.0303,648.6969697
161,"Abstract","A2","awe",3.777442996,3,1,1,6,1.89,7.3429,560.85
161,"Concrete","A2","pearl",3.998715663,5,1,3,4,4.87,6.5758,559.35
162,"Abstract","A1","cure",4.138528952,4,1,4,4,2.41,8,553.9166667
162,"Concrete","A1","hug",4.130783368,3,1,3,2,4.14,8.2059,536.775
163,"Abstract","A2","plea",3.634755503,4,1,3,8,2.39,3.6,649.972973
163,"Concrete","A2","gorge",3.522458246,5,1,4,6,4.15,4.4839,655.03125
164,"Abstract","A2","treason",3.30426176,7,2,6,6,2.03,1.8182,615.5789474
164,"Concrete","A2","dungeon",3.136644808,7,2,6,4,4.32,2.3636,567.1081081
165,"Abstract","A2","hardship",3.521810529,8,2,7,4,1.79,2.0606,659.2285714
165,"Concrete","A2","missile",3.664218675,7,2,5,4,4.83,2.3438,615.3589744
166,"Abstract","A2","instinct",4.006853569,8,2,8,8,2,6.697,627.9166667
166,"Concrete","A2","portrait",4.183298286,8,2,7,6,4.9,5.7576,619.7567568
167,"Abstract","A2","woe",3.174302222,3,1,2,8,1.96,2.4194,612.9444444
167,"Concrete","A2","slum",3.320017822,4,1,4,6,4.03,2.25,634.1081081
168,"Abstract","A1","failure",4.432371224,7,2,5,4,2.08,1.7222,520
168,"Concrete","A1","grave",4.198162846,5,1,4,2,4.56,2.4242,524.75
169,"Abstract","A1","wrath",3.409226269,5,1,3,12,2.42,2.6364,627.3243243
169,"Concrete","A1","syringe",3.122246988,7,2,5,10,4.81,3.4375,675.1944444
