item_nr,participant,block_nr,trial_nr,set_nr,word1,word2,probe,response,RT,hit,Unnamed: 10,condition,experiment,zipf_adj,zipf_noun,freq_dep,freq_seq,length_adj,length_noun,composition,denotation,concreteness,specificity
752,34,1,1,51,seasonal,illness,,,,,,mid,specificity,3.74,4.12,,,8,7,phrase,,,mid
75,34,1,2,13,mtpv,baggage,,,,,,concrete_baseline,compose,0.0,3.49,0.0,0.0,4,7,word,baseline,concrete,
156,34,1,3,26,tqvgqrz,skill,Do musicians have it?,Rb,1.3344340324401855,1.0,,abstract_baseline,compose,0.0,4.4,0.0,0.0,7,5,word,baseline,abstract,
232,34,1,4,39,good,romance,,,,,,abstract_subsective,compose,6.35,4.09,0.0,0.0,4,7,phrase,subsective,abstract,
684,34,1,5,28,qxsw,shoplifting,,,,,,high,specificity,0.0,3.28,,,4,11,word,,,high
497,34,1,6,83,mock,moment,,,,,,abstract_privative,compose,3.74,5.57,0.0,0.0,4,6,phrase,privative,abstract,
618,34,1,7,6,fxldmr,owl,Does it have feathers?,Rb,1.1429438591003418,1.0,,high,specificity,0.0,4.07,,,6,3,word,,,high
392,34,1,8,66,fictitious,froth,,,,,,concrete_privative,compose,2.91,3.01,0.0,0.0,10,5,phrase,privative,concrete,
291,34,1,9,49,htbqzylm,port,,,,,,concrete_baseline,compose,0.0,4.49,0.0,0.0,8,4,word,baseline,concrete,
880,34,1,10,94,vpbyzkgrf,vehicle,,,,,,low,specificity,0.0,4.52,,,9,7,word,,,low
619,34,1,11,7,vpbyzkgrf,bird,,,,,,low,specificity,0.0,4.85,,,9,4,word,,,low
688,34,1,12,30,mghljkqr,device,,,,,,low,specificity,0.0,4.27,,,8,6,word,,,low
790,34,1,13,64,xkq,planet,,,,,,low,specificity,0.0,4.66,,,3,6,word,,,low
438,34,1,14,73,rjdnw,nuisance,,,,,,abstract_baseline,compose,0.0,3.7,0.0,0.0,5,8,word,baseline,abstract,
151,34,1,15,26,genuine,trophy,Is it shiny?,Rb,1.7852280139923096,1.0,,concrete_subsective,compose,4.37,4.37,0.0,0.0,7,6,phrase,subsective,concrete,
400,34,1,16,67,new,thrill,,,,,,abstract_subsective,compose,5.98,3.86,0.0,0.0,3,6,phrase,subsective,abstract,
698,34,1,17,33,guide,dog,Is it disobedient? ,Ry,1.1559109687805176,1.0,,mid,specificity,4.66,5.17,,,5,3,phrase,,,mid
719,34,1,18,40,fuzzy,fruit,,,,,,mid,specificity,3.28,4.73,,,5,5,phrase,,,mid
548,34,1,19,92,fabricated,bongo,Can it be used as a prop on stage?,Rb,1.7243895530700684,1.0,,concrete_privative,compose,2.79,3.04,0.0,0.0,10,5,phrase,privative,concrete,
312,34,1,20,52,mtpv,language,,,,,,abstract_baseline,compose,0.0,4.82,0.0,0.0,4,8,word,baseline,abstract,
600,34,1,21,100,fxldmr,wrath,,,,,,abstract_baseline,compose,0.0,3.41,0.0,0.0,6,5,word,baseline,abstract,
879,34,1,22,93,htbqzylm,pumpkin,,,,,,high,specificity,0.0,3.79,,,8,7,word,,,high
700,34,1,23,34,fxldmr,fish,Does it have fins?,Rb,1.0372285842895508,1.0,,low,specificity,0.0,5.19,,,6,4,word,,,low
549,34,1,24,92,rvqf,bongo,,,,,,concrete_baseline,compose,0.0,3.04,0.0,0.0,4,5,word,baseline,concrete,
350,34,1,25,59,fake,lynx,,,,,,concrete_privative,compose,4.51,3.16,0.0,0.0,4,4,phrase,privative,concrete,
245,34,1,26,41,virtual,progress,,,,,,abstract_privative,compose,3.63,4.68,0.0,0.0,7,8,phrase,privative,abstract,
448,34,1,27,75,TRUE,health,,,,,,abstract_subsective,compose,5.33,5.14,0.0,0.0,4,6,phrase,subsective,abstract,
613,34,1,28,5,tqvgqrz,bird,,,,,,low,specificity,0.0,4.85,,,7,4,word,,,low
818,34,1,29,73,tomato,sauce,,,,,,mid,specificity,4.27,4.79,,,6,5,phrase,,,mid
792,34,1,30,64,fxldmr,Saturn,,,,,,high,specificity,0.0,3.55,,,6,6,word,,,high
280,34,1,31,47,authentic,greed,,,,,,abstract_subsective,compose,3.73,3.63,0.0,0.0,9,5,phrase,subsective,abstract,
72,34,1,32,12,qxsw,blunder,,,,,,abstract_baseline,compose,0.0,3.02,0.0,0.0,4,7,word,baseline,abstract,
114,34,1,33,19,ptrgsbkv,value,,,,,,abstract_baseline,compose,0.0,5.0,0.0,0.0,8,5,word,baseline,abstract,
874,34,1,34,92,ptrgsbkv,vegetable,,,,,,low,specificity,0.0,4.18,,,8,9,word,,,low
259,34,1,35,44,authentic,midwife,,,,,,concrete_subsective,compose,3.73,3.59,0.0,0.0,9,7,phrase,subsective,concrete,
653,34,1,36,18,German,car,,,,,,mid,specificity,4.76,5.44,,,6,3,phrase,,,mid
210,34,1,37,35,ptrgsbkv,fiction,,,,,,abstract_baseline,compose,0.0,4.11,0.0,0.0,8,7,word,baseline,abstract,
498,34,1,38,83,mghljkqr,moment,,,,,,abstract_baseline,compose,0.0,5.57,0.0,0.0,8,6,word,baseline,abstract,
323,34,1,39,54,imaginary,consent,,,,,,abstract_privative,compose,3.56,3.86,0.0,0.0,9,7,phrase,privative,abstract,
166,34,1,40,28,current,option,,,,,,abstract_subsective,compose,4.81,4.61,0.0,0.0,7,6,phrase,subsective,abstract,
171,34,1,41,29,kmlsdjtw,dog,,,,,,concrete_baseline,compose,0.0,5.17,0.0,0.0,8,3,word,baseline,concrete,
496,34,1,42,83,perfect,moment,,,,,,abstract_subsective,compose,5.28,5.57,0.0,0.0,7,6,phrase,subsective,abstract,
647,34,1,43,16,residential,building,Does it have wheels?,Ry,1.2616281509399414,1.0,,mid,specificity,3.95,5.24,,,11,8,phrase,,,mid
616,34,1,44,6,mtpv,bird,,,,,,low,specificity,0.0,4.85,,,4,4,word,,,low
727,34,1,45,43,htbqzylm,garment,,,,,,low,specificity,0.0,3.29,,,8,7,word,,,low
