participant,block_nr,trial_nr,set_nr,item_nr,word1,word2,probe,response,RT,hit,Unnamed: 10
16,1,148,55,325,real,traffic,,,,,
16,1,149,79,835,htbqzylm,sound,,,,,
16,1,150,11,64,special,caution,,,,,
16,1,151,46,737,blue,gem,Is it valuable?,Rb,1.075124979019165,1.0,
16,1,152,7,42,xkq,respect,,,,,
16,1,153,38,712,fxldmr,fruit,,,,,
16,1,154,27,160,real,inkling,,,,,
16,1,155,99,896,violent,weather,,,,,
16,1,156,72,815,female,ruler,,,,,
16,1,157,23,138,zrtqgfplh,rating,,,,,
16,1,158,58,772,zbxlv,mammal,,,,,
16,1,159,13,638,religious,building,,,,,
16,1,160,12,634,ptrgsbkv,building,,,,,
16,1,161,39,229,new,concert,,,,,
16,1,162,40,236,fictitious,wreck,,,,,
16,1,163,81,843,zrtqgfplh,icicle,Is it cold?,Rb,1.150921106338501,1.0,
16,1,164,92,551,FALSE,truce,Is it enviable?,Ry,1.5468616485595703,1.0,
16,1,165,18,654,htbqzylm,BMW,,,,,
16,1,166,2,7,special,poison,Is it safe to consume? ,Ry,0.9335036277770996,1.0,
16,1,167,87,860,purple,vegetable,,,,,
16,1,168,41,723,zbxlv,watermelon,,,,,
16,1,169,8,46,TRUE,mischief,,,,,
16,1,170,16,648,mtpv,house,,,,,
16,1,171,39,717,fxldmr,grape,,,,,
16,1,172,33,698,guide,dog,Is it disobedient? ,Ry,1.1329686641693115,1.0,
16,1,173,69,409,current,mosque,,,,,
16,1,174,44,731,green,gem,,,,,
16,1,175,77,460,old,ordeal,,,,,
16,1,176,91,541,bad,smile,,,,,
16,1,177,99,897,xkq,storm,,,,,
16,1,178,39,716,purple,fruit,Does it have petals?,Ry,2.3447282314300537,1.0,
16,1,179,43,728,outer,garment,,,,,
16,1,180,73,438,rjdnw,nuisance,,,,,
16,2,1,95,567,mghljkqr,dungeon,Is it light and airy?,Ry,0.9594225883483888,1.0,
16,2,2,39,233,fictitious,romance,,,,,
16,2,3,87,522,tqvgqrz,peace,,,,,
16,2,4,86,857,tined,utensil,,,,,
16,2,5,40,718,zrtqgfplh,fruit,,,,,
16,2,6,15,86,former,chess,,,,,
16,2,7,68,405,bxfjwts,vessel,,,,,
16,2,8,95,565,actual,dungeon,,,,,
16,2,9,13,637,mtpv,building,,,,,
16,2,10,38,225,mghljkqr,crab,Has it got a hard shell?,Rb,0.8666715621948242,1.0,
16,2,11,15,89,past,mercy,,,,,
16,2,12,96,572,imaginary,missile,Can it be used in a battle?,Ry,1.7283568382263184,1.0,
16,2,13,28,167,FALSE,option,,,,,
16,2,14,80,839,lustrous,sphere,,,,,
16,2,15,43,729,ypdcglkc,jacket,,,,,
16,2,16,37,220,actual,outcome,,,,,
16,2,17,17,101,former,blessing,,,,,
16,2,18,33,699,zrtqgfplh,Labrador,,,,,
16,2,19,51,751,rjdnw,illness,,,,,
16,2,20,87,520,average,peace,,,,,
16,2,21,92,550,current,truce,,,,,
16,2,22,100,595,genuine,syringe,,,,,
16,2,23,55,329,counterfeit,fault,,,,,
16,2,24,27,158,imaginary,pheasant,,,,,
16,2,25,26,678,zbxlv,chef,,,,,
16,2,26,10,55,actual,barrier,,,,,
16,2,27,78,465,vpbyzkgrf,shotgun,Is it safe?,Ry,1.4351458549499512,1.0,
16,2,28,51,301,bad,mother,,,,,
16,2,29,82,488,fabricated,vomit,,,,,
16,2,30,53,317,mock,hatred,Is it despicable?,,3.0009381771087646,0.0,
16,2,31,62,784,tqvgqrz,odour,,,,,
16,2,32,14,81,mghljkqr,daughter,,,,,
16,2,33,82,844,mtpv,tool,,,,,
16,2,34,74,822,mghljkqr,bust,,,,,
16,2,35,87,861,kmlsdjtw,aubergine,,,,,
16,2,36,67,800,beauty,product,,,,,
16,2,37,9,54,ptrgsbkv,faith,,,,,
16,2,38,54,762,wvcnz,boy,,,,,
16,2,39,16,94,good,mode,,,,,
16,2,40,48,283,perfect,taste,,,,,
16,2,41,34,204,fxldmr,method,,,,,
16,2,42,2,605,hopping,amphibian,,,,,
16,2,43,88,528,wvcnz,strife,Is it absent in daily life?,Rb,2.026556968688965,0.0,
16,2,44,43,727,htbqzylm,garment,,,,,
16,2,45,12,68,virtual,beggar,Are they poor?,Rb,2.374622106552124,0.0,
16,2,46,93,554,hypothetical,hug,,,,,
16,2,47,37,218,spurious,pastry,,,,,
16,2,48,40,240,mghljkqr,curse,,,,,
16,2,49,58,348,wvcnz,pronoun,,,,,
16,2,50,11,66,htbqzylm,caution,,,,,
16,2,51,57,771,htbqzylm,hedgehog,Has it got spines?,Rb,1.3124752044677734,1.0,
16,2,52,67,398,fictional,swan,,,,,
16,2,53,43,256,new,pause,,,,,
16,2,54,61,782,magnetic,metal,,,,,
16,2,55,10,60,ypdcglkc,scandal,Is it morally dubious?,Rb,1.4929888248443604,1.0,
16,2,56,80,476,fake,click,,,,,
16,2,57,35,205,genuine,lettuce,,,,,
16,2,58,44,732,fxldmr,emerald,,,,,
16,2,59,93,877,ypdcglkc,vegetable,,,,,
16,2,60,70,417,qxsw,laughter,,,,,
16,2,61,7,39,kmlsdjtw,sunshine,,,,,
16,2,62,20,659,fast,cat,,,,,
16,2,63,5,29,artificial,pride,,,,,
16,2,64,10,630,zrtqgfplh,canoe,,,,,
16,2,65,95,883,bxfjwts,vehicle,Does it carry people?,Rb,0.9923336505889891,1.0,
16,2,66,100,900,qxsw,champagne,,,,,
16,2,67,23,133,special,forum,,,,,
16,2,68,92,876,rvqf,potato,,,,,
16,2,69,44,263,former,virtue,,,,,
16,2,70,13,76,new,gloom,,,,,
16,2,71,23,135,bxfjwts,forum,,,,,
16,2,72,11,631,fxldmr,boots,,,,,
16,2,73,54,760,rvqf,male,,,,,
16,2,74,90,538,authentic,issue,,,,,
16,2,75,4,612,mtpv,cardinal,,,,,
16,2,76,83,496,perfect,moment,,,,,
16,2,77,15,643,bxfjwts,building,,,,,
16,2,78,83,495,ptrgsbkv,children,,,,,
16,2,79,52,756,vpbyzkgrf,violin,,,,,
16,2,80,16,646,wvcnz,building,,,,,
16,2,81,3,13,average,sauce,,,,,
16,2,82,42,252,htbqzylm,output,,,,,
16,2,83,22,128,artificial,monarch,,,,,
16,2,84,48,287,FALSE,trust,,,,,
16,2,85,47,741,tqvgqrz,knob,,,,,
16,2,86,75,445,TRUE,girl,,,,,
16,2,87,81,842,frozen,stick,,,,,
16,2,88,41,245,virtual,progress,,,,,
16,2,89,10,57,ptrgsbkv,barrier,,,,,
16,2,90,68,408,ptrgsbkv,fate,,,,,
16,2,91,38,228,vpbyzkgrf,mood,,,,,
16,2,92,4,20,FALSE,band,Have they broken up?,Ry,2.7267065048217773,0.0,
16,2,93,56,766,mghljkqr,mammal,,,,,
16,2,94,73,434,imaginary,bomber,,,,,
16,2,95,90,536,artificial,court,,,,,
16,2,96,47,278,past,rash,,,,,
16,2,97,30,178,genuine,safety,,,,,
16,2,98,64,792,fxldmr,Saturn,,,,,
16,2,99,24,142,bad,limit,Does it apply now?,Ry,1.949783563613892,0.0,
16,2,100,7,621,tqvgqrz,penguin,,,,,
16,2,101,18,103,authentic,blister,,,,,
16,2,102,64,380,FALSE,fungus,,,,,
16,2,103,16,92,fake,cooker,,,,,
16,2,104,77,830,potato,snacks,,,,,
16,2,105,71,424,good,excuse,,,,,
16,2,106,4,19,current,band,,,,,
16,2,107,58,345,fxldmr,hydrant,Can you easily move it around? ,Ry,1.984691143035889,1.0,
16,2,108,41,244,unique,progress,,,,,
16,2,109,77,459,rjdnw,venom,,,,,
16,2,110,40,237,htbqzylm,wreck,,,,,
16,2,111,76,455,mythical,culture,,,,,
16,2,112,53,314,artificial,corpse,,,,,
16,2,113,98,586,special,woe,,,,,
16,2,114,69,414,rjdnw,verge,,,,,
16,2,115,62,786,zbxlv,stench,,,,,
16,2,116,15,85,important,chess,,,,,
16,2,117,28,166,current,option,,,,,
16,2,118,32,188,fake,battle,,,,,
16,2,119,93,879,htbqzylm,pumpkin,,,,,
16,2,120,1,601,mghljkqr,alloy,,,,,
16,2,121,49,747,qxsw,zebra,,,,,
16,2,122,57,341,fake,doctrine,,,,,
16,2,123,64,791,ringed,planet,,,,,
16,2,124,30,180,mtpv,safety,Is it to be neglected in a workplace?,Ry,1.187822341918945,1.0,
16,2,125,69,411,fxldmr,mosque,,,,,
16,2,126,64,381,kmlsdjtw,fungus,Does it grow in dry places?,Rb,1.7792398929595947,0.0,
16,2,127,65,386,phony,church,,,,,
16,2,128,73,817,ypdcglkc,sauce,,,,,
16,2,129,27,162,ypdcglkc,inkling,,,,,
16,2,130,23,668,striped,cat,,,,,
16,2,131,49,289,actual,port,,,,,
16,2,132,91,873,bxfjwts,pea,,,,,
16,2,133,65,388,good,risk,,,,,
16,2,134,88,524,spurious,ulcer,,,,,
16,2,135,97,578,imaginary,portrait,Is it valuable?,Ry,1.5737907886505127,1.0,
16,2,136,19,657,fxldmr,limousine,Is it typically flat?,Ry,2.090407133102417,0.0,
16,2,137,32,191,spurious,mistake,,,,,
16,2,138,56,334,TRUE,interest,,,,,
16,2,139,7,619,vpbyzkgrf,bird,,,,,
16,2,140,17,650,wooden,building,,,,,
16,2,141,28,163,average,chef,,,,,
16,2,142,60,779,light,meal,,,,,
16,2,143,33,197,hypothetical,effort,,,,,
16,2,144,33,194,mythical,salt,,,,,
16,2,145,98,894,rvqf,tractor,,,,,
16,2,146,36,213,zbxlv,street,,,,,
16,2,147,34,202,perfect,method,Is it efficient?,Rb,1.3942697048187256,1.0,
16,2,148,94,881,medical,vehicle,Is it fast?,Rb,1.0880892276763916,1.0,
16,2,149,5,30,rvqf,pride,Is it good to have too much of it?,Ry,1.6515815258026123,1.0,
16,2,150,79,473,FALSE,despair,,,,,
16,2,151,86,513,zbxlv,daylight,,,,,
16,2,152,53,318,rjdnw,hatred,,,,,
16,2,153,80,840,kmlsdjtw,pearl,,,,,
16,2,154,41,241,bad,mountain,,,,,
16,2,155,32,694,rvqf,dog,,,,,
16,2,156,93,556,typical,cure,Is it useful as medicine?,Rb,2.3616812229156494,1.0,
16,2,157,53,759,zrtqgfplh,whiskey,,,,,
16,2,158,21,123,rjdnw,beer,Is it efferverscent? ,Rb,1.2426762580871582,1.0,
16,2,159,41,246,vpbyzkgrf,progress,,,,,
16,2,160,56,333,rvqf,doctor,,,,,
16,2,161,2,9,wvcnz,poison,,,,,
16,2,162,31,691,rjdnw,diplomat,,,,,
16,2,163,26,154,perfect,skill,,,,,
16,2,164,37,217,typical,pastry,,,,,
16,2,165,37,219,ypdcglkc,pastry,,,,,
16,2,166,88,526,perfect,strife,,,,,
16,2,167,76,826,kmlsdjtw,shoe,,,,,
16,2,168,2,10,TRUE,terror,Is it good in a children's book?,Ry,1.844066143035889,1.0,
16,2,169,42,726,ptrgsbkv,apple,Is it stripy?,Ry,1.120999097824097,1.0,
16,2,170,49,291,htbqzylm,port,,,,,
16,2,171,8,45,rjdnw,reptile,,,,,
16,2,172,98,585,ptrgsbkv,slum,,,,,
16,2,173,81,482,counterfeit,audience,,,,,
16,2,174,38,223,new,crab,,,,,
16,2,175,92,874,ptrgsbkv,vegetable,,,,,
16,2,176,24,670,xkq,clothing,,,,,
16,2,177,58,774,qxsw,whale,,,,,
16,2,178,45,270,wvcnz,scheme,,,,,
16,2,179,59,354,xkq,allure,,,,,
16,2,180,77,462,zbxlv,ordeal,,,,,
16,3,1,3,15,vpbyzkgrf,sauce,,,,,
16,3,2,70,810,tqvgqrz,tortoise,,,,,
16,3,3,68,802,zbxlv,rank,,,,,
16,3,4,10,58,TRUE,scandal,Is it newsworthy?,Rb,0.9793798923492432,1.0,
16,3,5,6,618,fxldmr,owl,Does it have feathers?,Rb,0.7669470310211182,1.0,
16,3,6,58,773,marine,mammal,,,,,
16,3,7,1,602,brown,alloy,,,,,
16,3,8,79,469,typical,slime,,,,,
16,3,9,53,757,bxfjwts,liquor,,,,,
16,3,10,46,738,bxfjwts,sapphire,,,,,
16,3,11,97,577,old,portrait,,,,,
16,3,12,3,608,warm,bedding,Is it thin?,Ry,1.4840295314788818,1.0,
16,3,13,85,506,counterfeit,singer,,,,,
16,3,14,25,145,old,prison,,,,,
16,3,15,44,260,counterfeit,midwife,,,,,
16,3,16,35,705,zbxlv,daffodil,,,,,
16,3,17,29,685,wvcnz,crowd,,,,,
16,3,18,66,394,genuine,upkeep,,,,,
16,3,19,35,206,fictional,lettuce,,,,,
16,3,20,78,468,zrtqgfplh,sorrow,,,,,
16,3,21,19,110,mythical,ground,,,,,
16,3,22,41,722,juicy,fruit,,,,,
16,3,23,59,351,ypdcglkc,lynx,,,,,
16,3,24,1,2,imaginary,sulphur,,,,,
16,3,25,9,52,good,faith,,,,,
16,3,26,72,429,wvcnz,door,,,,,
16,3,27,42,725,crisp,fruit,,,,,
16,3,28,55,327,zbxlv,traffic,,,,,
16,3,29,19,111,tqvgqrz,ground,,,,,
16,3,30,94,559,real,gorge,,,,,
16,3,31,63,788,solitary,person,,,,,
16,3,32,89,531,ypdcglkc,carcass,,,,,
16,3,33,80,477,bxfjwts,click,,,,,
16,3,34,37,709,vpbyzkgrf,food,,,,,
16,3,35,80,475,bad,click,,,,,
16,3,36,21,126,zbxlv,fame,,,,,
16,3,37,74,443,spurious,madness,,,,,
16,3,38,97,582,zrtqgfplh,instinct,,,,,
16,3,39,71,426,fxldmr,excuse,,,,,
16,3,40,42,724,mghljkqr,fruit,,,,,
16,3,41,11,62,fictitious,trailer,,,,,
16,3,42,33,195,kmlsdjtw,salt,,,,,
16,3,43,60,357,wvcnz,ditch,,,,,
16,3,44,17,98,mock,fireworks,,,,,
16,3,45,84,501,ypdcglkc,treasure,,,,,
16,3,46,70,415,authentic,laughter,,,,,
16,3,47,90,870,fxldmr,lettuce,,,,,
16,3,48,31,181,real,bread,,,,,
16,3,49,37,221,artificial,outcome,,,,,
16,3,50,6,35,virtual,manner,,,,,
16,3,51,87,518,imaginary,laugh,,,,,
16,3,52,51,306,rvqf,idea,,,,,
16,3,53,2,606,mghljkqr,frog,,,,,
16,3,54,73,818,tomato,sauce,,,,,
16,3,55,1,6,vpbyzkgrf,longing,,,,,
16,3,56,9,50,fictional,crown,Is it suitable for a TV show?,Rb,2.305830717086792,1.0,
16,3,57,71,813,kmlsdjtw,stream,,,,,
16,3,58,19,655,rvqf,car,Does it have shells?,Ry,1.0821044445037842,1.0,
16,3,59,75,448,TRUE,health,,,,,
16,3,60,11,65,past,caution,,,,,
16,3,61,86,858,zrtqgfplh,fork,,,,,
16,3,62,8,623,small,bird,,,,,
16,3,63,35,704,yellow,flower,,,,,
16,3,64,31,693,rvqf,ambassador,,,,,
16,3,65,24,144,tqvgqrz,limit,,,,,
16,3,66,95,569,former,treason,,,,,
16,3,67,10,56,artificial,barrier,,,,,
16,3,68,28,165,wvcnz,chef,,,,,
16,3,69,78,466,good,sorrow,,,,,
16,3,70,62,370,unique,heaven,,,,,
16,3,71,47,282,rjdnw,greed,,,,,
16,3,72,31,182,mythical,bread,Can it be from a story?,Rb,1.5857574939727783,1.0,
16,3,73,81,485,fabricated,attempt,,,,,
16,3,74,49,290,artificial,port,,,,,
16,3,75,64,383,counterfeit,remorse,Is it to be believed?,Ry,1.4202017784118652,1.0,
16,3,76,35,207,qxsw,lettuce,,,,,
16,3,77,99,589,new,grave,,,,,
16,3,78,61,365,phony,function,,,,,
16,3,79,50,300,fxldmr,outlook,,,,,
16,3,80,8,44,fabricated,reptile,Is it cool to the touch?,Ry,2.603036403656006,1.0,
16,3,81,21,662,black,cat,,,,,
16,3,82,40,720,ypdcglkc,kiwi,,,,,
16,3,83,88,525,xkq,ulcer,,,,,
16,3,84,59,352,old,allure,,,,,
16,3,85,93,553,new,hug,,,,,
16,3,86,6,34,unique,manner,,,,,
16,3,87,86,856,htbqzylm,utensil,,,,,
16,3,88,29,174,mghljkqr,truth,,,,,
16,3,89,50,295,TRUE,pulse,,,,,
16,3,90,91,545,fake,success,,,,,
16,3,91,71,811,ypdcglkc,river,,,,,
16,3,92,30,690,rjdnw,phone,Is it soft to touch? ,Rb,1.7692668437957764,0.0,
16,3,93,49,292,average,drama,,,,,
16,3,94,67,799,vpbyzkgrf,product,,,,,
16,3,95,26,152,fictional,trophy,,,,,
16,3,96,44,262,important,virtue,Is it to be disregarded?,Ry,1.477048635482788,1.0,
16,3,97,70,420,mghljkqr,triumph,,,,,
16,3,98,70,809,shelled,reptile,,,,,
16,3,99,88,864,mghljkqr,carrot,Does it grow on a tree?,Ry,1.1469311714172363,1.0,
16,3,100,67,402,ypdcglkc,thrill,,,,,
16,3,101,21,125,phony,fame,Is it to be celebrated now?,Ry,1.3045101165771484,1.0,
16,3,102,56,331,typical,doctor,,,,,
16,3,103,91,543,vpbyzkgrf,smile,,,,,
16,3,104,96,575,fictitious,hardship,Is it to be investigated?,Rb,2.0205953121185303,1.0,
16,3,105,71,421,unique,strike,,,,,
16,3,106,69,410,FALSE,mosque,,,,,
16,3,107,42,251,fictional,output,,,,,
16,3,108,76,456,rjdnw,culture,,,,,
16,3,109,74,442,typical,madness,,,,,
16,3,110,96,574,good,hardship,,,,,
16,3,111,98,893,agricultural,vehicle,,,,,
16,3,112,66,395,fictional,upkeep,,,,,
16,3,113,28,682,xkq,crime,,,,,
16,3,114,14,641,industrial,building,,,,,
16,3,115,23,667,wvcnz,cat,,,,,
16,3,116,46,276,bxfjwts,deceit,,,,,
16,3,117,27,681,zrtqgfplh,ointment,,,,,
16,3,118,82,490,unique,neglect,,,,,
16,3,119,54,319,good,mansion,,,,,
16,3,120,53,315,xkq,corpse,,,,,
16,3,121,74,441,ptrgsbkv,weapon,,,,,
16,3,122,7,37,unique,sunshine,,,,,
16,3,123,39,230,hypothetical,concert,,,,,
16,3,124,92,875,starchy,vegetable,,,,,
16,3,125,57,338,mythical,piston,,,,,
16,3,126,85,507,bxfjwts,singer,,,,,
16,3,127,39,232,good,romance,,,,,
16,3,128,78,833,large,snake,,,,,
16,3,129,99,593,mock,failure,,,,,
16,3,130,3,18,rjdnw,duty,,,,,
16,3,131,56,767,nocturnal,mammal,Does it lay eggs?,Rb,2.294861078262329,0.0,
16,3,132,100,898,kmlsdjtw,wine,,,,,
16,3,133,13,74,spurious,baggage,,,,,
16,3,134,2,8,past,poison,,,,,
16,3,135,72,430,perfect,power,,,,,
16,3,136,54,321,zbxlv,mansion,,,,,
16,3,137,9,626,graceful,bird,,,,,
16,3,138,74,821,head,sculpture,,,,,
16,3,139,66,396,wvcnz,upkeep,,,,,
16,3,140,52,308,mythical,husband,,,,,
16,3,141,33,198,xkq,effort,,,,,
16,3,142,12,67,unique,beggar,,,,,
16,3,143,100,596,fictional,syringe,,,,,
16,3,144,34,203,mock,method,,,,,
16,3,145,84,499,authentic,treasure,,,,,
16,3,146,54,761,young,male,,,,,
16,3,147,49,745,htbqzylm,horse,Does it have scales?,Ry,1.0990591049194336,1.0,
16,3,148,88,863,orange,vegetable,,,,,
16,3,149,57,769,ypdcglkc,mammal,,,,,
16,3,150,98,892,mtpv,vehicle,,,,,
16,3,151,67,397,genuine,swan,,,,,
16,3,152,36,708,vpbyzkgrf,rose,Is it fragrant?,Rb,1.2247233390808103,1.0,
16,3,153,1,3,tqvgqrz,sulphur,,,,,
16,3,154,63,373,perfect,troll,,,,,
16,3,155,34,199,good,throne,,,,,
16,3,156,17,102,tqvgqrz,blessing,,,,,
16,3,157,71,812,narrow,river,,,,,
16,3,158,34,700,fxldmr,fish,Does it have fins?,Rb,1.0681431293487549,1.0,
16,3,159,62,369,vpbyzkgrf,pudding,,,,,
16,3,160,94,564,htbqzylm,plea,,,,,
16,3,161,59,775,wvcnz,mammal,,,,,
16,3,162,43,257,hypothetical,pause,,,,,
16,3,163,74,444,rjdnw,madness,,,,,
16,3,164,32,695,tiny,dog,,,,,
16,3,165,82,491,virtual,neglect,Is it to be avoided?,Ry,2.0714588165283203,0.0,
16,3,166,88,523,typical,ulcer,Does it hurt? ,Rb,2.3068270683288574,1.0,
16,3,167,92,548,fabricated,bongo,Can it be used as a prop on stage?,Rb,2.0924015045166016,1.0,
16,3,168,60,358,special,pity,,,,,
16,3,169,81,841,xkq,stick,,,,,
