participant,block_nr,trial_nr,set_nr,item_nr,word1,word2,probe,response,RT,hit,Unnamed: 10
16,1,1,13,639,zrtqgfplh,church,,,,,
16,1,2,4,21,qxsw,band,,,,,
16,1,3,35,208,bad,fiction,,,,,
16,1,4,55,328,authentic,fault,,,,,
16,1,5,9,51,rvqf,crown,Is it shiny?,Rb,1.3068416118621826,1.0,
16,1,6,32,190,typical,mistake,,,,,
16,1,7,86,512,fabricated,daylight,,,,,
16,1,8,36,212,hypothetical,street,,,,,
16,1,9,81,486,xkq,attempt,,,,,
16,1,10,17,97,perfect,fireworks,,,,,
16,1,11,69,412,old,verge,,,,,
16,1,12,45,734,red,gem,,,,,
16,1,13,9,53,fictitious,faith,,,,,
16,1,14,45,733,wvcnz,gem,Is it shiny?,Rb,0.8075191974639893,1.0,
16,1,15,18,106,new,disgust,,,,,
16,1,16,18,105,vpbyzkgrf,blister,,,,,
16,1,17,83,848,digging,tool,Is it typically found in the garden?,Rb,1.332857370376587,1.0,
16,1,18,84,850,mtpv,tree,,,,,
16,1,19,78,463,real,shotgun,Is it to be handled with care?,Rb,0.9866349697113036,1.0,
16,1,20,54,322,old,consent,,,,,
16,1,21,30,689,calling,device,,,,,
16,1,22,96,573,vpbyzkgrf,missile,,,,,
16,1,23,14,83,past,reason,,,,,
16,1,24,8,48,htbqzylm,mischief,,,,,
16,1,25,11,61,good,trailer,,,,,
16,1,26,20,115,unique,stab,,,,,
16,1,27,81,484,average,attempt,,,,,
16,1,28,14,82,special,reason,,,,,
16,1,29,55,763,qxsw,mammal,Does it grow roots?,Ry,0.9306001663208008,1.0,
16,1,30,68,406,real,fate,,,,,
16,1,31,91,542,fake,smile,,,,,
16,1,32,20,119,artificial,sin,,,,,
16,1,33,90,535,actual,court,,,,,
16,1,34,93,555,mtpv,hug,,,,,
16,1,35,90,869,leafy,vegetable,Is it fibrous?,Rb,1.7100999355316162,1.0,
16,1,36,24,672,rjdnw,jumper,,,,,
16,1,37,50,749,large,house,,,,,
16,1,38,66,391,good,froth,,,,,
16,1,39,78,834,zrtqgfplh,python,,,,,
16,1,40,19,109,real,ground,,,,,
16,1,41,39,715,ptrgsbkv,fruit,,,,,
16,1,42,77,461,imaginary,ordeal,,,,,
16,1,43,17,651,xkq,cabin,,,,,
16,1,44,19,112,old,value,Should it be taught in school?,Rb,1.5179390907287598,0.0,
16,1,45,70,808,vpbyzkgrf,reptile,,,,,
16,1,46,47,281,counterfeit,greed,,,,,
16,1,47,53,313,actual,corpse,,,,,
16,1,48,45,269,phony,scheme,,,,,
16,1,49,96,887,underwater,vehicle,,,,,
16,1,50,53,758,smoky,liquor,,,,,
16,1,51,84,851,coniferous,tree,,,,,
16,1,52,63,376,genuine,setback,,,,,
16,1,53,94,880,vpbyzkgrf,vehicle,,,,,
16,1,54,96,886,rjdnw,vehicle,,,,,
16,1,55,46,273,zrtqgfplh,morgue,,,,,
16,1,56,99,592,perfect,failure,,,,,
16,1,57,100,597,zbxlv,syringe,,,,,
16,1,58,31,183,qxsw,bread,,,,,
16,1,59,43,258,rvqf,pause,,,,,
16,1,60,6,616,mtpv,bird,,,,,
16,1,61,63,789,vpbyzkgrf,hermit,,,,,
16,1,62,70,419,former,triumph,Is it to be commemorated?,Rb,1.9627506732940676,0.0,
16,1,63,67,401,hypothetical,thrill,,,,,
16,1,64,96,571,old,missile,,,,,
16,1,65,97,581,virtual,instinct,,,,,
16,1,66,8,622,ypdcglkc,bird,,,,,
16,1,67,48,285,ypdcglkc,taste,,,,,
16,1,68,8,47,phony,mischief,,,,,
16,1,69,40,239,virtual,curse,,,,,
16,1,70,95,885,mghljkqr,chariot,,,,,
16,1,71,9,627,qxsw,swan,,,,,
16,1,72,82,492,tqvgqrz,neglect,,,,,
16,1,73,48,284,mock,taste,,,,,
16,1,74,52,311,artificial,language,,,,,
16,1,75,45,268,TRUE,scheme,,,,,
16,1,76,22,127,actual,monarch,,,,,
16,1,77,1,1,old,sulphur,,,,,
16,1,78,87,859,qxsw,vegetable,Is it good for your health?,Rb,1.135960578918457,1.0,
16,1,79,34,200,fictitious,throne,,,,,
16,1,80,72,816,xkq,empress,,,,,
16,1,81,16,96,qxsw,mode,,,,,
16,1,82,97,889,htbqzylm,vehicle,,,,,
16,1,83,75,823,kmlsdjtw,seat,,,,,
16,1,84,91,544,bad,success,,,,,
16,1,85,23,134,past,forum,,,,,
16,1,86,79,837,zbxlv,music,,,,,
16,1,87,98,588,qxsw,woe,,,,,
16,1,88,74,439,average,weapon,,,,,
16,1,89,83,498,mghljkqr,moment,,,,,
16,1,90,37,711,xkq,pasta,,,,,
16,1,91,75,447,fxldmr,girl,,,,,
16,1,92,12,72,qxsw,blunder,,,,,
16,1,93,34,701,flat,fish,,,,,
16,1,94,13,75,mtpv,baggage,,,,,
16,1,95,49,293,fabricated,drama,,,,,
16,1,96,65,794,large,poultry,,,,,
16,1,97,35,703,ypdcglkc,flower,,,,,
16,1,98,5,613,tqvgqrz,bird,,,,,
16,1,99,83,494,counterfeit,children,,,,,
16,1,100,35,209,fake,fiction,,,,,
16,1,101,26,677,professional,cook,,,,,
16,1,102,19,114,ptrgsbkv,value,,,,,
16,1,103,26,156,tqvgqrz,skill,Do musicians have it?,Rb,1.068142652511597,1.0,
16,1,104,86,515,mock,wisdom,,,,,
16,1,105,61,362,FALSE,barrel,,,,,
16,1,106,31,185,FALSE,reserve,,,,,
16,1,107,89,534,xkq,dissent,,,,,
16,1,108,64,379,current,fungus,,,,,
16,1,109,36,706,ptrgsbkv,flower,Does it have teeth?,Ry,1.3483927249908447,1.0,
16,1,110,10,628,bxfjwts,boat,,,,,
16,1,111,42,249,zrtqgfplh,badger,,,,,
16,1,112,66,798,bxfjwts,shark,,,,,
16,1,113,29,687,rjdnw,mob,,,,,
16,1,114,17,99,kmlsdjtw,fireworks,,,,,
16,1,115,87,521,fabricated,peace,Is it good to restore?,Ry,1.809160232543945,0.0,
16,1,116,27,157,old,pheasant,,,,,
16,1,117,47,280,authentic,greed,,,,,
16,1,118,1,4,special,longing,,,,,
16,1,119,56,336,kmlsdjtw,interest,,,,,
16,1,120,57,770,spiky,mammal,,,,,
16,1,121,30,175,perfect,dinner,,,,,
16,1,122,65,390,kmlsdjtw,risk,Is it good in moderation?,Rb,2.618993759155273,1.0,
16,1,123,79,474,bxfjwts,despair,,,,,
16,1,124,80,838,rjdnw,sphere,,,,,
16,1,125,40,719,fuzzy,fruit,,,,,
16,1,126,15,90,ypdcglkc,mercy,,,,,
16,1,127,13,77,hypothetical,gloom,,,,,
16,1,128,15,645,rvqf,hospital,,,,,
16,1,129,83,497,mock,moment,,,,,
16,1,130,84,852,xkq,fir,,,,,
16,1,131,51,303,zbxlv,mother,,,,,
16,1,132,50,297,vpbyzkgrf,pulse,,,,,
16,1,133,38,713,yellow,fruit,,,,,
16,1,134,7,41,former,respect,,,,,
16,1,135,64,384,tqvgqrz,remorse,,,,,
16,1,136,22,130,typical,glamour,,,,,
16,1,137,80,480,rjdnw,aspect,,,,,
16,1,138,93,558,mghljkqr,cure,,,,,
16,1,139,46,272,fabricated,morgue,,,,,
16,1,140,85,854,tropical,tree,,,,,
16,1,141,45,267,zbxlv,metal,,,,,
16,1,142,85,509,fictional,talent,Is it enviable?,,3.00097131729126,0.0,
16,1,143,42,250,genuine,output,,,,,
16,1,144,89,865,ptrgsbkv,vegetable,,,,,
16,1,145,44,261,zbxlv,midwife,,,,,
16,1,146,77,458,fake,venom,Is it dangerous to consume?,Ry,1.695465326309204,0.0,
16,1,147,81,481,authentic,audience,,,,,
