item_nr,participant,block_nr,trial_nr,set_nr,word1,word2,probe,response,RT,hit,Unnamed: 10,condition,experiment,zipf_adj,zipf_noun,freq_dep,freq_seq,length_adj,length_noun,composition,denotation,concreteness,specificity
721,23,1,1,41,zbxlv,fruit,,,,,,low,specificity,0.0,4.73,,,5,5,word,,,low
590,23,1,2,99,hypothetical,grave,,,,,,concrete_privative,compose,3.13,4.2,0.0,0.0,12,5,phrase,privative,concrete,
722,23,1,3,41,juicy,fruit,,,,,,mid,specificity,3.86,4.73,,,5,5,phrase,,,mid
236,23,1,4,40,fictitious,wreck,,,,,,concrete_privative,compose,2.91,3.96,0.0,0.0,10,5,phrase,privative,concrete,
715,23,1,5,39,ptrgsbkv,fruit,,,,,,low,specificity,0.0,4.73,,,8,5,word,,,low
866,23,1,6,89,kernelled,vegetable,,,,,,mid,specificity,,4.18,,,9,9,phrase,,,mid
470,23,1,7,79,spurious,slime,,,,,,concrete_privative,compose,2.68,3.57,0.0,0.0,8,5,phrase,privative,concrete,
121,23,1,8,21,current,beer,,,,,,concrete_subsective,compose,4.81,4.47,0.0,0.0,7,4,phrase,subsective,concrete,
171,23,1,9,29,kmlsdjtw,dog,,,,,,concrete_baseline,compose,0.0,5.17,0.0,0.0,8,3,word,baseline,concrete,
116,23,1,10,20,virtual,stab,,,,,,concrete_privative,compose,3.63,3.87,0.0,0.0,7,4,phrase,privative,concrete,
540,23,1,11,90,mghljkqr,issue,Is it to be investigated?,Ry,1.7655134201049805,0.0,,abstract_baseline,compose,0.0,5.18,0.0,0.0,8,5,word,baseline,abstract,
707,23,1,12,36,thorny,flower,,,,,,mid,specificity,3.03,4.5,,,6,6,phrase,,,mid
368,23,1,13,62,spurious,pudding,,,,,,concrete_privative,compose,2.68,4.44,0.0,0.0,8,7,phrase,privative,concrete,
283,23,1,14,48,perfect,taste,,,,,,concrete_subsective,compose,5.28,4.95,0.0,0.0,7,5,phrase,subsective,concrete,
472,23,1,15,79,current,despair,,,,,,abstract_subsective,compose,4.81,3.81,0.0,0.0,7,7,phrase,subsective,abstract,
409,23,1,16,69,current,mosque,,,,,,concrete_subsective,compose,4.81,3.81,0.0,0.0,7,6,phrase,subsective,concrete,
229,23,1,17,39,new,concert,,,,,,concrete_subsective,compose,5.98,4.23,0.0,0.0,3,7,phrase,subsective,concrete,
782,23,1,18,61,magnetic,metal,,,,,,mid,specificity,3.7,4.63,,,8,5,phrase,,,mid
117,23,1,19,20,ypdcglkc,stab,,,,,,concrete_baseline,compose,0.0,3.87,0.0,0.0,8,4,word,baseline,concrete,
392,23,1,20,66,fictitious,froth,,,,,,concrete_privative,compose,2.91,3.01,0.0,0.0,10,5,phrase,privative,concrete,
385,23,1,21,65,TRUE,church,,,,,,concrete_subsective,compose,5.33,5.02,0.0,0.0,4,6,phrase,subsective,concrete,
616,23,1,22,6,mtpv,bird,,,,,,low,specificity,0.0,4.85,,,4,4,word,,,low
119,23,1,23,20,artificial,sin,,,,,,abstract_privative,compose,3.85,3.96,0.0,0.0,10,3,phrase,privative,abstract,
445,23,1,24,75,TRUE,girl,,,,,,concrete_subsective,compose,5.33,5.29,0.0,0.0,4,4,phrase,subsective,concrete,
224,23,1,25,38,hypothetical,crab,,,,,,concrete_privative,compose,3.13,4.21,0.0,0.0,12,4,phrase,privative,concrete,
669,23,1,26,23,rjdnw,tiger,,,,,,high,specificity,0.0,4.36,,,5,5,word,,,high
641,23,1,27,14,industrial,building,,,,,,mid,specificity,4.48,5.24,,,10,8,phrase,,,mid
547,23,1,28,92,average,bongo,,,,,,concrete_subsective,compose,4.73,3.04,0.0,0.0,7,5,phrase,subsective,concrete,
189,23,1,29,32,kmlsdjtw,battle,Is it violent?,Rb,1.770265817642212,1.0,,concrete_baseline,compose,0.0,4.94,0.0,0.0,8,6,word,baseline,concrete,
565,23,1,30,95,actual,dungeon,,,,,,concrete_subsective,compose,4.6,3.14,1.36e-10,1.28e-10,6,7,phrase,subsective,concrete,
156,23,1,31,26,tqvgqrz,skill,Do musicians have it?,Ry,2.279901027679444,0.0,,abstract_baseline,compose,0.0,4.4,0.0,0.0,7,5,word,baseline,abstract,
126,23,1,32,21,zbxlv,fame,,,,,,abstract_baseline,compose,0.0,4.18,0.0,0.0,5,4,word,baseline,abstract,
583,23,1,33,98,unique,slum,,,,,,concrete_subsective,compose,4.66,3.32,0.0,3.03e-11,6,4,phrase,subsective,concrete,
298,23,1,34,50,new,outlook,,,,,,abstract_subsective,compose,5.98,3.81,0.0,0.0,3,7,phrase,subsective,abstract,
831,23,1,35,77,mtpv,crisps,,,,,,high,specificity,0.0,3.91,,,4,6,word,,,high
366,23,1,36,61,rjdnw,function,,,,,,abstract_baseline,compose,0.0,4.06,0.0,0.0,5,8,word,baseline,abstract,
536,23,1,37,90,artificial,court,,,,,,concrete_privative,compose,3.85,5.1,3.11e-10,7.64e-10,10,5,phrase,privative,concrete,
510,23,1,38,85,kmlsdjtw,talent,,,,,,abstract_baseline,compose,0.0,4.58,0.0,0.0,8,6,word,baseline,abstract,
706,23,1,39,36,ptrgsbkv,flower,Does it have teeth?,Ry,1.8620193004608157,1.0,,low,specificity,0.0,4.5,,,8,6,word,,,low
159,23,1,40,27,mghljkqr,pheasant,Is it large for a bird?,Rb,1.4660794734954834,1.0,,concrete_baseline,compose,0.0,3.55,0.0,0.0,8,8,word,baseline,concrete,
864,23,1,41,88,mghljkqr,carrot,Does it grow on a tree?,Ry,1.313485860824585,1.0,,high,specificity,0.0,4.08,,,8,6,word,,,high
822,23,1,42,74,mghljkqr,bust,,,,,,high,specificity,0.0,4.12,,,8,4,word,,,high
576,23,1,43,96,tqvgqrz,hardship,,,,,,abstract_baseline,compose,0.0,3.52,0.0,0.0,7,8,word,baseline,abstract,
874,23,1,44,92,ptrgsbkv,vegetable,,,,,,low,specificity,0.0,4.18,,,8,9,word,,,low
619,23,1,45,7,vpbyzkgrf,bird,,,,,,low,specificity,0.0,4.85,,,9,4,word,,,low
647,23,1,46,16,residential,building,Does it have wheels?,Ry,1.3174750804901123,1.0,,mid,specificity,3.95,5.24,,,11,8,phrase,,,mid
81,23,1,47,14,mghljkqr,daughter,,,,,,concrete_baseline,compose,0.0,4.97,0.0,0.0,8,8,word,baseline,concrete,
767,23,1,48,56,nocturnal,mammal,Does it lay eggs?,Ry,1.260627508163452,1.0,,mid,specificity,3.35,3.71,,,9,6,phrase,,,mid
444,23,1,49,74,rjdnw,madness,,,,,,abstract_baseline,compose,0.0,4.03,0.0,0.0,5,7,word,baseline,abstract,
589,23,1,50,99,new,grave,,,,,,concrete_subsective,compose,5.98,4.2,0.0,0.0,3,5,phrase,subsective,concrete,
287,23,1,51,48,FALSE,trust,,,,,,abstract_privative,compose,4.76,5.02,0.0,0.0,5,5,phrase,privative,abstract,
834,23,1,52,78,zrtqgfplh,python,,,,,,high,specificity,0.0,3.59,,,9,6,word,,,high
608,23,1,53,3,warm,bedding,Is it thin?,Ry,1.7463290691375732,1.0,,mid,specificity,4.92,3.55,,,4,7,phrase,,,mid
120,23,1,54,20,zrtqgfplh,sin,,,,,,abstract_baseline,compose,0.0,3.96,0.0,0.0,9,3,word,baseline,abstract,
422,23,1,55,71,virtual,strike,,,,,,concrete_privative,compose,3.63,4.73,0.0,0.0,7,6,phrase,privative,concrete,
195,23,1,56,33,kmlsdjtw,salt,,,,,,concrete_baseline,compose,0.0,4.69,0.0,0.0,8,4,word,baseline,concrete,
689,23,1,57,30,calling,device,,,,,,mid,specificity,4.77,4.27,,,7,6,phrase,,,mid
710,23,1,58,37,Italian,food,,,,,,mid,specificity,4.6,5.45,,,7,4,phrase,,,mid
430,23,1,59,72,perfect,power,,,,,,abstract_subsective,compose,5.28,5.29,0.0,0.0,7,5,phrase,subsective,abstract,
331,23,1,60,56,typical,doctor,,,,,,concrete_subsective,compose,4.51,5.02,0.0,0.0,7,6,phrase,subsective,concrete,
753,23,1,61,51,kmlsdjtw,flu,,,,,,high,specificity,0.0,3.85,,,8,3,word,,,high
352,23,1,62,59,old,allure,,,,,,abstract_subsective,compose,5.79,2.94,0.0,0.0,3,6,phrase,subsective,abstract,
812,23,1,63,71,narrow,river,,,,,,mid,specificity,4.25,4.93,,,6,5,phrase,,,mid
899,23,1,64,100,sparkling,wine,,,,,,mid,specificity,3.76,4.84,,,9,4,phrase,,,mid
695,23,1,65,32,tiny,dog,,,,,,mid,specificity,4.87,5.17,,,4,3,phrase,,,mid
233,23,1,66,39,fictitious,romance,,,,,,abstract_privative,compose,2.91,4.09,0.0,0.0,10,7,phrase,privative,abstract,
515,23,1,67,86,mock,wisdom,,,,,,abstract_privative,compose,3.74,3.92,2.23e-10,1.38e-10,4,6,phrase,privative,abstract,
652,23,1,68,18,htbqzylm,car,,,,,,low,specificity,0.0,5.44,,,8,3,word,,,low
685,23,1,69,29,wvcnz,crowd,,,,,,low,specificity,0.0,4.76,,,5,5,word,,,low
664,23,1,70,22,bxfjwts,cat,,,,,,low,specificity,0.0,4.83,,,7,3,word,,,low
785,23,1,71,62,unpleasant,odour,,,,,,mid,specificity,3.78,3.12,,,10,5,phrase,,,mid
