item_nr,participant,block_nr,trial_nr,set_nr,word1,word2,probe,response,RT,hit,Unnamed: 10,condition,experiment,zipf_adj,zipf_noun,freq_dep,freq_seq,length_adj,length_noun,composition,denotation,concreteness,specificity
325,30,1,1,55,real,traffic,,,,,,concrete_subsective,compose,5.53,4.54,0.0,0.0,4,7,phrase,subsective,concrete,
889,30,1,2,97,htbqzylm,vehicle,,,,,,low,specificity,0.0,4.52,,,8,7,word,,,low
856,30,1,3,86,htbqzylm,utensil,,,,,,low,specificity,0.0,2.51,,,8,7,word,,,low
462,30,1,4,77,zbxlv,ordeal,,,,,,abstract_baseline,compose,0.0,3.63,0.0,0.0,5,6,word,baseline,abstract,
473,30,1,5,79,FALSE,despair,,,,,,abstract_privative,compose,4.76,3.81,0.0,0.0,5,7,phrase,privative,abstract,
21,30,1,6,4,qxsw,band,,,,,,concrete_baseline,compose,0.0,4.94,0.0,0.0,4,4,word,baseline,concrete,
316,30,1,7,53,perfect,hatred,,,,,,abstract_subsective,compose,5.28,3.65,0.0,0.0,7,6,phrase,subsective,abstract,
822,30,1,8,74,mghljkqr,bust,,,,,,high,specificity,0.0,4.12,,,8,4,word,,,high
788,30,1,9,63,solitary,person,,,,,,mid,specificity,3.59,5.34,,,8,6,phrase,,,mid
187,30,1,10,32,bad,battle,,,,,,concrete_subsective,compose,5.56,4.94,0.0,0.0,3,6,phrase,subsective,concrete,
507,30,1,11,85,bxfjwts,singer,,,,,,concrete_baseline,compose,0.0,4.48,0.0,0.0,7,6,word,baseline,concrete,
657,30,1,12,19,fxldmr,limousine,Is it typically flat?,Ry,1.7971916198730469,0.0,,high,specificity,0.0,3.11,,,6,9,word,,,high
112,30,1,13,19,old,value,Should it be taught in school?,Rb,1.0053105354309082,0.0,,abstract_subsective,compose,5.79,5.0,0.0,0.0,3,5,phrase,subsective,abstract,
775,30,1,14,59,wvcnz,mammal,,,,,,low,specificity,0.0,3.71,,,5,6,word,,,low
691,30,1,15,31,rjdnw,diplomat,,,,,,low,specificity,0.0,3.29,,,5,8,word,,,low
75,30,1,16,13,mtpv,baggage,,,,,,concrete_baseline,compose,0.0,3.49,0.0,0.0,4,7,word,baseline,concrete,
225,30,1,17,38,mghljkqr,crab,Has it got a hard shell?,Rb,2.245992422103882,1.0,,concrete_baseline,compose,0.0,4.21,0.0,0.0,8,4,word,baseline,concrete,
781,30,1,18,61,zbxlv,metal,,,,,,low,specificity,0.0,4.63,,,5,5,word,,,low
9,30,1,19,2,wvcnz,poison,,,,,,concrete_baseline,compose,0.0,3.92,0.0,0.0,5,6,word,baseline,concrete,
402,30,1,20,67,ypdcglkc,thrill,,,,,,abstract_baseline,compose,0.0,3.86,0.0,0.0,8,6,word,baseline,abstract,
373,30,1,21,63,perfect,troll,,,,,,concrete_subsective,compose,5.28,3.32,0.0,0.0,7,5,phrase,subsective,concrete,
30,30,1,22,5,rvqf,pride,Is it good to have too much of it?,Ry,1.665544033050537,1.0,,abstract_baseline,compose,0.0,4.48,0.0,0.0,4,5,word,baseline,abstract,
819,30,1,23,73,qxsw,ketchup,,,,,,high,specificity,0.0,3.59,,,4,7,word,,,high
251,30,1,24,42,fictional,output,,,,,,abstract_privative,compose,3.69,3.77,0.0,0.0,9,6,phrase,privative,abstract,
302,30,1,25,51,fake,mother,,,,,,concrete_privative,compose,4.51,5.29,0.0,0.0,4,6,phrase,privative,concrete,
799,30,1,26,67,vpbyzkgrf,product,,,,,,low,specificity,0.0,4.65,,,9,7,word,,,low
703,30,1,27,35,ypdcglkc,flower,,,,,,low,specificity,0.0,4.5,,,8,6,word,,,low
581,30,1,28,97,virtual,instinct,,,,,,abstract_privative,compose,3.63,4.01,2.07e-10,1.82e-10,7,8,phrase,privative,abstract,
86,30,1,29,15,former,chess,,,,,,concrete_privative,compose,5.0,3.91,0.0,0.0,6,5,phrase,privative,concrete,
457,30,1,30,77,bad,venom,,,,,,concrete_subsective,compose,5.56,3.76,0.0,0.0,3,5,phrase,subsective,concrete,
437,30,1,31,73,fictional,nuisance,,,,,,abstract_privative,compose,3.69,3.7,0.0,0.0,9,8,phrase,privative,abstract,
833,30,1,32,78,large,snake,,,,,,mid,specificity,5.1,4.36,,,5,5,phrase,,,mid
