item_nr,participant,block_nr,trial_nr,set_nr,word1,word2,probe,response,RT,hit,Unnamed: 10,condition,experiment,zipf_adj,zipf_noun,freq_dep,freq_seq,length_adj,length_noun,composition,denotation,concreteness,specificity
367,20,1,1,62,typical,pudding,Is it edible?,Rb,1.568803787231445,1.0,,concrete_subsective,compose,4.51,4.44,0.0,0.0,7,7,phrase,subsective,concrete,
451,20,1,2,76,TRUE,novel,,,,,,concrete_subsective,compose,5.33,4.43,0.0,0.0,4,5,phrase,subsective,concrete,
638,20,1,3,13,religious,building,,,,,,mid,specificity,4.43,5.24,,,9,8,phrase,,,mid
147,20,1,4,25,rvqf,prison,,,,,,concrete_baseline,compose,0.0,4.81,0.0,0.0,4,6,word,baseline,concrete,
623,20,1,5,8,small,bird,,,,,,mid,specificity,5.43,4.85,,,5,4,phrase,,,mid
241,20,1,6,41,bad,mountain,,,,,,concrete_subsective,compose,5.56,4.64,0.0,0.0,3,8,phrase,subsective,concrete,
881,20,1,7,94,medical,vehicle,Is it fast?,Rb,2.571125268936157,1.0,,mid,specificity,4.63,4.52,,,7,7,phrase,,,mid
233,20,1,8,39,fictitious,romance,,,,,,abstract_privative,compose,2.91,4.09,0.0,0.0,10,7,phrase,privative,abstract,
313,20,1,9,53,actual,corpse,,,,,,concrete_subsective,compose,4.6,3.41,0.0,0.0,6,6,phrase,subsective,concrete,
404,20,1,10,68,fictional,vessel,,,,,,concrete_privative,compose,3.69,3.93,0.0,0.0,9,6,phrase,privative,concrete,
862,20,1,11,88,ypdcglkc,vegetable,,,,,,low,specificity,0.0,4.18,,,8,9,word,,,low
838,20,1,12,80,rjdnw,sphere,,,,,,low,specificity,0.0,3.68,,,5,6,word,,,low
44,20,1,13,8,fabricated,reptile,Is it cool to the touch?,,3.000974416732788,0.0,,concrete_privative,compose,2.79,3.36,0.0,0.0,10,7,phrase,privative,concrete,
677,20,1,14,26,professional,cook,,,,,,mid,specificity,4.69,5.03,,,12,4,phrase,,,mid
358,20,1,15,60,special,pity,,,,,,abstract_subsective,compose,5.32,4.1,0.0,0.0,7,4,phrase,subsective,abstract,
157,20,1,16,27,old,pheasant,,,,,,concrete_subsective,compose,5.79,3.55,0.0,0.0,3,8,phrase,subsective,concrete,
867,20,1,17,89,qxsw,corn,,,,,,high,specificity,0.0,3.94,,,4,4,word,,,high
807,20,1,18,69,rjdnw,crocodile,,,,,,high,specificity,0.0,3.95,,,5,9,word,,,high
848,20,1,19,83,digging,tool,Is it typically found in the garden?,Rb,1.649590015411377,1.0,,mid,specificity,4.23,4.07,,,7,4,phrase,,,mid
474,20,1,20,79,bxfjwts,despair,,,,,,abstract_baseline,compose,0.0,3.81,0.0,0.0,7,7,word,baseline,abstract,
681,20,1,21,27,zrtqgfplh,ointment,,,,,,high,specificity,0.0,2.96,,,9,8,word,,,high
212,20,1,22,36,hypothetical,street,,,,,,concrete_privative,compose,3.13,5.2,0.0,0.0,12,6,phrase,privative,concrete,
549,20,1,23,92,rvqf,bongo,,,,,,concrete_baseline,compose,0.0,3.04,0.0,0.0,4,5,word,baseline,concrete,
436,20,1,24,73,genuine,nuisance,,,,,,abstract_subsective,compose,4.37,3.7,0.0,0.0,7,8,phrase,subsective,abstract,
70,20,1,25,12,typical,blunder,Should it be repeated?,Ry,1.2057757377624512,1.0,,abstract_subsective,compose,4.51,3.02,3.07e-10,1.53e-10,7,7,phrase,subsective,abstract,
