participant,block_nr,trial_nr,set_nr,item_nr,word1,word2,probe,response,RT,hit,Unnamed: 10
04,1,1,100,595,genuine,syringe,,,,,
04,1,2,97,578,imaginary,portrait,Is it valuable?,Rb,1.214752435684204,0.0,
04,1,3,80,475,bad,click,,,,,
04,1,4,16,646,wvcnz,building,,,,,
04,1,5,41,246,vpbyzkgrf,progress,,,,,
04,1,6,85,855,fxldmr,palm,,,,,
04,1,7,21,662,black,cat,,,,,
04,1,8,56,768,ypdcglkc,bat,,,,,
04,1,9,9,625,wvcnz,bird,,,,,
04,1,10,38,225,mghljkqr,crab,Has it got a hard shell?,Rb,0.9574403762817384,1.0,
04,1,11,46,737,blue,gem,Is it valuable?,Rb,0.6732008457183838,1.0,
04,1,12,73,434,imaginary,bomber,,,,,
04,1,13,61,363,htbqzylm,barrel,,,,,
04,1,14,5,25,new,brush,,,,,
04,1,15,59,349,bad,lynx,,,,,
04,1,16,22,666,ypdcglkc,sphynx,,,,,
04,1,17,33,697,wvcnz,dog,,,,,
04,1,18,66,391,good,froth,,,,,
04,1,19,60,358,special,pity,,,,,
04,1,20,82,846,ypdcglkc,shears,,,,,
04,1,21,15,87,mtpv,chess,,,,,
04,1,22,85,505,authentic,singer,,,,,
04,1,23,47,280,authentic,greed,,,,,
04,1,24,28,167,false,option,,,,,
04,1,25,27,158,imaginary,pheasant,,,,,
04,1,26,54,761,young,male,,,,,
04,1,27,40,237,htbqzylm,wreck,,,,,
04,1,28,63,377,fictional,setback,,,,,
04,1,29,78,467,fictitious,sorrow,,,,,
04,1,30,78,833,large,snake,,,,,
04,1,31,74,440,fabricated,weapon,,,,,
04,1,32,68,802,zbxlv,rank,,,,,
04,1,33,79,474,bxfjwts,despair,,,,,
04,1,34,19,109,real,ground,,,,,
04,1,35,89,865,ptrgsbkv,vegetable,,,,,
04,1,36,74,820,wvcnz,sculpture,Is it decorative?,Rb,0.8148229122161865,1.0,
04,1,37,61,361,current,barrel,,,,,
04,1,38,89,533,past,dissent,,,,,
04,1,39,83,848,digging,tool,Is it typically found in the garden?,Rb,0.9783835411071776,1.0,
04,1,40,17,102,tqvgqrz,blessing,,,,,
04,1,41,59,777,kmlsdjtw,giraffe,,,,,
04,1,42,23,667,wvcnz,cat,,,,,
04,1,43,86,858,zrtqgfplh,fork,,,,,
04,1,44,3,608,warm,bedding,Is it thin?,Ry,1.18882155418396,1.0,
04,1,45,52,755,stringed,instrument,,,,,
04,1,46,22,127,actual,monarch,,,,,
04,1,47,95,567,mghljkqr,dungeon,Is it light and airy?,Ry,0.8846347332000732,1.0,
04,1,48,63,789,vpbyzkgrf,hermit,,,,,
04,1,49,2,605,hopping,amphibian,,,,,
04,1,50,60,360,mghljkqr,pity,,,,,
04,1,51,35,208,bad,fiction,,,,,
04,1,52,57,342,mtpv,doctrine,,,,,
04,1,53,38,713,yellow,fruit,,,,,
04,1,54,28,683,petty,crime,,,,,
04,1,55,29,171,kmlsdjtw,dog,,,,,
04,1,56,12,636,qxsw,barn,,,,,
04,1,57,10,58,true,scandal,Is it newsworthy?,Rb,1.5488579273223877,1.0,
04,1,58,74,443,spurious,madness,,,,,
04,1,59,68,407,mythical,fate,,,,,
04,1,60,33,699,zrtqgfplh,Labrador,,,,,
04,1,61,38,224,hypothetical,crab,,,,,
04,1,62,76,827,wooden,shoe,,,,,
04,1,63,72,427,current,door,,,,,
04,1,64,80,479,past,aspect,,,,,
04,1,65,1,6,vpbyzkgrf,longing,,,,,
04,1,66,31,181,real,bread,,,,,
04,1,67,36,211,new,street,,,,,
04,1,68,80,480,rjdnw,aspect,,,,,
04,1,69,89,532,special,dissent,Is there disagreement?,Rb,1.2456707954406738,1.0,
