"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","AoA.Kuperman","CNC.Brysbaert","RT.BLP"
45,"LowFreq","A1","sculptress",1.951008231,12.79,4.23,698.5
45,"HighFreq","A1","cayenne",3.070484072,12.81,4.22,698.0714286
46,"LowFreq","A2","tenseness",1.598825713,11.05,2.33,736.3846154
46,"HighFreq","A2","wedlock",2.66886358,10.89,2.29,746.88
47,"LowFreq","A1","sweatband",1.974489327,9.8,4.37,703.7222222
47,"HighFreq","A1","stewardess",2.910579574,9.35,4.31,702.2058824
48,"LowFreq","A1","cutlet",2.329204182,11.76,4.52,719.4375
48,"HighFreq","A1","stockade",2.976769093,11.88,4.46,733.1666667
49,"LowFreq","A1","drench",2.057463562,9.35,3.75,594.3421053
49,"HighFreq","A1","sprain",2.604220745,9.06,3.79,602.1764706
50,"LowFreq","A1","headboard",2.488127416,9.86,4.65,665.1842105
50,"HighFreq","A1","jasmine",3.694866267,10.26,4.55,661.4117647
51,"LowFreq","A2","swoon",2.473886977,12.17,3,652.4411765
51,"HighFreq","A2","twang",2.835614813,11.89,2.96,662.84
52,"LowFreq","A2","streamer",1.926184648,7.11,4.12,663.4736842
52,"HighFreq","A2","trot",3.603147087,7.3,4.11,658.4117647
53,"LowFreq","A1","loudness",2.038158407,6.61,3.07,662.1388889
53,"HighFreq","A1","schooling",3.26393745,6.37,3.07,672.9166667
54,"LowFreq","A1","weakling",2.34894824,9.58,3.14,692
54,"HighFreq","A1","damper",2.712769065,9.5,3.13,692.78125
55,"LowFreq","A1","pullout",1.473886977,10.29,3.29,627.625
55,"HighFreq","A1","migraine",2.789157411,10,3.2,612.7105263
56,"LowFreq","A1","parch",1.172856981,11.82,3.35,661.28
56,"HighFreq","A1","reggae",3.579964496,11.56,3.41,680.9444444
57,"LowFreq","A2","outage",1.926184648,9.06,2.83,550.55
57,"HighFreq","A2","insult",3.725119504,8.63,2.79,552.5
58,"LowFreq","A2","slobber",2.286800333,7.67,4.33,639.6206897
