,set_nr,specificity,word1,word2,probe,answer,length,zipf,CNC_M,CNC_SD,imageability,valence,AoA,RT
20,7,low,zrtqgfplh,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
21,8,high,htbqzylm,penguin,,,7,3.88,5.0,0.0,6.645,6.412,5.68,562.567567567568
22,8,mid,flightless,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
23,8,low,rjdnw,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
24,9,high,ptrgsbkv,robin,,,5,4.42,4.61,1.16,6.647,5.765,6.69,599.105263157895
25,9,mid,small,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
26,9,low,ptrgsbkv,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
27,10,high,mghljkqr,swan,,,4,3.98,4.96,0.19,6.829,6.636,6.32,566.342105263158
28,10,mid,white,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
29,10,low,wvcnz,bird,,,4,4.85,5.0,0.0,6.778,6.281,3.52,504.837837837838
30,11,high,rjdnw,yacht,,,5,3.77,4.97,0.19,6.588,5.941,10.06,562.514285714286
31,11,mid,expensive,boat,,,4,4.89,4.93,0.37,6.823,5.776,3.84,545.184210526316
32,11,low,htbqzylm,boat,,,4,4.89,4.93,0.37,6.823,5.776,3.84,545.184210526316
33,12,high,rvqf,anthology,,,9,2.31,3.07,1.41,,,14.47,
34,12,mid,poetry,book,,,4,5.21,4.9,0.31,6.643,6.788,3.68,521.361111111111
35,12,low,vpbyzkgrf,book,,,4,5.21,4.9,0.31,6.643,6.788,3.68,521.361111111111
36,13,high,mtpv,wellies,,,7,3.5,,,,,,
