,set_nr,specificity,word1,word2,probe,answer,length,zipf,CNC_M,CNC_SD,imageability,valence,AoA,RT
105,36,high,kmlsdjtw,chihuahua,,,9,3.07,4.38,1.24,6.844,5.031,,
106,36,mid,small,dog,,,3,5.17,4.85,0.46,6.889,7.067,2.8,525.175
107,36,low,kmlsdjtw,dog,,,3,5.17,4.85,0.46,6.889,7.067,2.8,525.175
108,37,high,bxfjwts,labrador,,,8,3.23,4.35,1.29,,,,
109,37,mid,guide,dog,Is it disobedient? ,no,3,5.17,4.85,0.46,6.889,7.067,2.8,525.175
110,37,low,zrtqgfplh,dog,,,3,5.17,4.85,0.46,6.889,7.067,2.8,525.175
111,38,high,zbxlv,pekinese,,,8,2.08,,,,,,
112,38,mid,long-haired,dog,,,3,5.17,4.85,0.46,6.889,7.067,2.8,525.175
113,38,low,htbqzylm,dog,,,3,5.17,4.85,0.46,6.889,7.067,2.8,525.175
114,39,high,qxsw,pug,,,3,2.88,4.62,0.9,,,9.17,608.384615384615
115,39,mid,wrinkly,dog,,,3,5.17,4.85,0.46,6.889,7.067,2.8,525.175
116,39,low,fxldmr,dog,,,3,5.17,4.85,0.46,6.889,7.067,2.8,525.175
117,40,high,kmlsdjtw,waiters,,,7,3.15,,,,,,619.25641025641
118,40,mid,restaurant,employees,,,9,4.04,,,,,,
119,40,low,bxfjwts,employees,,,9,4.04,,,,,,
120,41,high,vpbyzkgrf,flounder,,,8,2.72,3.92,1.35,,,8.8,688.222222222222
121,41,mid,flat,fish,,,4,5.19,5.0,0.0,6.724,5.375,4.05,502.736842105263
122,41,low,zbxlv,fish,Does it have fins,yes,4,5.19,5.0,0.0,6.724,5.375,4.05,502.736842105263
123,42,high,mtpv,ray,,,3,4.56,3.57,1.33,,,6.73,628.028571428571
124,42,mid,flat,fish,,,4,5.19,5.0,0.0,6.724,5.375,4.05,502.736842105263
125,42,low,bxfjwts,fish,,,4,5.19,5.0,0.0,6.724,5.375,4.05,502.736842105263
126,43,high,kmlsdjtw,salmon,Does it have a pink hue?,yes,6,4.34,4.81,0.63,6.559,5.353,8.0,601.864864864865
127,43,mid,oily,fish,,,4,5.19,5.0,0.0,6.724,5.375,4.05,502.736842105263
128,43,low,qxsw,fish,,,4,5.19,5.0,0.0,6.724,5.375,4.05,502.736842105263
129,44,high,qxsw,shark,,,5,4.17,4.93,0.37,6.81,3.818,5.47,563.914285714286
130,44,mid,predator,fish,,,4,5.19,5.0,0.0,6.724,5.375,4.05,502.736842105263
131,44,low,mtpv,fish,,,4,5.19,5.0,0.0,6.724,5.375,4.05,502.736842105263
132,45,high,bxfjwts,deck,,,4,4.1,4.77,0.5,5.697,5.229,6.45,574.153846153846
133,45,mid,wooden,floor,,,5,5.04,4.8,0.81,,,4.44,496.8
134,45,low,zrtqgfplh,floor,,,5,5.04,4.8,0.81,,,4.44,496.8
135,46,high,ptrgsbkv,bluebell,,,8,3.01,,,,,9.31,686.833333333333
136,46,mid,blue,flower,,,6,4.5,5.0,0.0,6.788,7.688,3.11,513.425
137,46,low,mghljkqr,flower,,,6,4.5,5.0,0.0,6.788,7.688,3.11,513.425
138,47,high,wvcnz,daffodil,,,8,3.15,4.96,0.19,6.912,7.0,5.63,
139,47,mid,yellow,flower,,,6,4.5,5.0,0.0,6.788,7.688,3.11,513.425
140,47,low,rjdnw,flower,,,6,4.5,5.0,0.0,6.788,7.688,3.11,513.425
141,48,high,zbxlv,rose,,,4,4.64,4.9,0.41,6.824,7.118,6.11,522.027777777778
142,48,mid,thorny,flower,,,6,4.5,5.0,0.0,6.788,7.688,3.11,513.425
143,48,low,kmlsdjtw,flower,Does it have teeth?,no,6,4.5,5.0,0.0,6.788,7.688,3.11,513.425
144,49,high,ypdcglkc,durian,,,6,2.06,,,,,15.5,
145,49,mid,thorny,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
146,49,low,fxldmr,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
147,50,high,mghljkqr,banana,,,6,4.21,5.0,0.0,6.788,5.886,3.78,
148,50,mid,yellow,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
149,50,low,xkq,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
150,51,high,xkq,grape,,,5,3.54,5.0,0.0,6.714,5.933,3.94,521.871794871795
151,51,mid,purple,fruit,Does it have petals?,no,5,4.73,4.81,0.49,,,3.63,522.657894736842
152,51,low,mghljkqr,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
153,52,high,fxldmr,kiwi,,,4,3.27,4.86,0.52,6.765,6.029,7.56,674.235294117647
154,52,mid,hairy,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
155,52,low,ypdcglkc,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
156,53,high,kmlsdjtw,watermelon,,,10,3.13,4.89,0.42,,,4.22,
157,53,mid,juicy,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
158,53,low,zbxlv,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
159,54,high,rjdnw,apple,Does it have stripes?,no,5,4.58,5.0,0.0,6.909,6.147,4.15,491.925
160,54,mid,red,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
161,54,low,wvcnz,fruit,,,5,4.73,4.81,0.49,,,3.63,522.657894736842
162,55,high,mghljkqr,rugby,,,5,4.63,4.33,1.24,6.1,5.433,11.42,615.615384615385
163,55,mid,tackle,games,,,5,5.12,,,,,,556.157894736842
164,55,low,ptrgsbkv,games,,,5,5.12,,,,,,556.157894736842
