word,item_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD
cigar,1051,concrete,3.592812729,noun,5,7.67,4.93,0.27
pyramid,1055,concrete,3.713603445,noun,7,7.61,4.96,0.2
joust,1071,concrete,2.443923753,noun,5,10.63,4.03,0.93
cog,1079,concrete,3.505295441,noun,3,11.33,4.46,1.14
cloak,1081,concrete,3.426518002,noun,5,6.95,4.71,0.9
emu,1099,concrete,3.072312683,noun,3,9.0,4.79,0.62
meter,1133,concrete,3.639230242,noun,5,8.56,4.7,0.72
carcass,1138,concrete,3.451610582,noun,7,12.25,4.46,1.17
valet,1151,concrete,2.948588757,noun,5,13.67,4.26,1.13
heart,1155,concrete,5.299583497,noun,5,5.17,4.52,0.95
video,1171,concrete,4.556133631,noun,5,8.06,4.67,0.62
bowtie,1201,concrete,2.18709742,noun,6,7.94,4.89,0.31
pug,1202,concrete,2.883256447,noun,3,9.17,4.62,0.9
locket,1206,concrete,3.234811825,noun,6,8.35,4.82,0.48
shears,1230,concrete,2.936284974,noun,6,9.46,4.61,0.84
pub,1237,concrete,4.706671391,noun,3,12.05,4.71,0.6
slate,1273,concrete,3.892464449,noun,5,9.25,4.58,0.86
moat,1295,concrete,3.68563029,noun,4,9.65,4.69,0.62
muzzle,1300,concrete,3.066803588,noun,6,8.44,4.59,0.8
biceps,1307,concrete,2.785640838,noun,6,9.42,4.93,0.27
poster,1329,concrete,3.925929105,noun,6,8.12,4.66,1.04
receipt,1361,concrete,3.682954956,noun,7,8.53,4.86,0.36
bleach,1385,concrete,3.223365627,noun,6,8.0,4.74,0.53
logbook,1388,concrete,2.729159482,noun,7,12.22,4.54,1.04
factory,1427,concrete,4.587496128,noun,7,6.89,4.76,0.79
dwarf,1463,concrete,3.585037429,noun,5,7.65,4.45,0.95
arcade,1474,concrete,3.327179495,noun,6,7.79,4.74,0.53
rail,1475,concrete,4.397130995,noun,4,7.89,4.9,0.41
slum,1513,concrete,3.320017822,noun,4,11.9,4.03,0.98
child,1541,concrete,5.144720153,noun,5,5.15,4.78,0.58
airport,1546,concrete,4.543431747,noun,7,6.84,4.87,0.43
haze,1578,concrete,3.161118578,noun,4,11.62,4.04,1.02
nurse,1589,concrete,4.497824984,noun,5,5.84,4.39,0.96
sod,1592,concrete,3.568474554,noun,3,10.82,4.62,0.77
grenade,1596,concrete,3.357548412,noun,7,9.72,4.9,0.56
podium,1597,concrete,4.166293211,noun,6,9.35,4.89,0.31
choir,1606,concrete,4.241290233,noun,5,6.53,4.34,1.14
island,1607,concrete,4.964337097,noun,6,7.41,4.96,0.19
relic,1612,concrete,3.395573452,noun,5,10.63,4.07,1.11
depot,1621,concrete,3.447784174,noun,5,9.11,4.14,1.16
filet,1690,concrete,2.34894824,noun,5,9.89,4.59,0.63
silicon,1693,concrete,3.317949749,noun,7,12.67,4.68,0.67
nozzle,1752,concrete,2.874712673,noun,6,9.32,4.91,0.3
month,1758,concrete,5.079909865,noun,5,5.79,4.2,0.96
puree,1791,concrete,3.978131231,noun,5,10.94,4.16,1.11
tonsil,1799,concrete,2.252038227,noun,6,9.5,4.72,0.53
vessel,1861,concrete,3.934032794,noun,6,9.94,4.66,0.67
dip,1868,concrete,4.222462594,noun,3,7.0,4.22,0.97
trachea,1876,concrete,2.686961802,noun,7,12.05,4.48,0.83
office,1886,concrete,5.133502139,noun,6,6.68,4.93,0.27
clove,1896,concrete,3.074133627,noun,5,10.88,4.42,0.86
bass,1904,concrete,4.176317513,noun,4,8.63,4.31,1.04
garb,1910,concrete,2.443923753,noun,4,12.05,4.19,1.11
cubicle,1920,concrete,3.228490105,noun,7,13.11,4.83,0.76
decoy,1942,concrete,2.976769093,noun,5,9.44,4.34,1.14
insole,1957,concrete,1.871826985,noun,6,12.21,4.11,1.19
capsule,1969,concrete,3.379682857,noun,7,10.44,4.52,0.95
gland,1982,concrete,3.17860931,noun,5,10.61,4.14,1.18
anthrax,1989,concrete,2.473886977,noun,7,14.26,4.44,1.15
nectar,2010,concrete,3.547605327,noun,6,8.95,4.63,0.67
cumin,2045,concrete,3.483196201,noun,5,12.85,4.93,0.27
gong,2108,concrete,3.432132228,noun,4,9.62,4.7,0.84
scabies,2117,concrete,2.403305902,noun,7,12.0,4.24,1.18
beret,2150,concrete,2.983537456,noun,5,10.33,4.8,0.65
sealer,2185,concrete,1.598825713,noun,6,10.12,4.17,0.95
webcam,2188,concrete,3.175742669,noun,6,15.57,4.89,0.31
enema,2201,concrete,2.481065561,noun,5,13.56,4.44,0.8
kiln,2214,concrete,3.249618753,noun,4,10.69,4.82,0.61
velcro,2216,concrete,2.96524867,noun,6,11.48,4.92,0.27
sage,2220,concrete,3.677101235,noun,4,11.39,4.54,0.84
lentil,2290,concrete,2.848024071,noun,6,13.06,4.48,1.12
silt,2311,concrete,3.017955021,noun,4,11.75,4.71,0.53
flank,2393,concrete,3.16995199,noun,5,12.15,4.0,1.1
geisha,2400,concrete,2.883256447,noun,6,14.24,4.42,0.93
harem,2422,concrete,2.819587367,noun,5,11.0,4.38,1.02
tundra,2445,concrete,2.809679079,noun,6,12.06,4.21,1.11
email,2478,concrete,3.762434277,noun,5,11.52,4.69,0.55
fiber,2568,concrete,1.649978236,noun,5,10.82,4.5,1.04
bank,2625,concrete,5.280146112,noun,4,6.44,4.78,0.61
thong,2631,concrete,2.960553549,noun,5,12.41,4.93,0.27
anxiety,11,abstract,3.89958419,noun,7,8.17,2.21,1.03
gist,13,abstract,2.974489327,noun,4,11.3,1.81,1.02
misuse,14,abstract,3.281196456,noun,6,9.68,2.07,1.17
proxy,17,abstract,3.047918244,noun,5,14.88,2.07,1.18
prude,24,abstract,2.481065561,noun,5,12.11,2.39,1.13
stardom,25,abstract,3.138215495,noun,7,10.06,2.26,1.16
setback,40,abstract,3.51396162,noun,7,10.4,1.97,1.13
elitism,52,abstract,2.339188403,noun,7,13.87,1.75,0.94
honesty,53,abstract,3.832456293,noun,7,5.0,1.59,1.02
unease,81,abstract,3.120617363,noun,6,8.42,1.93,1.03
envy,92,abstract,3.63674997,noun,4,8.37,1.69,0.85
mood,95,abstract,4.502458229,noun,4,6.58,1.75,0.97
manner,118,abstract,4.173291058,noun,6,6.83,1.62,0.8
remorse,125,abstract,3.289021793,noun,7,11.11,2.0,1.05
mistake,141,abstract,4.791637005,noun,7,5.78,1.97,1.0
times,149,abstract,5.45582633,noun,5,6.7,2.07,1.16
elation,179,abstract,2.976769093,noun,7,11.41,2.08,1.2
intent,180,abstract,3.853192494,noun,6,9.37,1.52,0.91
sadness,244,abstract,3.721860243,noun,7,5.0,1.82,1.06
clarity,248,abstract,3.793340055,noun,7,10.55,2.0,1.1
fad,254,abstract,3.011706072,noun,3,10.25,2.36,1.19
folly,289,abstract,3.296708622,noun,5,10.67,1.92,1.02
relapse,294,abstract,2.649978236,noun,7,12.89,2.21,1.18
virtue,297,abstract,3.514621141,noun,6,11.53,1.62,1.12
mercy,298,abstract,4.02370735,noun,5,8.74,1.57,0.73
madness,314,abstract,4.029384483,noun,7,9.42,1.97,1.2
craze,336,abstract,3.483196201,noun,5,9.1,2.04,1.11
courage,337,abstract,4.208953326,noun,7,8.42,1.52,0.99
offense,354,abstract,1.737128411,noun,7,8.61,2.03,1.02
usage,377,abstract,3.266278666,noun,5,10.74,2.07,0.98
esteem,380,abstract,3.539591149,noun,6,10.55,1.83,1.04
regard,406,abstract,4.188076979,noun,6,10.2,1.79,0.96
greed,409,abstract,3.629223014,noun,5,7.63,1.53,0.73
splurge,438,abstract,2.635254979,noun,7,10.56,2.0,1.02
letdown,441,abstract,2.508649083,noun,7,10.28,1.83,1.04
pity,444,abstract,4.095236388,noun,4,8.72,1.87,1.14
snub,459,abstract,2.614813819,noun,4,12.1,2.41,1.15
urgency,462,abstract,3.582226451,noun,7,9.81,2.03,1.12
piety,465,abstract,2.664218675,noun,5,12.6,1.56,0.82
levity,468,abstract,2.18709742,noun,6,14.78,1.81,1.06
privacy,482,abstract,4.036576276,noun,7,7.84,1.5,0.58
egotism,493,abstract,1.809679079,noun,7,13.68,1.9,1.18
quality,503,abstract,5.007447215,noun,7,8.78,2.18,1.19
snide,516,abstract,2.428129486,noun,5,10.33,2.04,1.08
saga,534,abstract,3.530791828,noun,4,10.42,2.19,1.2
fantasy,546,abstract,3.995678626,noun,7,8.4,1.59,0.95
creed,562,abstract,3.064951584,noun,5,9.17,2.1,0.98
essence,564,abstract,3.964313698,noun,7,11.9,1.66,1.08
stigma,565,abstract,3.316912008,noun,6,15.56,1.76,0.97
catchy,588,abstract,3.311685778,noun,6,8.74,1.79,0.98
sin,589,abstract,3.95676056,noun,3,6.74,1.85,1.2
dilemma,621,abstract,3.833722459,noun,7,10.72,2.0,1.05
fame,628,abstract,4.182307877,noun,4,7.26,1.96,1.08
humbug,636,abstract,2.816309657,noun,6,8.29,1.57,0.95
chance,657,abstract,5.455984759,noun,6,7.78,1.64,0.99
