,word_concrete,item_nr_concrete,condition_concrete,Zipf_concrete,PoS_concrete,Length_concrete,AoA_concrete,CNC_M_concrete,CNC_SD_concrete,word_abstract,item_nr_abstract,condition_abstract,Zipf_abstract,PoS_abstract,Length_abstract,AoA_abstract,CNC_M_abstract,CNC_SD_abstract
39,manor,406,concrete,3.924136085,noun,5,9.55,4.7,0.61,regard,406,abstract,4.188076979,noun,6,10.2,1.79,0.96
40,knuckle,409,concrete,3.364121643,noun,7,5.94,4.93,0.26,greed,409,abstract,3.629223014,noun,5,7.63,1.53,0.73
41,mulch,438,concrete,2.854098218,noun,5,9.22,4.59,1.05,splurge,438,abstract,2.635254979,noun,7,10.56,2.0,1.02
42,serum,441,concrete,2.57079699,noun,5,10.22,4.27,1.17,letdown,441,abstract,2.508649083,noun,7,10.28,1.83,1.04
43,grave,444,concrete,4.198162846,noun,5,7.06,4.56,0.8,pity,444,abstract,4.095236388,noun,4,8.72,1.87,1.14
44,hemp,459,concrete,2.620015012,noun,4,12.94,4.85,0.46,snub,459,abstract,2.614813819,noun,4,12.1,2.41,1.15
45,pendant,462,concrete,3.457663565,noun,7,10.3,4.75,0.59,urgency,462,abstract,3.582226451,noun,7,9.81,2.03,1.12
46,crypt,465,concrete,2.871826985,noun,5,10.68,4.75,0.61,piety,465,abstract,2.664218675,noun,5,12.6,1.56,0.82
47,rotator,468,concrete,1.974489327,noun,7,13.5,4.45,0.78,levity,468,abstract,2.18709742,noun,6,14.78,1.81,1.06
48,author,482,concrete,4.233554821,noun,6,7.1,4.26,1.1,privacy,482,abstract,4.036576276,noun,7,7.84,1.5,0.58
49,wiper,492,concrete,2.678006959,noun,5,8.37,4.56,0.89,goner,492,abstract,2.829274635,noun,5,9.35,2.12,0.93
50,giblet,493,concrete,1.951008231,noun,6,11.72,4.62,0.8,egotism,493,abstract,1.809679079,noun,7,13.68,1.9,1.18
51,scale,503,concrete,4.715225889,noun,5,8.85,4.39,0.83,quality,503,abstract,5.007447215,noun,7,8.78,2.18,1.19
52,buttock,516,concrete,2.553068223,noun,7,10.44,4.79,0.63,snide,516,abstract,2.428129486,noun,5,10.33,2.04,1.08
53,limo,534,concrete,3.245964079,noun,4,8.42,4.7,0.79,saga,534,abstract,3.530791828,noun,4,10.42,2.19,1.2
54,worker,546,concrete,4.28097079,noun,6,6.67,4.59,0.73,fantasy,546,abstract,3.995678626,noun,7,8.4,1.59,0.95
55,server,562,concrete,2.933781829,noun,6,9.94,4.55,0.91,creed,562,abstract,3.064951584,noun,5,9.17,2.1,0.98
56,tenant,564,concrete,3.739490853,noun,6,10.33,4.55,0.95,essence,564,abstract,3.964313698,noun,7,11.9,1.66,1.08
57,bong,565,concrete,3.450084062,noun,4,14.16,4.27,1.19,stigma,565,abstract,3.316912008,noun,6,15.56,1.76,0.97
58,tropics,588,concrete,3.059347706,noun,7,10.47,4.08,1.02,catchy,588,abstract,3.311685778,noun,6,8.74,1.79,0.98
59,brake,589,concrete,3.839374961,noun,5,5.95,4.44,0.87,sin,589,abstract,3.95676056,noun,3,6.74,1.85,1.2
60,crop,604,concrete,4.098340968,noun,4,7.63,4.24,1.01,behalf,604,abstract,4.287134277,noun,6,9.2,1.52,0.82
61,bedmate,607,concrete,1.172856981,noun,7,11.0,4.27,1.04,peeve,607,abstract,1.394705731,noun,5,11.88,2.0,1.12
62,cellar,621,concrete,3.789857322,noun,6,8.94,4.68,0.86,dilemma,621,abstract,3.833722459,noun,7,10.72,2.0,1.05
63,seal,628,concrete,4.283558898,noun,4,5.42,4.63,0.74,fame,628,abstract,4.182307877,noun,4,7.26,1.96,1.08
64,ribcage,636,concrete,2.576549318,noun,7,8.56,4.96,0.19,humbug,636,abstract,2.816309657,noun,6,8.29,1.57,0.95
65,cunt,637,concrete,3.030189477,noun,4,13.74,4.21,1.17,innate,637,abstract,2.907923331,noun,6,13.58,1.73,0.87
66,stage,657,concrete,5.189110117,noun,5,6.32,4.64,0.91,chance,657,abstract,5.455984759,noun,6,7.78,1.64,0.99
67,tendon,686,concrete,2.981293035,noun,6,9.58,4.47,0.97,sleaze,686,abstract,2.848024071,noun,6,11.21,2.41,1.05
68,pork,743,concrete,4.388494544,noun,4,5.63,4.79,0.82,faith,743,abstract,4.666361503,noun,5,7.62,1.63,1.08
69,skewer,746,concrete,2.96524867,noun,6,8.94,4.46,0.92,taker,746,abstract,3.243510432,noun,5,7.9,2.3,1.2
70,cursor,759,concrete,2.308519583,noun,6,12.16,4.33,1.0,whimsy,759,abstract,2.367833584,noun,6,10.26,1.85,1.13
71,onyx,770,concrete,2.883256447,noun,4,13.29,4.64,0.99,jargon,770,abstract,3.115691475,noun,6,11.94,2.07,1.13
72,stud,790,concrete,3.45916372,noun,4,10.78,4.0,1.17,ordeal,790,abstract,3.632249469,noun,6,10.06,2.04,1.15
73,spandex,824,concrete,2.466587738,noun,7,9.89,4.97,0.19,infamy,824,abstract,2.508649083,noun,6,10.56,1.75,1.04
74,mite,898,concrete,3.083125553,noun,4,11.35,4.3,1.11,whim,898,abstract,3.155128214,noun,4,10.74,1.69,0.79
75,stubble,902,concrete,2.822840525,noun,7,9.28,4.54,0.65,lunacy,902,abstract,2.822840525,noun,6,10.58,1.76,0.87
76,gash,908,concrete,2.946155729,noun,4,7.95,4.39,1.1,vow,908,abstract,3.202240759,noun,3,9.32,2.42,1.15
77,elm,937,concrete,3.402453509,noun,3,9.06,4.69,1.04,merit,937,abstract,3.577120383,noun,5,10.47,1.66,0.97
78,cleft,959,concrete,2.691370921,noun,5,11.83,4.31,1.05,obtuse,959,abstract,2.428129486,noun,6,12.06,2.14,1.19
79,maid,968,concrete,3.771647488,noun,4,6.95,4.64,0.87,hatred,968,abstract,3.648043736,noun,6,8.72,2.0,1.2
80,talker,1000,concrete,2.863053061,noun,6,5.74,4.39,0.99,favor,1000,abstract,2.799539447,noun,5,6.94,2.07,1.19
81,survey,1001,concrete,4.282435528,noun,6,11.26,4.08,1.19,destiny,1001,abstract,3.98621554,noun,7,10.21,1.67,0.92
82,mare,1005,concrete,3.652384305,noun,4,8.84,4.75,0.59,heyday,1005,abstract,3.563792088,noun,6,10.59,1.52,0.7
83,brain,1019,concrete,4.8371855,noun,5,5.76,4.69,0.74,risk,1019,abstract,4.984833925,noun,4,7.58,1.63,0.81
84,soy,1024,concrete,3.638239832,noun,3,13.56,4.7,0.6,circa,1024,abstract,3.363188679,noun,5,13.12,2.12,1.11
85,cigar,1051,concrete,3.592812729,noun,5,7.67,4.93,0.27,gloom,1051,abstract,3.603684248,noun,5,9.0,1.86,1.09
86,pyramid,1055,concrete,3.713603445,noun,7,7.61,4.96,0.2,dread,1055,abstract,3.6576312,noun,5,9.44,1.86,1.06
87,joust,1071,concrete,2.443923753,noun,5,10.63,4.03,0.93,penance,1071,abstract,2.695735726,noun,7,12.5,1.52,0.77
88,cog,1079,concrete,3.505295441,noun,3,11.33,4.46,1.14,vibe,1079,abstract,3.560839701,noun,4,11.0,1.89,1.05
89,cloak,1081,concrete,3.426518002,noun,5,6.95,4.71,0.9,sane,1081,abstract,3.351833928,noun,4,8.5,1.79,0.94
90,attire,1091,concrete,2.96524867,noun,6,11.22,4.47,0.88,gripe,1091,abstract,2.691370921,noun,5,10.44,2.15,1.01
91,emu,1099,concrete,3.072312683,noun,3,9.0,4.79,0.62,glam,1099,abstract,3.298880099,noun,4,11.0,2.43,0.99
92,tartar,1105,concrete,2.785640838,noun,6,9.94,4.4,1.13,,1105,abstract,2.582226451,noun,4,11.53,1.79,0.98
93,meter,1133,concrete,3.639230242,noun,5,8.56,4.7,0.72,knack,1133,abstract,3.358493558,noun,5,9.78,2.05,1.09
94,carcass,1138,concrete,3.451610582,noun,7,12.25,4.46,1.17,enigma,1138,abstract,3.283446691,noun,6,14.17,1.79,1.2
95,valet,1151,concrete,2.948588757,noun,5,13.67,4.26,1.13,wry,1151,abstract,2.860088582,noun,3,13.4,1.59,0.84
96,heart,1155,concrete,5.299583497,noun,5,5.17,4.52,0.95,idea,1155,abstract,5.564656286,noun,4,5.95,1.61,1.2
97,video,1171,concrete,4.556133631,noun,5,8.06,4.67,0.62,scheme,1171,abstract,4.689568593,noun,6,9.65,2.41,1.19
98,yarn,1180,concrete,3.142893758,noun,4,6.61,4.93,0.37,poof,1180,abstract,2.907923331,noun,4,5.67,2.22,1.09
99,bowtie,1201,concrete,2.18709742,noun,6,7.94,4.89,0.31,rawness,1201,abstract,2.385931806,noun,7,8.68,2.36,1.19
100,pug,1202,concrete,2.883256447,noun,3,9.17,4.62,0.9,tact,1202,abstract,2.883256447,noun,4,10.42,1.76,1.12
101,locket,1206,concrete,3.234811825,noun,6,8.35,4.82,0.48,norm,1206,abstract,3.52375079,noun,4,9.84,2.11,1.1
102,shears,1230,concrete,2.936284974,noun,6,9.46,4.61,0.84,mutiny,1230,abstract,3.12709949,noun,6,10.59,2.24,0.97
103,pub,1237,concrete,4.706671391,noun,3,12.05,4.71,0.6,basis,1237,abstract,4.625307905,noun,5,11.05,1.83,0.97
104,slate,1273,concrete,3.892464449,noun,5,9.25,4.58,0.86,logic,1273,abstract,3.898224043,noun,5,10.58,1.72,1.07
105,carp,1276,concrete,3.13506842,noun,4,11.42,4.62,0.9,vulgar,1276,abstract,3.236065201,noun,6,11.57,1.97,0.98
106,moat,1295,concrete,3.68563029,noun,4,9.65,4.69,0.62,ego,1295,abstract,3.632249469,noun,3,10.89,1.74,1.1
107,muzzle,1300,concrete,3.066803588,noun,6,8.44,4.59,0.8,ethic,1300,abstract,3.303190749,noun,5,10.21,1.59,0.93
108,biceps,1307,concrete,2.785640838,noun,6,9.42,4.93,0.27,sorcery,1307,abstract,2.704335898,noun,7,10.39,2.0,1.11
109,poster,1329,concrete,3.925929105,noun,6,8.12,4.66,1.04,wisdom,1329,abstract,3.922335631,noun,6,9.61,1.53,0.86
