,noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD,denotation,adjective,phrase
100,elation,17,abstract,2.976769093,noun,7,11.41,2.08,1.2,privative,fabricated,fabricated elation
102,stitch,18,concrete,3.597194048,noun,6,7.39,4.32,0.77,subsective,authentic,authentic stitch
103,stitch,18,concrete,3.597194048,noun,6,7.39,4.32,0.77,privative,counterfeit,counterfeit stitch
105,intent,18,abstract,3.853192494,noun,6,9.37,1.52,0.91,subsective,important,important intent
106,intent,18,abstract,3.853192494,noun,6,9.37,1.52,0.91,privative,former,former intent
108,haircut,19,concrete,3.729159482,noun,7,4.05,4.77,0.71,subsective,actual,actual haircut
109,haircut,19,concrete,3.729159482,noun,7,4.05,4.77,0.71,privative,artificial,artificial haircut
111,sadness,19,abstract,3.721860243,noun,7,5.0,1.82,1.06,subsective,important,important sadness
112,sadness,19,abstract,3.721860243,noun,7,5.0,1.82,1.06,privative,former,former sadness
114,bowler,20,concrete,3.553670991,noun,6,10.58,4.45,0.95,subsective,good,good bowler
115,bowler,20,concrete,3.553670991,noun,6,10.58,4.45,0.95,privative,fictitious,fictitious bowler
117,clarity,20,abstract,3.793340055,noun,7,10.55,2.0,1.1,subsective,real,real clarity
118,clarity,20,abstract,3.793340055,noun,7,10.55,2.0,1.1,privative,mythical,mythical clarity
120,deli,21,concrete,3.079551092,noun,4,8.84,4.57,0.84,subsective,unique,unique deli
121,deli,21,concrete,3.079551092,noun,4,8.84,4.57,0.84,privative,virtual,virtual deli
123,fad,21,abstract,3.011706072,noun,3,10.25,2.36,1.19,subsective,authentic,authentic fad
124,fad,21,abstract,3.011706072,noun,3,10.25,2.36,1.19,privative,counterfeit,counterfeit fad
126,judo,22,concrete,3.293430912,noun,4,10.67,4.32,1.19,subsective,new,new judo
127,judo,22,concrete,3.293430912,noun,4,10.67,4.32,1.19,privative,hypothetical,hypothetical judo
129,folly,22,abstract,3.296708622,noun,5,10.67,1.92,1.02,subsective,true,true folly
130,folly,22,abstract,3.296708622,noun,5,10.67,1.92,1.02,privative,phony,phony folly
132,thorax,23,concrete,2.540833766,noun,6,11.31,4.56,1.0,subsective,real,real thorax
133,thorax,23,concrete,2.540833766,noun,6,11.31,4.56,1.0,privative,mythical,mythical thorax
135,relapse,23,abstract,2.649978236,noun,7,12.89,2.21,1.18,subsective,current,current relapse
136,relapse,23,abstract,2.649978236,noun,7,12.89,2.21,1.18,privative,false,false relapse
138,parsnip,24,concrete,3.267444558,noun,7,10.75,4.85,0.77,subsective,actual,actual parsnip
139,parsnip,24,concrete,3.267444558,noun,7,10.75,4.85,0.77,privative,artificial,artificial parsnip
141,virtue,24,abstract,3.514621141,noun,6,11.53,1.62,1.12,subsective,typical,typical virtue
142,virtue,24,abstract,3.514621141,noun,6,11.53,1.62,1.12,privative,spurious,spurious virtue
144,wound,25,concrete,4.102956619,noun,5,7.52,4.24,0.78,subsective,average,average wound
145,wound,25,concrete,4.102956619,noun,5,7.52,4.24,0.78,privative,fabricated,fabricated wound
147,mercy,25,abstract,4.02370735,noun,5,8.74,1.57,0.73,subsective,special,special mercy
148,mercy,25,abstract,4.02370735,noun,5,8.74,1.57,0.73,privative,past,past mercy
150,citizen,26,concrete,3.88522604,noun,7,7.74,4.43,1.01,subsective,special,special citizen
151,citizen,26,concrete,3.88522604,noun,7,7.74,4.43,1.01,privative,past,past citizen
153,madness,26,abstract,4.029384483,noun,7,9.42,1.97,1.2,subsective,bad,bad madness
154,madness,26,abstract,4.029384483,noun,7,9.42,1.97,1.2,privative,fake,fake madness
156,mesh,27,concrete,3.270923571,noun,4,9.89,4.41,0.95,subsective,important,important mesh
157,mesh,27,concrete,3.270923571,noun,4,9.89,4.41,0.95,privative,former,former mesh
159,craze,27,abstract,3.483196201,noun,5,9.1,2.04,1.11,subsective,current,current craze
