item_nr,condition,match_null,string,Zipf.SUBTLEX_UK,PoS.SUBTLEX_UK,Length,AoA.Kuperman,CNC.Brysbaert.M,CNC.Brysbaert.SD
13,Abstract,A1,disdain,2.729159482,noun,7,13.44,1.83,0.89
13,Concrete,A1,geisha,2.883256447,noun,6,14.24,4.42,0.93
16,Abstract,A1,purpose,4.511180642,noun,7,8.37,1.52,0.98
16,Concrete,A1,steel,4.416060444,noun,5,7.68,4.87,0.35
17,Abstract,A2,belief,4.27299768,noun,6,7.3,1.19,0.68
17,Concrete,A2,darts,4.155580369,noun,5,7.03,4.83,0.48
19,Abstract,A2,mercy,4.02370735,noun,5,8.74,1.57,0.73
19,Concrete,A2,ferry,4.017955021,noun,5,8,4.83,0.6
20,Abstract,A2,charade,2.785640838,noun,7,9.56,1.93,0.98
20,Concrete,A2,bonbon,2.902561602,noun,6,9.28,4.61,0.89
22,Abstract,A2,greed,3.629223014,noun,5,7.63,1.53,0.73
22,Concrete,A2,ramp,3.668401318,noun,4,7.28,4.69,0.6
59,Abstract,A2,glory,4.371605682,noun,5,7.4,1.45,0.95
59,Concrete,A2,rail,4.397130995,noun,4,7.89,4.9,0.41
60,Abstract,A2,charade,2.785640838,noun,7,9.56,1.93,0.98
60,Concrete,A2,server,2.933781829,noun,6,9.94,4.55,0.91
69,Abstract,A2,bonkers,3.746888249,noun,7,8.28,1.76,0.97
69,Concrete,A2,barge,3.596102855,noun,5,9.28,4.66,0.9
94,Abstract,A2,greed,3.629223014,noun,5,7.63,1.53,0.73
94,Concrete,A2,bedding,3.546381961,noun,7,6.67,4.61,0.88
113,Abstract,A2,motive,3.607957783,noun,6,11.06,1.5,0.9
113,Concrete,A2,brewery,3.454647619,noun,7,10.72,4.62,0.64
120,Abstract,A2,manner,4.173291058,noun,6,6.83,1.62,0.8
120,Concrete,A2,cotton,4.101423513,noun,6,6,4.97,0.19
122,Abstract,A2,null,2.582226451,noun,4,11.53,1.79,0.98
122,Concrete,A2,earwig,2.488127416,noun,6,10.71,4.78,0.8
132,Abstract,A2,loyalty,3.849550591,noun,7,8.78,1.57,0.88
132,Concrete,A2,oyster,3.824134995,noun,6,8,4.85,0.6
141,Abstract,A2,fantasy,3.995678626,noun,7,8.4,1.59,0.95
141,Concrete,A2,ferry,4.017955021,noun,5,8,4.83,0.6
152,Abstract,A2,sarcasm,3.022071587,noun,7,9.06,1.63,0.93
152,Concrete,A2,lilac,3.017955021,noun,5,8.89,4.69,0.97
155,Abstract,A2,sarcasm,3.022071587,noun,7,9.06,1.63,0.93
155,Abstract,A2,morals,3.253242928,noun,6,9.75,1.31,0.6
155,Concrete,A2,trinket,2.983537456,noun,7,9.39,4.48,0.98
155,Concrete,A2,indigo,3.252038227,noun,6,8.89,4.36,0.99
171,Abstract,A1,fraud,4.251192943,noun,5,10.11,1.68,0.86
171,Concrete,A1,resort,4.112708899,noun,6,9.28,4.3,0.95
179,Abstract,A1,mood,4.502458229,noun,4,6.58,1.75,0.97
179,Concrete,A1,album,4.546504453,noun,5,6.72,4.69,0.68
202,Abstract,A2,sarcasm,3.022071587,noun,7,9.06,1.63,0.93
202,Concrete,A2,tortilla,2.941248394,noun,8,8.28,4.89,0.57
207,Abstract,A2,justice,4.746115482,noun,7,9.47,1.45,0.74
207,Concrete,A2,museum,4.593527708,noun,6,8.55,4.6,0.91
215,Abstract,A2,greed,3.629223014,noun,5,7.63,1.53,0.73
215,Abstract,A2,mood,4.502458229,noun,4,6.58,1.75,0.97
215,Concrete,A2,hive,3.499875159,noun,4,6.89,4.83,0.46
215,Concrete,A2,beer,4.47410407,noun,4,6.11,4.88,0.33
