noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD
stigma,49,abstract,3.316912008,noun,6,15.56,1.76,0.97
tropics,50,concrete,3.059347706,noun,7,10.47,4.08,1.02
catchy,50,abstract,3.311685778,noun,6,8.74,1.79,0.98
brake,51,concrete,3.839374961,noun,5,5.95,4.44,0.87
sin,51,abstract,3.95676056,noun,3,6.74,1.85,1.2
cellar,52,concrete,3.789857322,noun,6,8.94,4.68,0.86
dilemma,52,abstract,3.833722459,noun,7,10.72,2.0,1.05
seal,53,concrete,4.283558898,noun,4,5.42,4.63,0.74
fame,53,abstract,4.182307877,noun,4,7.26,1.96,1.08
ribcage,54,concrete,2.576549318,noun,7,8.56,4.96,0.19
humbug,54,abstract,2.816309657,noun,6,8.29,1.57,0.95
stage,55,concrete,5.189110117,noun,5,6.32,4.64,0.91
chance,55,abstract,5.455984759,noun,6,7.78,1.64,0.99
tendon,56,concrete,2.981293035,noun,6,9.58,4.47,0.97
sleaze,56,abstract,2.848024071,noun,6,11.21,2.41,1.05
pork,57,concrete,4.388494544,noun,4,5.63,4.79,0.82
faith,57,abstract,4.666361503,noun,5,7.62,1.63,1.08
onyx,58,concrete,2.883256447,noun,4,13.29,4.64,0.99
jargon,58,abstract,3.115691475,noun,6,11.94,2.07,1.13
stud,59,concrete,3.45916372,noun,4,10.78,4.0,1.17
ordeal,59,abstract,3.632249469,noun,6,10.06,2.04,1.15
spandex,60,concrete,2.466587738,noun,7,9.89,4.97,0.19
infamy,60,abstract,2.508649083,noun,6,10.56,1.75,1.04
stubble,61,concrete,2.822840525,noun,7,9.28,4.54,0.65
lunacy,61,abstract,2.822840525,noun,6,10.58,1.76,0.87
gash,62,concrete,2.946155729,noun,4,7.95,4.39,1.1
vow,62,abstract,3.202240759,noun,3,9.32,2.42,1.15
elm,63,concrete,3.402453509,noun,3,9.06,4.69,1.04
merit,63,abstract,3.577120383,noun,5,10.47,1.66,0.97
cleft,64,concrete,2.691370921,noun,5,11.83,4.31,1.05
obtuse,64,abstract,2.428129486,noun,6,12.06,2.14,1.19
maid,65,concrete,3.771647488,noun,4,6.95,4.64,0.87
hatred,65,abstract,3.648043736,noun,6,8.72,2.0,1.2
talker,66,concrete,2.863053061,noun,6,5.74,4.39,0.99
favor,66,abstract,2.799539447,noun,5,6.94,2.07,1.19
survey,67,concrete,4.282435528,noun,6,11.26,4.08,1.19
destiny,67,abstract,3.98621554,noun,7,10.21,1.67,0.92
mare,68,concrete,3.652384305,noun,4,8.84,4.75,0.59
heyday,68,abstract,3.563792088,noun,6,10.59,1.52,0.7
brain,69,concrete,4.8371855,noun,5,5.76,4.69,0.74
risk,69,abstract,4.984833925,noun,4,7.58,1.63,0.81
cigar,70,concrete,3.592812729,noun,5,7.67,4.93,0.27
gloom,70,abstract,3.603684248,noun,5,9.0,1.86,1.09
pyramid,71,concrete,3.713603445,noun,7,7.61,4.96,0.2
dread,71,abstract,3.6576312,noun,5,9.44,1.86,1.06
joust,72,concrete,2.443923753,noun,5,10.63,4.03,0.93
penance,72,abstract,2.695735726,noun,7,12.5,1.52,0.77
cog,73,concrete,3.505295441,noun,3,11.33,4.46,1.14
vibe,73,abstract,3.560839701,noun,4,11.0,1.89,1.05
cloak,74,concrete,3.426518002,noun,5,6.95,4.71,0.9
sane,74,abstract,3.351833928,noun,4,8.5,1.79,0.94
emu,75,concrete,3.072312683,noun,3,9.0,4.79,0.62
glam,75,abstract,3.298880099,noun,4,11.0,2.43,0.99
meter,76,concrete,3.639230242,noun,5,8.56,4.7,0.72
knack,76,abstract,3.358493558,noun,5,9.78,2.05,1.09
carcass,77,concrete,3.451610582,noun,7,12.25,4.46,1.17
enigma,77,abstract,3.283446691,noun,6,14.17,1.79,1.2
valet,78,concrete,2.948588757,noun,5,13.67,4.26,1.13
wry,78,abstract,2.860088582,noun,3,13.4,1.59,0.84
heart,79,concrete,5.299583497,noun,5,5.17,4.52,0.95
idea,79,abstract,5.564656286,noun,4,5.95,1.61,1.2
video,80,concrete,4.556133631,noun,5,8.06,4.67,0.62
scheme,80,abstract,4.689568593,noun,6,9.65,2.41,1.19
bowtie,81,concrete,2.18709742,noun,6,7.94,4.89,0.31
rawness,81,abstract,2.385931806,noun,7,8.68,2.36,1.19
pug,82,concrete,2.883256447,noun,3,9.17,4.62,0.9
tact,82,abstract,2.883256447,noun,4,10.42,1.76,1.12
locket,83,concrete,3.234811825,noun,6,8.35,4.82,0.48
norm,83,abstract,3.52375079,noun,4,9.84,2.11,1.1
shears,84,concrete,2.936284974,noun,6,9.46,4.61,0.84
mutiny,84,abstract,3.12709949,noun,6,10.59,2.24,0.97
pub,85,concrete,4.706671391,noun,3,12.05,4.71,0.6
basis,85,abstract,4.625307905,noun,5,11.05,1.83,0.97
slate,86,concrete,3.892464449,noun,5,9.25,4.58,0.86
logic,86,abstract,3.898224043,noun,5,10.58,1.72,1.07
moat,87,concrete,3.68563029,noun,4,9.65,4.69,0.62
ego,87,abstract,3.632249469,noun,3,10.89,1.74,1.1
muzzle,88,concrete,3.066803588,noun,6,8.44,4.59,0.8
ethic,88,abstract,3.303190749,noun,5,10.21,1.59,0.93
biceps,89,concrete,2.785640838,noun,6,9.42,4.93,0.27
sorcery,89,abstract,2.704335898,noun,7,10.39,2.0,1.11
poster,90,concrete,3.925929105,noun,6,8.12,4.66,1.04
wisdom,90,abstract,3.922335631,noun,6,9.61,1.53,0.86
receipt,91,concrete,3.682954956,noun,7,8.53,4.86,0.36
racism,91,abstract,3.712351274,noun,6,9.56,2.36,1.11
bleach,92,concrete,3.223365627,noun,6,8.0,4.74,0.53
decency,92,abstract,3.298880099,noun,7,9.0,2.0,1.19
