item_nr,condition,match_null,string,Zipf.SUBTLEX_UK,PoS.SUBTLEX_UK,Length,AoA.Kuperman,CNC.Brysbaert.M,CNC.Brysbaert.SD
289,Concrete,A2,judo,3.293430912,noun,4,10.67,4.32,1.19
294,Concrete,A2,thorax,2.540833766,noun,6,11.31,4.56,1
297,Concrete,A1,parsnip,3.267444558,noun,7,10.75,4.85,0.77
298,Concrete,A2,wound,4.102956619,noun,5,7.52,4.24,0.78
300,Concrete,A2,maze,3.688730825,noun,4,7.11,4.45,0.95
314,Concrete,A2,citizen,3.88522604,noun,7,7.74,4.43,1.01
315,Concrete,A1,tibia,2.760193715,noun,5,12.12,4.48,1.16
316,Concrete,A2,smile,4.712518439,noun,5,3.51,4.5,0.75
322,Concrete,A2,pint,4.143668592,noun,4,8.37,4.43,0.84
336,Concrete,A2,mesh,3.270923571,noun,4,9.89,4.41,0.95
337,Concrete,A2,cricket,4.452219691,noun,7,7.72,4.77,0.68
338,Concrete,A2,mascara,3.051761583,noun,7,9.21,4.93,0.26
342,Concrete,A2,rifle,3.618461184,noun,5,7.85,4.85,0.46
354,Concrete,A2,cookout,1.540833766,noun,7,7.42,4.25,1.11
358,Concrete,A2,kick,4.908429269,noun,4,4.06,4.33,0.98
366,Concrete,A1,notch,3.57079699,noun,5,8.47,4.23,0.91
369,Concrete,A2,planet,4.659995356,noun,6,6.67,4.58,1.14
377,Concrete,A2,boa,3.136644808,noun,3,9.56,4.92,0.28
378,Concrete,A2,lagoon,3.26040179,noun,6,9.42,4.5,0.94
380,Concrete,A2,bowel,3.470981986,noun,5,9.72,4.53,0.68
382,Concrete,A1,lark,3.521810529,noun,4,11.82,4.28,1.31
383,Concrete,A2,spa,3.790556107,noun,3,11.06,4.67,0.92
392,Concrete,A1,gavel,3.528882838,noun,5,9.22,4.88,0.43
393,Concrete,A1,footman,2.725119504,noun,7,11.59,4.55,0.87
395,Concrete,A2,boat,4.886235506,noun,4,3.84,4.93,0.37
397,Concrete,A1,fritter,2.767617734,noun,7,13,4.11,1.5
405,Concrete,A2,bunny,3.890804723,noun,5,4.5,4.97,0.19
406,Concrete,A1,manor,3.924136085,noun,5,9.55,4.7,0.61
409,Concrete,A2,knuckle,3.364121643,noun,7,5.94,4.93,0.26
412,Concrete,A2,pretzel,2.376976964,noun,7,5,4.74,0.86
414,Concrete,A2,mussel,3.253242928,noun,6,10,4.69,0.76
415,Concrete,A1,pageant,3.371514068,noun,7,10,4,1.2
417,Concrete,A2,ricotta,3.098856247,noun,7,12.67,4.86,0.52
425,Concrete,A2,shroud,2.838750526,noun,6,11.65,4.34,1.17
431,Concrete,A2,archway,3.059347706,noun,7,10.06,4.28,1.31
438,Concrete,A2,mulch,2.854098218,noun,5,9.22,4.59,1.05
441,Concrete,A2,serum,2.57079699,noun,5,10.22,4.27,1.17
442,Concrete,A1,satin,3.12709949,noun,5,10.37,4.57,0.94
444,Concrete,A2,grave,4.198162846,noun,5,7.06,4.56,0.8
459,Concrete,A1,hemp,2.620015012,noun,4,12.94,4.85,0.46
462,Concrete,A2,pendant,3.457663565,noun,7,10.3,4.75,0.59
463,Concrete,A2,dragon,4.276888618,noun,6,5.58,4.39,1.03
464,Concrete,A2,gecko,3.077752769,noun,5,10.32,4.76,0.72
465,Concrete,A2,crypt,2.871826985,noun,5,10.68,4.75,0.61
468,Concrete,A1,rotator,1.974489327,noun,7,13.5,4.45,0.78
474,Concrete,A2,shrew,3.168492176,noun,5,11.82,4.07,1.27
476,Concrete,A2,wink,3.456911539,noun,4,7.65,4.23,1.03
482,Concrete,A2,author,4.233554821,noun,6,7.1,4.26,1.1
492,Concrete,A2,wiper,2.678006959,noun,5,8.37,4.56,0.89
493,Concrete,A1,giblet,1.951008231,noun,6,11.72,4.62,0.8
495,Concrete,A2,gamer,2.451610582,noun,5,11.65,4,0.92
501,Concrete,A2,kelp,3.180035566,noun,4,10.22,4.9,0.56
503,Concrete,A1,scale,4.715225889,noun,5,8.85,4.39,0.83
514,Concrete,A1,galley,3.164083057,noun,6,12.69,4.07,1.54
516,Concrete,A1,buttock,2.553068223,noun,7,10.44,4.79,0.63
522,Concrete,A2,scuba,3.202240759,noun,5,7.6,4.23,0.82
527,Concrete,A2,goose,4.027770003,noun,5,5.15,4.81,0.65
531,Concrete,A2,clone,3.03219546,noun,5,8.89,4.34,0.86
533,Concrete,A2,nylon,3.100569443,noun,5,10,4.7,0.82
534,Concrete,A2,limo,3.245964079,noun,4,8.42,4.7,0.79
538,Concrete,A2,toolkit,2.521810529,noun,7,7.83,4.76,0.69
539,Concrete,A2,glass,4.918894069,noun,5,4.47,4.82,0.48
544,Concrete,A2,beacon,3.433723053,noun,6,11.37,4.38,0.86
546,Concrete,A2,worker,4.28097079,noun,6,6.67,4.59,0.73
547,Concrete,A1,brandy,3.830231582,noun,6,12.1,4.81,0.62
552,Concrete,A1,page,4.524008838,noun,4,5.16,4.9,0.31
559,Concrete,A2,pupil,3.932776518,noun,5,8.06,4.55,0.63
562,Concrete,A2,server,2.933781829,noun,6,9.94,4.55,0.91
564,Concrete,A1,tenant,3.739490853,noun,6,10.33,4.55,0.95
565,Concrete,A1,bong,3.450084062,noun,4,14.16,4.27,1.19
568,Concrete,A2,drainer,1.951008231,noun,7,7,4.22,1.15
585,Concrete,A2,oboe,2.704335898,noun,4,10.78,4.43,1.26
588,Concrete,A1,tropics,3.059347706,noun,7,10.47,4.08,1.02
589,Concrete,A2,brake,3.839374961,noun,5,5.95,4.44,0.87
596,Concrete,A2,tweezer,1.809679079,noun,7,9.89,4.89,0.32
603,Concrete,A2,pea,3.907656811,noun,3,3.95,4.9,0.56
604,Concrete,A2,crop,4.098340968,noun,4,7.63,4.24,1.01
607,Concrete,A2,bedmate,1.172856981,noun,7,11,4.27,1.04
611,Concrete,A2,tar,3.324124656,noun,3,7.22,4.78,0.58
621,Concrete,A2,cellar,3.789857322,noun,6,8.94,4.68,0.86
623,Concrete,A1,radium,2.708572951,noun,6,14.1,4.17,1.24
626,Concrete,A2,safari,3.827033523,noun,6,8.44,4.14,1.24
628,Concrete,A2,seal,4.283558898,noun,4,5.42,4.63,0.74
629,Concrete,A1,gorge,3.522458246,noun,5,9.17,4.15,1.29
634,Concrete,A2,cap,4.420257353,noun,3,5.53,4.59,0.84
635,Concrete,A2,belt,4.32248658,noun,4,4.62,4.9,0.56
636,Concrete,A2,ribcage,2.576549318,noun,7,8.56,4.96,0.19
637,Concrete,A2,cunt,3.030189477,noun,4,13.74,4.21,1.17
648,Concrete,A1,cognac,2.915843814,noun,6,14.16,4.54,1.1
652,Concrete,A2,cart,3.774554909,noun,4,6.16,4.89,0.42
655,Concrete,A2,cattle,4.245106879,noun,6,6.53,4.64,0.78
657,Concrete,A1,stage,5.189110117,noun,5,6.32,4.64,0.91
662,Concrete,A1,moist,3.786346434,noun,5,9.55,4,0.98
675,Concrete,A2,cavity,3.390340925,noun,6,7.5,4.5,0.9
677,Concrete,A2,sunroom,2.534584817,noun,7,9.37,4.7,0.54
680,Concrete,A1,cargo,3.816638544,noun,5,9.48,4.62,0.73
686,Concrete,A2,tendon,2.981293035,noun,6,9.58,4.47,0.97
692,Concrete,A1,bladder,3.429735013,noun,7,10.78,4.48,1.06
694,Concrete,A2,prize,4.808407743,noun,5,5.11,4.45,0.74
699,Concrete,A2,mail,4.627701841,noun,4,4.65,4.69,0.74
708,Concrete,A2,gallop,3.345070585,noun,6,8.32,4.17,1.23
711,Concrete,A1,throne,4.000226254,noun,6,7.28,4.64,0.99
715,Concrete,A2,braid,2.587830329,noun,5,7.22,4.38,1.21
719,Concrete,A2,target,4.811379516,noun,6,7.58,4.11,1.13
720,Concrete,A2,pouch,3.360377702,noun,5,6.56,4.5,1
726,Concrete,A1,blazer,3.059347706,noun,6,9.6,4.79,0.56
731,Concrete,A2,car,5.441200895,noun,3,3.37,4.89,0.31
733,Concrete,A1,salmon,4.336912273,noun,6,8,4.81,0.63
741,Concrete,A2,domino,3.325145325,noun,6,6.17,4.59,1.08
743,Concrete,A2,pork,4.388494544,noun,4,5.63,4.79,0.82
746,Concrete,A2,skewer,2.96524867,noun,6,8.94,4.46,0.92
759,Concrete,A1,cursor,2.308519583,noun,6,12.16,4.33,1
770,Concrete,A2,onyx,2.883256447,noun,4,13.29,4.64,0.99
774,Concrete,A2,venom,3.755677614,noun,5,7.95,4.62,0.92
786,Concrete,A2,wheel,4.506841333,noun,5,4.4,4.86,0.45
788,Concrete,A2,crate,3.287912484,noun,5,7.06,4.93,0.26
790,Concrete,A1,stud,3.45916372,noun,4,10.78,4,1.17
791,Concrete,A2,print,4.290680463,noun,5,7.67,4.17,1.26
803,Concrete,A2,wombat,2.534584817,noun,6,11.31,4.48,1.19
805,Concrete,A2,piece,5.270380363,noun,5,4.89,4.14,1.24
808,Concrete,A2,infant,3.475332217,noun,6,6.42,4.93,0.37
809,Concrete,A1,prison,4.813371544,noun,6,7.5,4.68,0.67
811,Concrete,A2,seaman,3.070484072,noun,6,9.45,4.42,0.95
813,Concrete,A2,sign,4.975721887,noun,4,4.32,4.62,0.62
821,Concrete,A1,chalice,2.958186816,noun,7,11.35,4.83,0.46
824,Concrete,A2,spandex,2.466587738,noun,7,9.89,4.97,0.19
842,Concrete,A1,pulp,3.409226269,noun,4,9.63,4.3,1.23
843,Concrete,A2,tobacco,3.823811739,noun,7,7.39,4.88,0.34
845,Concrete,A1,jury,4.174013558,noun,4,11.05,4.64,0.56
847,Concrete,A2,gunner,3.10566885,noun,6,10.13,4.35,1.2
853,Concrete,A2,dairy,3.999147797,noun,5,6.85,4.45,0.83
861,Concrete,A2,wick,3.164083057,noun,4,7.83,4.69,0.71
879,Concrete,A2,rodeo,3.055571209,noun,5,8.33,4.81,0.4
881,Concrete,A2,dial,3.796106271,noun,4,6.68,4.52,0.99
897,Concrete,A2,snarl,2.451610582,noun,5,8.75,4,1.22
898,Concrete,A2,mite,3.083125553,noun,4,11.35,4.3,1.11
899,Concrete,A2,hike,3.595556229,noun,4,9.4,4.14,0.95
902,Concrete,A2,stubble,2.822840525,noun,7,9.28,4.54,0.65
908,Concrete,A2,gash,2.946155729,noun,4,7.95,4.39,1.1
912,Concrete,A2,speck,3.011706072,noun,5,8.48,4.46,0.9
921,Concrete,A2,wasabi,2.744953749,noun,6,13.95,4.67,0.88
922,Concrete,A1,fillet,3.803623751,noun,6,10.95,4.75,0.53
926,Concrete,A2,walnut,3.725119504,noun,6,6.16,4.97,0.18
931,Concrete,A2,chef,4.69521426,noun,4,8.3,4.3,1.29
937,Concrete,A2,elm,3.402453509,noun,3,9.06,4.69,1.04
947,Concrete,A2,piano,4.359530848,noun,5,5.5,4.9,0.41
955,Concrete,A2,bungee,3.276660702,noun,6,11.16,4.39,0.96
956,Concrete,A2,stag,3.875287517,noun,4,12.35,4.39,0.88
958,Concrete,A2,radio,4.821151924,noun,5,5.17,4.74,0.53
