item_nr,condition,match_null,string,Zipf.SUBTLEX_UK,PoS.SUBTLEX_UK,Length,AoA.Kuperman,CNC.Brysbaert.M,CNC.Brysbaert.SD
1666,Concrete,A1,lapel,2.74881417,noun,5,11.73,4.56,1.09
1669,Concrete,A2,tit,3.478924417,noun,3,10.32,4.64,0.95
1671,Concrete,A2,keypad,2.367833584,noun,6,10.05,4.81,0.79
1672,Concrete,A2,gnat,2.481065561,noun,4,10.1,4.83,0.61
1682,Concrete,A2,injury,4.567308662,noun,6,7.56,4,1.22
1683,Concrete,A1,whore,3.389462675,noun,5,12.22,4.15,1.06
1686,Concrete,A2,bum,4.160374285,noun,3,8.11,4.21,0.92
1690,Concrete,A2,filet,2.34894824,noun,5,9.89,4.59,0.63
1691,Concrete,A2,frame,4.75541272,noun,5,7.67,4.3,1.23
1693,Concrete,A1,silicon,3.317949749,noun,7,12.67,4.68,0.67
1694,Concrete,A1,campus,3.58053109,noun,6,10.84,4.64,0.68
1701,Concrete,A1,whaler,2.017955021,noun,6,11.5,4.34,1.11
1708,Concrete,A1,leek,3.562023065,noun,4,11,4.92,0.28
1723,Concrete,A1,heroin,3.773829877,noun,6,10.88,4.57,0.94
1726,Concrete,A2,vein,3.579397161,noun,4,8.53,4.63,0.93
1728,Concrete,A2,fiddle,3.656206504,noun,6,8.28,4.81,0.69
1730,Concrete,A1,alloy,3.133486289,noun,5,14.53,4.29,0.98
1733,Concrete,A2,orchid,3.314829057,noun,6,9.76,4.92,0.28
1736,Concrete,A2,zinc,3.225935424,noun,4,12.47,4.4,1.28
1741,Concrete,A2,juror,2.515279662,noun,5,10.16,4.29,1.3
1742,Concrete,A2,foliage,3.652863924,noun,7,10.63,4.67,0.96
1744,Concrete,A1,spore,2.420011596,noun,5,10.76,4.14,1.16
1752,Concrete,A2,nozzle,2.874712673,noun,6,9.32,4.91,0.3
1753,Concrete,A2,quad,3.351833928,noun,4,12.58,4.07,1.33
1758,Concrete,A2,month,5.079909865,noun,5,5.79,4.2,0.96
1765,Concrete,A2,denture,2.110709074,noun,7,10.16,4.7,0.72
1768,Concrete,A1,alfalfa,1.926184648,noun,7,8.83,4.69,0.74
1774,Concrete,A2,swab,3.074133627,noun,4,8.94,4.34,0.94
1784,Concrete,A2,company,5.227137996,noun,7,6.84,4.11,1.15
1789,Concrete,A1,veteran,3.823164504,noun,7,9.9,4.58,0.81
1791,Concrete,A2,puree,3.978131231,noun,5,10.94,4.16,1.11
1793,Concrete,A2,conch,2.806325436,noun,5,10.5,4.52,1.19
1799,Concrete,A2,tonsil,2.252038227,noun,6,9.5,4.72,0.53
1805,Concrete,A2,orb,2.796106271,noun,3,11.17,4.12,0.99
1806,Concrete,A2,aorta,2.897132851,noun,5,13.06,4.61,0.63
1809,Concrete,A2,shallot,3.233554821,noun,7,14.79,4.59,1.01
1814,Concrete,A2,salon,3.792993036,noun,5,9.5,4.73,0.74
1834,Concrete,A2,talon,2.41173907,noun,5,10.53,4.8,0.48
1848,Concrete,A2,rapist,3.077752769,noun,6,12.05,4.32,1.22
1850,Concrete,A2,morgue,3.115691475,noun,6,10.53,4.62,0.92
1859,Concrete,A2,cyst,2.771282688,noun,4,11.81,4.23,1.19
1861,Concrete,A2,vessel,3.934032794,noun,6,9.94,4.66,0.67
1865,Concrete,A2,suede,3.070484072,noun,5,10.5,4.24,1.33
1868,Concrete,A2,dip,4.222462594,noun,3,7,4.22,0.97
1869,Concrete,A2,darts,4.155580369,noun,5,7.03,4.83,0.48
1871,Concrete,A2,froth,3.009602947,noun,5,12.56,4.14,1.15
1876,Concrete,A2,trachea,2.686961802,noun,7,12.05,4.48,0.83
1877,Concrete,A2,asshole,3.341157996,noun,7,9.52,4.08,1.23
1886,Concrete,A2,office,5.133502139,noun,6,6.68,4.93,0.27
1890,Concrete,A2,sex,4.795174642,noun,3,9.79,4.1,0.94
1896,Concrete,A2,clove,3.074133627,noun,5,10.88,4.42,0.86
1897,Concrete,A2,grout,2.609549579,noun,5,12.36,4.68,0.55
1904,Concrete,A2,bass,4.176317513,noun,4,8.63,4.31,1.04
1910,Concrete,A2,garb,2.443923753,noun,4,12.05,4.19,1.11
1915,Concrete,A2,pipe,4.25790959,noun,4,8.17,4.88,0.33
1916,Concrete,A2,huddle,3.03219546,noun,6,9.4,4.21,0.83
1920,Concrete,A1,cubicle,3.228490105,noun,7,13.11,4.83,0.76
1930,Concrete,A2,trench,3.600451271,noun,6,10.21,4.46,1.06
1939,Concrete,A2,spire,3.191280064,noun,5,11.69,4,1.48
1942,Concrete,A2,decoy,2.976769093,noun,5,9.44,4.34,1.14
1948,Concrete,A2,chord,3.598282506,noun,5,9.71,4.29,0.9
1954,Concrete,A1,meth,2.559058586,noun,4,17.06,4.63,0.97
1957,Concrete,A2,insole,1.871826985,noun,6,12.21,4.11,1.19
1969,Concrete,A2,capsule,3.379682857,noun,7,10.44,4.52,0.95
1972,Concrete,A1,veneer,3.232294169,noun,6,11.59,4.04,1.14
1975,Concrete,A2,gang,4.38690566,noun,4,9.22,4.43,0.63
1982,Concrete,A1,gland,3.17860931,noun,5,10.61,4.14,1.18
1989,Concrete,A2,anthrax,2.473886977,noun,7,14.26,4.44,1.15
2007,Concrete,A2,cock,3.977904504,noun,4,11.32,4.79,0.57
2010,Concrete,A2,nectar,3.547605327,noun,6,8.95,4.63,0.67
2025,Concrete,A1,birch,3.426518002,noun,5,10.84,4.12,1.42
2043,Concrete,A2,alcohol,4.519144741,noun,7,9,4.76,0.51
2045,Concrete,A2,cumin,3.483196201,noun,5,12.85,4.93,0.27
2051,Concrete,A2,vermin,3.191280064,noun,6,10.84,4.48,0.85
2059,Concrete,A1,laptop,3.886347524,noun,6,12.44,4.96,0.19
2061,Concrete,A2,canvas,3.947130576,noun,6,8.15,4.78,0.7
2071,Concrete,A2,torch,4.213327457,noun,5,7.84,4.76,0.64
2074,Concrete,A2,juicer,2.403305902,noun,6,11.26,4.48,0.99
2077,Concrete,A2,boxer,3.829593851,noun,5,7.95,4.63,0.69
2084,Concrete,A2,loft,4.073406166,noun,4,11.05,4.32,1.02
2093,Concrete,A2,sledge,3.301040772,noun,6,10.06,4.11,1.42
2108,Concrete,A2,gong,3.432132228,noun,4,9.62,4.7,0.84
2117,Concrete,A2,scabies,2.403305902,noun,7,12,4.24,1.18
2125,Concrete,A2,opium,3.320017822,noun,5,12.41,4.56,1.09
2132,Concrete,A2,polo,3.536468961,noun,4,9.95,4.43,0.84
2143,Concrete,A2,slope,3.87786494,noun,5,8.67,4.07,1.21
2150,Concrete,A2,beret,2.983537456,noun,5,10.33,4.8,0.65
2166,Concrete,A2,citadel,2.838750526,noun,7,13.13,4.61,0.66
2170,Concrete,A2,labia,2.297795718,noun,5,14,4.82,0.48
2178,Concrete,A1,website,4.772594536,noun,7,12.66,4.52,0.74
2179,Concrete,A2,silver,5.013381269,noun,6,6.21,4.52,0.99
2185,Concrete,A2,sealer,1.598825713,noun,6,10.12,4.17,0.95
2188,Concrete,A1,webcam,3.175742669,noun,6,15.57,4.89,0.31
2200,Concrete,A1,pallet,2.915843814,noun,6,12,4.59,1.09
2201,Concrete,A2,enema,2.481065561,noun,5,13.56,4.44,0.8
2207,Concrete,A2,port,4.491059491,noun,4,9.32,4.41,1.18
2214,Concrete,A2,kiln,3.249618753,noun,4,10.69,4.82,0.61
2216,Concrete,A2,velcro,2.96524867,noun,6,11.48,4.92,0.27
2220,Concrete,A2,sage,3.677101235,noun,4,11.39,4.54,0.84
2225,Concrete,A2,lanyard,1.774916972,noun,7,12.14,4.46,0.88
2276,Concrete,A2,pimp,3.091935073,noun,4,12.78,4.18,1.02
2278,Concrete,A2,nomad,2.540833766,noun,5,11.12,4.1,1.16
2287,Concrete,A2,ivory,4.058406656,noun,5,9.39,4.76,0.64
2290,Concrete,A2,lentil,2.848024071,noun,6,13.06,4.48,1.12
2311,Concrete,A2,silt,3.017955021,noun,4,11.75,4.71,0.53
2317,Concrete,A2,film,5.263902236,noun,4,6.95,4.71,0.6
2354,Concrete,A1,triceps,2.093675735,noun,7,11.33,4.46,0.84
2361,Concrete,A2,dildo,2.664218675,noun,5,15.41,4.7,1.02
2369,Concrete,A2,ebony,3.297795718,noun,5,11.18,4,1.33
2374,Concrete,A2,novel,4.429173753,noun,5,9.5,4.21,1.15
2380,Concrete,A2,mauve,2.708572951,noun,5,11.26,4,1.41
2393,Concrete,A1,flank,3.16995199,noun,5,12.15,4,1.1
2400,Concrete,A2,geisha,2.883256447,noun,6,14.24,4.42,0.93
2405,Concrete,A2,anvil,2.967577333,noun,5,10.79,4.96,0.2
2422,Concrete,A2,harem,2.819587367,noun,5,11,4.38,1.02
2428,Concrete,A1,suite,4.39374923,noun,5,9.37,4.16,1.11
2437,Concrete,A2,dingo,2.488127416,noun,5,11.29,4.73,0.78
2445,Concrete,A2,tundra,2.809679079,noun,6,12.06,4.21,1.11
2462,Concrete,A1,sunlamp,1.297795718,noun,7,12.06,4.86,0.44
2478,Concrete,A2,email,3.762434277,noun,5,11.52,4.69,0.55
2483,Concrete,A1,hummus,2.921045008,noun,6,14.84,4.62,0.94
2490,Concrete,A2,tempura,3.059347706,noun,7,14.5,4.12,1.3
2505,Concrete,A1,cinema,4.311685778,noun,6,8.85,4.69,0.66
2510,Concrete,A2,adobe,2.275519323,noun,5,12.22,4.19,1.17
2512,Concrete,A2,trowel,3.150580586,noun,6,12.18,4.16,1.4
2513,Concrete,A2,forum,3.717338442,noun,5,12.52,4,1.21
2521,Concrete,A2,annex,2.915843814,noun,5,12.53,4,1.24
2529,Concrete,A2,flan,2.915843814,noun,4,12.65,4.05,1.29
2534,Concrete,A2,fencer,2.227214643,noun,6,11.84,4.44,0.97
2548,Concrete,A2,latte,3.117339653,noun,5,13.47,4.64,0.87
2568,Concrete,A2,fiber,1.649978236,noun,5,10.82,4.5,1.04
2572,Concrete,A2,condor,2.897132851,noun,6,13.57,4.46,1.17
2582,Concrete,A1,home,5.861193733,noun,4,3.87,4.11,1.25
2598,Concrete,A2,bosom,3.095409448,noun,5,12.5,4.63,0.69
2625,Concrete,A2,bank,5.280146112,noun,4,6.44,4.78,0.61
2631,Concrete,A2,thong,2.960553549,noun,5,12.41,4.93,0.27
4,Abstract,A2,anger,4.303726585,noun,5,6,2.41,1.32
9,Abstract,A2,minimum,4.388494544,noun,7,8.11,2.25,1.4
11,Abstract,A2,anxiety,3.89958419,noun,7,8.17,2.21,1.03
13,Abstract,A1,gist,2.974489327,noun,4,11.3,1.81,1.02
14,Abstract,A2,misuse,3.281196456,noun,6,9.68,2.07,1.17
17,Abstract,A1,proxy,3.047918244,noun,5,14.88,2.07,1.18
18,Abstract,A1,guile,2.659523554,noun,5,13.25,1.88,1.23
21,Abstract,A1,myth,3.948588757,noun,4,8.61,2.17,1.36
24,Abstract,A2,prude,2.481065561,noun,5,12.11,2.39,1.13
25,Abstract,A2,stardom,3.138215495,noun,7,10.06,2.26,1.16
26,Abstract,A2,agony,3.753781957,noun,5,9.22,2.38,1.47
28,Abstract,A2,bummer,2.774916972,noun,6,7.3,1.97,1.1
30,Abstract,A2,recount,2.91321967,noun,7,8.84,2.26,1.13
37,Abstract,A2,bonkers,3.746888249,noun,7,8.28,1.76,0.97
38,Abstract,A2,putdown,1.473886977,noun,7,9.5,2.04,1.37
40,Abstract,A2,setback,3.51396162,noun,7,10.4,1.97,1.13
42,Abstract,A2,loss,4.66932535,noun,4,5,2.19,1.22
43,Abstract,A2,whammy,3.156633569,noun,6,9.11,2.16,1.46
50,Abstract,A2,manners,3.771647488,noun,7,5.89,2.17,1.31
52,Abstract,A2,elitism,2.339188403,noun,7,13.87,1.75,0.94
53,Abstract,A2,honesty,3.832456293,noun,7,5,1.59,1.02
59,Abstract,A2,relief,4.643757259,noun,6,7.79,2.45,1.4
76,Abstract,A2,upsides,2.12709949,noun,7,9.26,2.46,1.23
79,Abstract,A2,bravery,3.834669666,noun,7,8.32,1.96,1.02
81,Abstract,A2,unease,3.120617363,noun,6,8.42,1.93,1.03
83,Abstract,A2,ethics,3.433723053,noun,6,11.06,2.28,1.39
91,Abstract,A2,disgust,3.262762092,noun,7,7.68,2.19,1.3
92,Abstract,A2,envy,3.63674997,noun,4,8.37,1.69,0.85
94,Abstract,A2,thrill,3.858300133,noun,6,8.37,2.46,1.53
95,Abstract,A2,mood,4.502458229,noun,4,6.58,1.75,0.97
96,Abstract,A2,choice,5.025601212,noun,6,5.17,1.9,1.14
101,Abstract,A2,thanks,5.430871344,noun,6,3.53,2.15,1.29
110,Abstract,A2,purist,2.708572951,noun,6,12.11,2.38,1.4
116,Abstract,A2,reform,4.63400521,noun,6,12.74,2,1.24
118,Abstract,A2,manner,4.173291058,noun,6,6.83,1.62,0.8
123,Abstract,A1,funk,3.184286443,noun,4,9.95,1.92,1.32
125,Abstract,A1,remorse,3.289021793,noun,7,11.11,2,1.05
136,Abstract,A2,pause,3.860385942,noun,5,6.75,2.38,1.21
138,Abstract,A2,misery,3.999147797,noun,6,9.22,2.04,1.51
141,Abstract,A2,mistake,4.791637005,noun,7,5.78,1.97,1
144,Abstract,A2,scruple,2.057463562,noun,7,11.84,1.92,1.02
146,Abstract,A2,overuse,2.057463562,noun,7,9.17,2.24,1.43
147,Abstract,A1,sanity,3.144442046,noun,6,10.29,1.85,1.23
148,Abstract,A2,curse,3.803623751,noun,5,7.47,2.39,1.34
149,Abstract,A2,times,5.45582633,noun,5,6.7,2.07,1.16
155,Abstract,A2,cruelty,3.550648749,noun,7,8.89,2.04,1.37
157,Abstract,A2,whatnot,3.097136267,noun,7,9.61,1.92,1.32
159,Abstract,A2,loser,3.982416696,noun,5,6.67,2.35,1.33
162,Abstract,A2,respite,3.509983322,noun,7,14.31,1.77,1.14
171,Abstract,A2,pardon,4.144596572,noun,6,7.83,2.24,1.35
173,Abstract,A2,yours,4.902183791,noun,5,4.51,2.14,1.33
179,Abstract,A2,elation,2.976769093,noun,7,11.41,2.08,1.2
180,Abstract,A2,intent,3.853192494,noun,6,9.37,1.52,0.91
187,Abstract,A2,karma,3.294526233,noun,5,13.67,1.93,1.39
194,Abstract,A2,fiasco,3.267444558,noun,6,11.68,2.28,1.31
195,Abstract,A1,memory,4.579851088,noun,6,6.4,2.38,1.52
198,Abstract,A2,heaven,4.601693425,noun,6,4.22,1.81,1.47
200,Abstract,A2,doubter,1.926184648,noun,7,9.44,2.39,1.42
203,Abstract,A1,homage,3.415067013,noun,6,13.72,2.17,1.42
204,Abstract,A1,impure,2.428129486,noun,6,11.53,2,1.16
221,Abstract,A2,kind,5.602124647,noun,4,4.89,2.07,1.3
225,Abstract,A1,doting,2.691370921,noun,6,11.6,2.13,1.14
242,Abstract,A1,defect,3.243510432,noun,6,10.26,2.48,1.22
244,Abstract,A2,sadness,3.721860243,noun,7,5,1.82,1.06
248,Abstract,A1,clarity,3.793340055,noun,7,10.55,2,1.1
254,Abstract,A2,fad,3.011706072,noun,3,10.25,2.36,1.19
256,Abstract,A2,hurray,3.498509451,noun,6,5.25,2.48,1.55
265,Abstract,A2,asinine,1.926184648,noun,7,12.71,1.67,0.92
266,Abstract,A2,excuse,4.858628567,noun,6,6.33,2.29,1.33
271,Abstract,A2,quirk,2.857103728,noun,5,11.39,2.25,1.27
275,Abstract,A2,wrath,3.409226269,noun,5,10.17,2.42,1.33
278,Abstract,A2,fuss,3.953654177,noun,4,5.5,2.43,1.41
283,Abstract,A1,info,3.045983745,noun,4,9.37,2.39,1.5
287,Abstract,A2,revelry,2.158133724,noun,7,12.67,2.23,1.27
289,Abstract,A2,folly,3.296708622,noun,5,10.67,1.92,1.02
294,Abstract,A2,relapse,2.649978236,noun,7,12.89,2.21,1.18
297,Abstract,A1,virtue,3.514621141,noun,6,11.53,1.62,1.12
298,Abstract,A2,mercy,4.02370735,noun,5,8.74,1.57,0.73
300,Abstract,A2,resale,3.663283702,noun,6,8.55,2.26,1.23
314,Abstract,A2,madness,4.029384483,noun,7,9.42,1.97,1.2
315,Abstract,A1,brevity,2.5019157,noun,7,13.47,2.23,1.31
316,Abstract,A2,hell,4.885955334,noun,4,5.11,2.41,1.72
322,Abstract,A2,phase,4.142117538,noun,5,9.4,2.46,1.26
336,Abstract,A2,craze,3.483196201,noun,5,9.1,2.04,1.11
337,Abstract,A2,courage,4.208953326,noun,7,8.42,1.52,0.99
338,Abstract,A2,softie,2.857103728,noun,6,9.47,1.96,1.19
342,Abstract,A2,unity,3.841553441,noun,5,9.48,2.23,1.38
354,Abstract,A2,offense,1.737128411,noun,7,8.61,2.03,1.02
358,Abstract,A2,truth,4.909890512,noun,5,4.42,1.96,1.4
366,Abstract,A1,wits,3.697901788,noun,4,10.25,1.76,1.12
369,Abstract,A2,respect,4.771975546,noun,7,8.5,2.04,1.27
377,Abstract,A2,usage,3.266278666,noun,5,10.74,2.07,0.98
378,Abstract,A2,haste,3.232294169,noun,5,9,2.29,1.37
380,Abstract,A2,esteem,3.539591149,noun,6,10.55,1.83,1.04
382,Abstract,A1,unrest,3.586715323,noun,6,10.5,2.24,1.02
383,Abstract,A2,micro,3.692684975,noun,5,10.44,2.08,1.25
392,Abstract,A1,bland,3.498509451,noun,5,8.35,2.38,1.42
393,Abstract,A1,tangent,2.515279662,noun,7,12.16,2.08,1.38
395,Abstract,A2,plenty,5.005365894,noun,6,5.76,2.39,1.5
397,Abstract,A1,slander,2.664218675,noun,7,14,2.33,1.35
405,Abstract,A2,hint,3.948588757,noun,4,5.95,2.33,1.27
406,Abstract,A1,regard,4.188076979,noun,6,10.2,1.79,0.96
409,Abstract,A2,greed,3.629223014,noun,5,7.63,1.53,0.73
412,Abstract,A2,fibber,2.227214643,noun,6,7,2.44,1.45
414,Abstract,A2,truce,3.188496115,noun,5,8.8,2.47,1.31
415,Abstract,A1,bonding,3.457663565,noun,7,11.44,2.48,1.27
417,Abstract,A2,abreast,2.799539447,noun,7,13.06,2.23,1.31
425,Abstract,A2,sync,2.994588803,noun,4,13.22,2.38,1.3
431,Abstract,A2,queer,3.236065201,noun,5,11.1,2.04,1.37
438,Abstract,A2,splurge,2.635254979,noun,7,10.56,2,1.02
441,Abstract,A2,letdown,2.508649083,noun,7,10.28,1.83,1.04
442,Abstract,A1,upkeep,3.017955021,noun,6,11.17,2.44,1.37
444,Abstract,A2,pity,4.095236388,noun,4,8.72,1.87,1.14
459,Abstract,A1,snub,2.614813819,noun,4,12.1,2.41,1.15
462,Abstract,A2,urgency,3.582226451,noun,7,9.81,2.03,1.12
463,Abstract,A2,soul,4.526773212,noun,4,6.17,1.86,1.33
464,Abstract,A2,anguish,3.156633569,noun,7,11.54,2.38,1.27
465,Abstract,A2,piety,2.664218675,noun,5,12.6,1.56,0.82
468,Abstract,A1,levity,2.18709742,noun,6,14.78,1.81,1.06
474,Abstract,A2,angst,3.047918244,noun,5,13.12,1.96,1.09
476,Abstract,A2,prep,3.557270137,noun,4,9.24,2.36,1.32
482,Abstract,A2,privacy,4.036576276,noun,7,7.84,1.5,0.58
492,Abstract,A2,goner,2.829274635,noun,5,9.35,2.12,0.93
493,Abstract,A1,egotism,1.809679079,noun,7,13.68,1.9,1.18
495,Abstract,A2,inertia,2.640218398,noun,7,12.84,2.43,1.43
501,Abstract,A2,demise,3.437674804,noun,6,10.67,2.31,1.39
503,Abstract,A1,quality,5.007447215,noun,7,8.78,2.18,1.19
514,Abstract,A1,pomp,3.232294169,noun,4,12.38,2.44,1.39
516,Abstract,A1,snide,2.428129486,noun,5,10.33,2.04,1.08
522,Abstract,A2,goody,3.430535556,noun,5,7,2.04,1.26
527,Abstract,A2,basics,3.875574654,noun,6,6.47,2.27,1.28
531,Abstract,A2,boredom,3.261583545,noun,7,7.68,1.96,1.32
533,Abstract,A2,lull,2.953414301,noun,4,10.61,2.32,1.28
534,Abstract,A2,saga,3.530791828,noun,4,10.42,2.19,1.2
538,Abstract,A2,jiffy,2.785640838,noun,5,9.33,2.33,1.35
539,Abstract,A2,trouble,5.082519966,noun,7,4.56,2.25,1.32
544,Abstract,A2,strife,3.158133724,noun,6,11.78,2.2,1.45
546,Abstract,A2,fantasy,3.995678626,noun,7,8.4,1.59,0.95
547,Abstract,A1,closure,3.976769093,noun,7,12.11,1.78,1.28
552,Abstract,A1,skill,4.397907677,noun,5,6.8,2.17,1.29
559,Abstract,A2,rating,3.855904019,noun,6,9.47,2.26,1.29
562,Abstract,A2,creed,3.064951584,noun,5,9.17,2.1,0.98
564,Abstract,A1,essence,3.964313698,noun,7,11.9,1.66,1.08
565,Abstract,A1,stigma,3.316912008,noun,6,15.56,1.76,0.97
568,Abstract,A2,pronoun,2.093675735,noun,7,8.63,2.48,1.55
585,Abstract,A2,spunk,2.534584817,noun,5,10.85,2.44,1.42
588,Abstract,A1,catchy,3.311685778,noun,6,8.74,1.79,0.98
589,Abstract,A2,sin,3.95676056,noun,3,6.74,1.85,1.2
596,Abstract,A2,civics,1.841863762,noun,6,11.35,2.21,1.29
603,Abstract,A2,boo,4.201157054,noun,3,3.78,2.48,1.6
604,Abstract,A2,behalf,4.287134277,noun,6,9.2,1.52,0.82
607,Abstract,A2,peeve,1.394705731,noun,5,11.88,2,1.12
611,Abstract,A2,saver,3.261583545,noun,5,7.84,2.27,1.28
621,Abstract,A2,dilemma,3.833722459,noun,7,10.72,2,1.05
623,Abstract,A1,malign,2.436098416,noun,6,13.67,2.04,1.19
626,Abstract,A2,doom,3.799539447,noun,4,9.42,1.5,1.03
628,Abstract,A2,fame,4.182307877,noun,4,7.26,1.96,1.08
629,Abstract,A1,motto,3.637247159,noun,5,10.41,2.48,1.43
634,Abstract,A2,duty,4.614918455,noun,4,7.15,2.19,1.36
635,Abstract,A2,limit,4.437989396,noun,5,6.3,2.28,1.33
636,Abstract,A2,humbug,2.816309657,noun,6,8.29,1.57,0.95
637,Abstract,A2,innate,2.907923331,noun,6,13.58,1.73,0.87
648,Abstract,A1,fascism,3.007489587,noun,7,14.33,1.83,1.23
652,Abstract,A2,guilt,3.834038424,noun,5,7.05,1.93,1.36
655,Abstract,A2,emotion,4.049074822,noun,7,6.37,2.44,1.48
657,Abstract,A1,chance,5.455984759,noun,6,7.78,1.64,0.99
662,Abstract,A1,rogue,3.876721307,noun,5,11.48,2.32,1.38
675,Abstract,A2,counsel,3.449318785,noun,7,9.42,2.48,1.43
677,Abstract,A2,senile,2.640218398,noun,6,11.26,2.46,1.5
680,Abstract,A1,awe,3.777442996,noun,3,9.06,1.89,1.22
686,Abstract,A2,sleaze,2.848024071,noun,6,11.21,2.41,1.05
692,Abstract,A1,dynasty,3.621047818,noun,7,10.5,2.46,1.45
694,Abstract,A2,freedom,4.643757259,noun,7,7.05,2.34,1.4
699,Abstract,A2,cause,4.830295304,noun,5,5.84,2.43,1.4
708,Abstract,A2,vibes,3.161118578,noun,5,9.95,2.48,1.27
711,Abstract,A1,harmony,3.877007498,noun,7,8.79,2.46,1.23
715,Abstract,A2,twerp,2.436098416,noun,5,8,2.44,1.37
719,Abstract,A2,shame,4.723655863,noun,5,6.55,2.24,1.46
720,Abstract,A2,dreamer,3.063091647,noun,7,7.25,2.19,1.33
726,Abstract,A1,rarity,3.296708622,noun,6,10.94,2.24,1.41
731,Abstract,A2,fun,5.309112361,noun,3,3.67,1.97,1.38
733,Abstract,A1,option,4.60502425,noun,6,8.79,2.39,1.45
741,Abstract,A2,undoing,3.040128,noun,7,8.08,2.41,1.32
743,Abstract,A2,faith,4.666361503,noun,5,7.62,1.63,1.08
746,Abstract,A2,taker,3.243510432,noun,5,7.9,2.3,1.2
759,Abstract,A1,whimsy,2.367833584,noun,6,10.26,1.85,1.13
770,Abstract,A2,jargon,3.115691475,noun,6,11.94,2.07,1.13
774,Abstract,A2,flair,3.509316715,noun,5,8.91,2.46,1.35
786,Abstract,A2,peace,4.743399921,noun,5,6.32,1.62,1.35
788,Abstract,A2,hunch,3.491615744,noun,5,8.68,2,1.41
790,Abstract,A1,ordeal,3.632249469,noun,6,10.06,2.04,1.15
791,Abstract,A2,talent,4.578999586,noun,6,7,2.19,1.14
803,Abstract,A2,kudos,2.806325436,noun,5,13.26,2,1.22
805,Abstract,A2,act,4.988943543,noun,3,6.42,2.46,1.27
808,Abstract,A2,plea,3.634755503,noun,4,8.42,2.39,1.23
809,Abstract,A1,success,4.91626221,noun,7,9.25,2.21,1.37
811,Abstract,A2,poise,3.028174186,noun,5,11.33,2.39,1.31
813,Abstract,A2,nobody,5.084901811,noun,6,5.25,2.32,1.49
821,Abstract,A1,pronto,2.953414301,noun,6,9.59,2.21,1.37
824,Abstract,A2,infamy,2.508649083,noun,6,10.56,1.75,1.04
842,Abstract,A1,bias,3.204938249,noun,4,10.71,1.68,0.9
843,Abstract,A2,fiction,4.10549983,noun,7,7.22,2.14,1.48
845,Abstract,A1,status,4.383532138,noun,6,11.63,2.24,1.43
847,Abstract,A2,modesty,3.207619087,noun,7,10.89,2.23,1.33
853,Abstract,A2,terror,4.061784936,noun,6,8.79,2.43,1.48
861,Abstract,A2,meek,2.928731837,noun,4,9.7,2.22,1.34
879,Abstract,A2,nay,3.307459034,noun,3,10.31,2.41,1.57
881,Abstract,A2,sorrow,3.562613541,noun,6,8.42,2.36,1.39
897,Abstract,A2,smidge,2.318985017,noun,6,9.17,2.21,1.28
898,Abstract,A2,whim,3.155128214,noun,4,10.74,1.69,0.79
899,Abstract,A2,slang,3.563792088,noun,5,10.68,2.48,1.5
902,Abstract,A2,lunacy,2.822840525,noun,6,10.58,1.76,0.87
908,Abstract,A2,vow,3.202240759,noun,3,9.32,2.42,1.15
912,Abstract,A2,boyhood,2.880427157,noun,7,8.61,2.29,1.23
921,Abstract,A2,atheism,2.528244639,noun,7,12.69,2.23,1.36
922,Abstract,A1,macro,3.885787144,noun,5,12.78,2.31,1.38
926,Abstract,A2,absence,3.888581841,noun,7,7.7,2.31,1.35
931,Abstract,A2,demand,4.564262613,noun,6,7.83,2.2,1.27
937,Abstract,A2,merit,3.577120383,noun,5,10.47,1.66,0.97
947,Abstract,A2,drama,4.519144741,noun,5,7.39,2.34,1.37
955,Abstract,A2,fluke,3.291231948,noun,5,10.1,2.34,1.42
956,Abstract,A2,zest,3.659995356,noun,4,10.56,2.27,1.46
958,Abstract,A2,trust,5.018037736,noun,5,6.55,2.04,1.29
959,Abstract,A2,obtuse,2.428129486,noun,6,12.06,2.14,1.19
962,Abstract,A1,culture,4.725444089,noun,7,9.52,2.04,1.34
968,Abstract,A2,hatred,3.648043736,noun,6,8.72,2,1.2
970,Abstract,A2,wacko,2.436098416,noun,5,8.95,2.28,1.31
975,Abstract,A2,affair,4.296381962,noun,6,10.94,2.45,1.27
987,Abstract,A2,nothing,5.636127682,noun,7,5.21,2.21,1.52
988,Abstract,A1,brink,3.823488242,noun,5,10.47,2.48,1.33
996,Abstract,A2,drudge,2.017955021,noun,6,10.65,2.44,1.55
1000,Abstract,A2,favor,2.799539447,noun,5,6.94,2.07,1.19
1001,Abstract,A2,destiny,3.98621554,noun,7,10.21,1.67,0.92
1002,Abstract,A1,malice,2.994588803,noun,6,12.33,1.72,0.79
1003,Abstract,A2,role,4.943978809,noun,4,6.65,2.19,1.27
1005,Abstract,A2,heyday,3.563792088,noun,6,10.59,1.52,0.7
1006,Abstract,A2,headway,3.038158407,noun,7,11.06,2.3,1.32
1013,Abstract,A2,breadth,3.453890348,noun,7,11.38,2.23,1.31
1018,Abstract,A2,benefit,4.827899322,noun,7,9.17,2.25,1.46
1019,Abstract,A2,risk,4.984833925,noun,4,7.58,1.63,0.81
1024,Abstract,A2,circa,3.363188679,noun,5,13.12,2.12,1.11
1039,Abstract,A1,witchy,2.18709742,noun,6,8.32,2.46,1.33
1051,Abstract,A2,gloom,3.603684248,noun,5,9,1.86,1.09
