word,item_nr,condition,Zipf,PoS,Length,AoA,CNC_M,CNC_SD
cricket,337,concrete,4.452219691,noun,7,7.72,4.77,0.68
mascara,338,concrete,3.051761583,noun,7,9.21,4.93,0.26
rifle,342,concrete,3.618461184,noun,5,7.85,4.85,0.46
cookout,354,concrete,1.540833766,noun,7,7.42,4.25,1.11
kick,358,concrete,4.908429269,noun,4,4.06,4.33,0.98
notch,366,concrete,3.57079699,noun,5,8.47,4.23,0.91
planet,369,concrete,4.659995356,noun,6,6.67,4.58,1.14
boa,377,concrete,3.136644808,noun,3,9.56,4.92,0.28
lagoon,378,concrete,3.26040179,noun,6,9.42,4.5,0.94
bowel,380,concrete,3.470981986,noun,5,9.72,4.53,0.68
lark,382,concrete,3.521810529,noun,4,11.82,4.28,1.31
spa,383,concrete,3.790556107,noun,3,11.06,4.67,0.92
gavel,392,concrete,3.528882838,noun,5,9.22,4.88,0.43
footman,393,concrete,2.725119504,noun,7,11.59,4.55,0.87
boat,395,concrete,4.886235506,noun,4,3.84,4.93,0.37
fritter,397,concrete,2.767617734,noun,7,13.0,4.11,1.5
bunny,405,concrete,3.890804723,noun,5,4.5,4.97,0.19
manor,406,concrete,3.924136085,noun,5,9.55,4.7,0.61
knuckle,409,concrete,3.364121643,noun,7,5.94,4.93,0.26
pretzel,412,concrete,2.376976964,noun,7,5.0,4.74,0.86
mussel,414,concrete,3.253242928,noun,6,10.0,4.69,0.76
pageant,415,concrete,3.371514068,noun,7,10.0,4.0,1.2
ricotta,417,concrete,3.098856247,noun,7,12.67,4.86,0.52
shroud,425,concrete,2.838750526,noun,6,11.65,4.34,1.17
archway,431,concrete,3.059347706,noun,7,10.06,4.28,1.31
mulch,438,concrete,2.854098218,noun,5,9.22,4.59,1.05
serum,441,concrete,2.57079699,noun,5,10.22,4.27,1.17
satin,442,concrete,3.12709949,noun,5,10.37,4.57,0.94
grave,444,concrete,4.198162846,noun,5,7.06,4.56,0.8
hemp,459,concrete,2.620015012,noun,4,12.94,4.85,0.46
pendant,462,concrete,3.457663565,noun,7,10.3,4.75,0.59
dragon,463,concrete,4.276888618,noun,6,5.58,4.39,1.03
gecko,464,concrete,3.077752769,noun,5,10.32,4.76,0.72
crypt,465,concrete,2.871826985,noun,5,10.68,4.75,0.61
rotator,468,concrete,1.974489327,noun,7,13.5,4.45,0.78
shrew,474,concrete,3.168492176,noun,5,11.82,4.07,1.27
wink,476,concrete,3.456911539,noun,4,7.65,4.23,1.03
author,482,concrete,4.233554821,noun,6,7.1,4.26,1.1
wiper,492,concrete,2.678006959,noun,5,8.37,4.56,0.89
giblet,493,concrete,1.951008231,noun,6,11.72,4.62,0.8
gamer,495,concrete,2.451610582,noun,5,11.65,4.0,0.92
kelp,501,concrete,3.180035566,noun,4,10.22,4.9,0.56
scale,503,concrete,4.715225889,noun,5,8.85,4.39,0.83
galley,514,concrete,3.164083057,noun,6,12.69,4.07,1.54
buttock,516,concrete,2.553068223,noun,7,10.44,4.79,0.63
scuba,522,concrete,3.202240759,noun,5,7.6,4.23,0.82
goose,527,concrete,4.027770003,noun,5,5.15,4.81,0.65
clone,531,concrete,3.03219546,noun,5,8.89,4.34,0.86
nylon,533,concrete,3.100569443,noun,5,10.0,4.7,0.82
limo,534,concrete,3.245964079,noun,4,8.42,4.7,0.79
toolkit,538,concrete,2.521810529,noun,7,7.83,4.76,0.69
glass,539,concrete,4.918894069,noun,5,4.47,4.82,0.48
beacon,544,concrete,3.433723053,noun,6,11.37,4.38,0.86
worker,546,concrete,4.28097079,noun,6,6.67,4.59,0.73
brandy,547,concrete,3.830231582,noun,6,12.1,4.81,0.62
page,552,concrete,4.524008838,noun,4,5.16,4.9,0.31
pupil,559,concrete,3.932776518,noun,5,8.06,4.55,0.63
server,562,concrete,2.933781829,noun,6,9.94,4.55,0.91
tenant,564,concrete,3.739490853,noun,6,10.33,4.55,0.95
bong,565,concrete,3.450084062,noun,4,14.16,4.27,1.19
drainer,568,concrete,1.951008231,noun,7,7.0,4.22,1.15
oboe,585,concrete,2.704335898,noun,4,10.78,4.43,1.26
tropics,588,concrete,3.059347706,noun,7,10.47,4.08,1.02
brake,589,concrete,3.839374961,noun,5,5.95,4.44,0.87
tweezer,596,concrete,1.809679079,noun,7,9.89,4.89,0.32
pea,603,concrete,3.907656811,noun,3,3.95,4.9,0.56
crop,604,concrete,4.098340968,noun,4,7.63,4.24,1.01
bedmate,607,concrete,1.172856981,noun,7,11.0,4.27,1.04
tar,611,concrete,3.324124656,noun,3,7.22,4.78,0.58
cellar,621,concrete,3.789857322,noun,6,8.94,4.68,0.86
radium,623,concrete,2.708572951,noun,6,14.1,4.17,1.24
safari,626,concrete,3.827033523,noun,6,8.44,4.14,1.24
seal,628,concrete,4.283558898,noun,4,5.42,4.63,0.74
gorge,629,concrete,3.522458246,noun,5,9.17,4.15,1.29
cap,634,concrete,4.420257353,noun,3,5.53,4.59,0.84
belt,635,concrete,4.32248658,noun,4,4.62,4.9,0.56
ribcage,636,concrete,2.576549318,noun,7,8.56,4.96,0.19
cunt,637,concrete,3.030189477,noun,4,13.74,4.21,1.17
cognac,648,concrete,2.915843814,noun,6,14.16,4.54,1.1
cart,652,concrete,3.774554909,noun,4,6.16,4.89,0.42
cattle,655,concrete,4.245106879,noun,6,6.53,4.64,0.78
stage,657,concrete,5.189110117,noun,5,6.32,4.64,0.91
moist,662,concrete,3.786346434,noun,5,9.55,4.0,0.98
cavity,675,concrete,3.390340925,noun,6,7.5,4.5,0.9
sunroom,677,concrete,2.534584817,noun,7,9.37,4.7,0.54
cargo,680,concrete,3.816638544,noun,5,9.48,4.62,0.73
tendon,686,concrete,2.981293035,noun,6,9.58,4.47,0.97
bladder,692,concrete,3.429735013,noun,7,10.78,4.48,1.06
prize,694,concrete,4.808407743,noun,5,5.11,4.45,0.74
mail,699,concrete,4.627701841,noun,4,4.65,4.69,0.74
gallop,708,concrete,3.345070585,noun,6,8.32,4.17,1.23
throne,711,concrete,4.000226254,noun,6,7.28,4.64,0.99
braid,715,concrete,2.587830329,noun,5,7.22,4.38,1.21
target,719,concrete,4.811379516,noun,6,7.58,4.11,1.13
pouch,720,concrete,3.360377702,noun,5,6.56,4.5,1.0
blazer,726,concrete,3.059347706,noun,6,9.6,4.79,0.56
car,731,concrete,5.441200895,noun,3,3.37,4.89,0.31
salmon,733,concrete,4.336912273,noun,6,8.0,4.81,0.63
domino,741,concrete,3.325145325,noun,6,6.17,4.59,1.08
pork,743,concrete,4.388494544,noun,4,5.63,4.79,0.82
skewer,746,concrete,2.96524867,noun,6,8.94,4.46,0.92
cursor,759,concrete,2.308519583,noun,6,12.16,4.33,1.0
onyx,770,concrete,2.883256447,noun,4,13.29,4.64,0.99
venom,774,concrete,3.755677614,noun,5,7.95,4.62,0.92
wheel,786,concrete,4.506841333,noun,5,4.4,4.86,0.45
crate,788,concrete,3.287912484,noun,5,7.06,4.93,0.26
stud,790,concrete,3.45916372,noun,4,10.78,4.0,1.17
print,791,concrete,4.290680463,noun,5,7.67,4.17,1.26
wombat,803,concrete,2.534584817,noun,6,11.31,4.48,1.19
piece,805,concrete,5.270380363,noun,5,4.89,4.14,1.24
infant,808,concrete,3.475332217,noun,6,6.42,4.93,0.37
prison,809,concrete,4.813371544,noun,6,7.5,4.68,0.67
seaman,811,concrete,3.070484072,noun,6,9.45,4.42,0.95
sign,813,concrete,4.975721887,noun,4,4.32,4.62,0.62
chalice,821,concrete,2.958186816,noun,7,11.35,4.83,0.46
spandex,824,concrete,2.466587738,noun,7,9.89,4.97,0.19
pulp,842,concrete,3.409226269,noun,4,9.63,4.3,1.23
tobacco,843,concrete,3.823811739,noun,7,7.39,4.88,0.34
jury,845,concrete,4.174013558,noun,4,11.05,4.64,0.56
gunner,847,concrete,3.10566885,noun,6,10.13,4.35,1.2
dairy,853,concrete,3.999147797,noun,5,6.85,4.45,0.83
wick,861,concrete,3.164083057,noun,4,7.83,4.69,0.71
rodeo,879,concrete,3.055571209,noun,5,8.33,4.81,0.4
dial,881,concrete,3.796106271,noun,4,6.68,4.52,0.99
snarl,897,concrete,2.451610582,noun,5,8.75,4.0,1.22
mite,898,concrete,3.083125553,noun,4,11.35,4.3,1.11
hike,899,concrete,3.595556229,noun,4,9.4,4.14,0.95
stubble,902,concrete,2.822840525,noun,7,9.28,4.54,0.65
gash,908,concrete,2.946155729,noun,4,7.95,4.39,1.1
speck,912,concrete,3.011706072,noun,5,8.48,4.46,0.9
wasabi,921,concrete,2.744953749,noun,6,13.95,4.67,0.88
fillet,922,concrete,3.803623751,noun,6,10.95,4.75,0.53
walnut,926,concrete,3.725119504,noun,6,6.16,4.97,0.18
chef,931,concrete,4.69521426,noun,4,8.3,4.3,1.29
elm,937,concrete,3.402453509,noun,3,9.06,4.69,1.04
piano,947,concrete,4.359530848,noun,5,5.5,4.9,0.41
bungee,955,concrete,3.276660702,noun,6,11.16,4.39,0.96
stag,956,concrete,3.875287517,noun,4,12.35,4.39,0.88
radio,958,concrete,4.821151924,noun,5,5.17,4.74,0.53
cleft,959,concrete,2.691370921,noun,5,11.83,4.31,1.05
museum,962,concrete,4.593527708,noun,6,8.55,4.6,0.91
maid,968,concrete,3.771647488,noun,4,6.95,4.64,0.87
pucker,970,concrete,2.495076276,noun,6,7.61,4.13,1.17
shelter,975,concrete,4.132534236,noun,7,9.21,4.64,0.62
world,987,concrete,5.882446325,noun,5,5.32,4.36,0.87
poker,988,concrete,3.783162183,noun,5,9.1,4.2,1.19
mobster,996,concrete,1.996765722,noun,7,10.0,4.13,1.25
talker,1000,concrete,2.863053061,noun,6,5.74,4.39,0.99
survey,1001,concrete,4.282435528,noun,6,11.26,4.08,1.19
lithium,1002,concrete,2.857103728,noun,7,13.9,4.13,1.38
item,1003,concrete,4.699626892,noun,4,5.68,4.41,0.87
mare,1005,concrete,3.652384305,noun,4,8.84,4.75,0.59
bedrock,1006,concrete,3.103975692,noun,7,10.67,4.46,0.99
ledge,1013,concrete,3.377880803,noun,5,11.05,4.72,0.74
estate,1018,concrete,4.767507306,noun,6,10.84,4.11,1.23
brain,1019,concrete,4.8371855,noun,5,5.76,4.69,0.74
soy,1024,concrete,3.638239832,noun,3,13.56,4.7,0.6
rosary,1039,concrete,2.451610582,noun,6,8.21,4.63,0.81
cigar,1051,concrete,3.592812729,noun,5,7.67,4.93,0.27
pyramid,1055,concrete,3.713603445,noun,7,7.61,4.96,0.2
gin,1063,concrete,3.886347524,noun,3,12.06,4.46,1.07
panel,1065,concrete,4.3873476,noun,5,9.11,4.26,1.29
axle,1067,concrete,2.931264173,noun,4,10.85,4.5,1.14
joust,1071,concrete,2.443923753,noun,5,10.63,4.03,0.93
herb,1078,concrete,3.764292621,noun,4,9.05,4.57,1.03
cog,1079,concrete,3.505295441,noun,3,11.33,4.46,1.14
cloak,1081,concrete,3.426518002,noun,5,6.95,4.71,0.9
basin,1083,concrete,3.482487148,noun,5,10.0,4.63,0.79
attire,1091,concrete,2.96524867,noun,6,11.22,4.47,0.88
rind,1093,concrete,2.981293035,noun,4,8.95,4.48,1.16
bassist,1095,concrete,2.553068223,noun,7,11.67,4.17,0.82
balcony,1097,concrete,3.83435416,noun,7,8.1,4.68,0.72
emu,1099,concrete,3.072312683,noun,3,9.0,4.79,0.62
album,1103,concrete,4.546504453,noun,5,6.72,4.69,0.68
tartar,1105,concrete,2.785640838,noun,6,9.94,4.4,1.13
kebab,1109,concrete,3.511313475,noun,5,10.44,4.85,0.6
harvest,1122,concrete,4.030792246,noun,7,7.4,4.0,1.31
sifter,1127,concrete,2.41173907,noun,6,11.0,4.64,0.62
smock,1131,concrete,2.528244639,noun,5,6.26,4.78,0.6
meter,1133,concrete,3.639230242,noun,5,8.56,4.7,0.72
carcass,1138,concrete,3.451610582,noun,7,12.25,4.46,1.17
gateway,1146,concrete,3.576549318,noun,7,8.38,4.07,1.33
valet,1151,concrete,2.948588757,noun,5,13.67,4.26,1.13
heart,1155,concrete,5.299583497,noun,5,5.17,4.52,0.95
carbon,1160,concrete,4.385754507,noun,6,10.55,4.22,1.34
mayor,1163,concrete,4.392179489,noun,5,8.28,4.37,1.08
cadet,1164,concrete,3.316912008,noun,5,9.68,4.21,0.92
growl,1168,concrete,3.098856247,noun,5,5.79,4.3,1.1
petrol,1170,concrete,4.241413876,noun,6,12.28,4.29,1.23
video,1171,concrete,4.556133631,noun,5,8.06,4.67,0.62
puss,1175,concrete,3.115691475,noun,4,8.5,4.21,1.23
yarn,1180,concrete,3.142893758,noun,4,6.61,4.93,0.37
driver,1194,concrete,4.708657272,noun,6,4.95,4.71,0.66
bowtie,1201,concrete,2.18709742,noun,6,7.94,4.89,0.31
pug,1202,concrete,2.883256447,noun,3,9.17,4.62,0.9
locket,1206,concrete,3.234811825,noun,6,8.35,4.82,0.48
rum,1209,concrete,3.91321967,noun,3,11.56,4.93,0.26
shot,1216,concrete,5.196904576,noun,4,5.84,4.44,0.89
lunge,1220,concrete,2.926184648,noun,5,9.83,4.16,1.21
crease,1225,concrete,3.125488006,noun,6,7.79,4.45,0.95
flesh,1229,concrete,4.150580586,noun,5,8.3,4.59,0.95
shears,1230,concrete,2.936284974,noun,6,9.46,4.61,0.84
pub,1237,concrete,4.706671391,noun,3,12.05,4.71,0.6
store,1245,concrete,4.631595524,noun,5,4.76,4.5,0.65
topaz,1246,concrete,2.598825713,noun,5,11.19,4.37,1.25
beet,1247,concrete,3.115691475,noun,4,6.56,4.8,0.76
bistro,1252,concrete,2.851071764,noun,6,11.79,4.44,1.16
jockey,1268,concrete,3.859791018,noun,6,8.28,4.59,0.91
slate,1273,concrete,3.892464449,noun,5,9.25,4.58,0.86
carp,1276,concrete,3.13506842,noun,4,11.42,4.62,0.9
lobe,1284,concrete,2.943708993,noun,4,10.17,4.44,0.85
vendor,1289,concrete,3.120617363,noun,6,10.17,4.5,0.92
moat,1295,concrete,3.68563029,noun,4,9.65,4.69,0.62
gull,1299,concrete,3.10566885,noun,4,8.65,4.08,1.52
muzzle,1300,concrete,3.066803588,noun,6,8.44,4.59,0.8
brine,1306,concrete,2.969893575,noun,5,14.25,4.24,1.23
biceps,1307,concrete,2.785640838,noun,6,9.42,4.93,0.27
manual,1321,concrete,3.699196258,noun,6,7.57,4.45,0.91
shaft,1324,concrete,3.604220745,noun,5,10.17,4.71,0.53
liquor,1325,concrete,3.481065561,noun,6,8.4,4.73,0.53
city,1328,concrete,5.397424572,noun,4,6.56,4.79,0.57
poster,1329,concrete,3.925929105,noun,6,8.12,4.66,1.04
bicep,1333,concrete,2.466587738,noun,5,8.67,4.67,0.73
satchel,1342,concrete,2.654777119,noun,7,12.35,4.73,0.69
realtor,1344,concrete,2.017955021,noun,7,11.71,4.61,0.88
hash,1349,concrete,3.308519583,noun,4,12.74,4.1,1.32
ember,1350,concrete,2.308519583,noun,5,10.5,4.36,1.04
syringe,1351,concrete,3.122246988,noun,7,10.63,4.81,0.57
receipt,1361,concrete,3.682954956,noun,7,8.53,4.86,0.36
tuxedo,1376,concrete,2.620015012,noun,6,8.26,4.86,0.44
bleach,1385,concrete,3.223365627,noun,6,8.0,4.74,0.53
snuff,1387,concrete,3.675739098,noun,5,11.79,4.04,1.29
logbook,1388,concrete,2.729159482,noun,7,12.22,4.54,1.04
cafe,1390,concrete,4.251072054,noun,4,8.75,4.96,0.19
puma,1391,concrete,2.918452197,noun,4,9.0,4.86,0.44
carjack,1403,concrete,1.297795718,noun,7,12.33,4.39,0.99
trunk,1420,concrete,3.929746544,noun,5,8.3,4.71,0.69
bullet,1421,concrete,4.075765974,noun,6,6.7,4.83,0.82
ad,1423,concrete,4.094716793,noun,2,8.22,4.46,1.14
factory,1427,concrete,4.587496128,noun,7,6.89,4.76,0.79
buggy,1435,concrete,3.414237415,noun,5,6.95,4.18,1.16
quiche,1441,concrete,3.245964079,noun,6,13.13,4.53,0.94
drape,1442,concrete,2.564967446,noun,5,9.11,4.5,0.82
pellet,1454,concrete,2.813007022,noun,6,10.18,4.56,0.75
bongo,1460,concrete,3.038158407,noun,5,8.4,4.77,0.43
dwarf,1463,concrete,3.585037429,noun,5,7.65,4.45,0.95
vagina,1468,concrete,3.138215495,noun,6,8.89,4.82,0.77
