"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
1,"Abstract","A2","leeway",3.045983745,"noun",6,11.17,1.96
1,"Concrete","A2","caribou",2.926184648,"noun",7,12.06,4.92
2,"Abstract","A1","impish",2.038158407,"adjective",6,11.94,1.68
2,"Concrete","A1","bipedal",1.951008231,"adjective",7,12.44,4
3,"Abstract","A2","insecure",3.331219473,"noun",8,12.11,1.84
3,"Concrete","A2","shrapnel",3.161118578,"noun",8,12.06,4.57
4,"Abstract","A2","humiliation",3.488127416,"noun",11,8.21,1.96
4,"Concrete","A2","peninsula",3.651904157,"noun",9,9,4.86
5,"Abstract","A1","pensive",2.521810529,"adjective",7,13.63,1.67
5,"Concrete","A1","lactose",2.598825713,"adjective",7,13.06,4.18
6,"Abstract","A2","jeopardy",3.532059842,"noun",8,8.63,1.93
6,"Concrete","A2","handmade",3.358493558,"noun",8,7.79,4.25
7,"Abstract","A2","meaning",4.51875325,"noun",7,6.1,1.85
7,"Concrete","A2","rocket",4.324431109,"noun",6,5.63,4.73
8,"Abstract","A2","disparity",2.974489327,"noun",9,12.5,1.78
8,"Concrete","A2","guerrilla",3.053670573,"noun",9,11.95,4.24
9,"Abstract","A1","literal",3.265109636,"adjective",7,10.11,1.53
9,"Concrete","A1","canopy",3.453890348,"adjective",6,9.82,4.52
10,"Abstract","A1","staunch",2.894392813,"adjective",7,11.44,1.9
10,"Concrete","A1","median",2.844954839,"adjective",6,12.38,4
11,"Abstract","A2","infamous",3.610607544,"adjective",8,11,1.76
11,"Concrete","A2","seabed",3.455403571,"adjective",6,10.89,4.33
12,"Abstract","A2","knowledge",4.744022119,"noun",9,7.68,1.73
12,"Concrete","A2","village",4.920424144,"noun",7,7.84,4.89
13,"Abstract","A1","relevant",4.082947527,"adjective",8,10.37,1.72
13,"Concrete","A1","marine",4.196931968,"adjective",6,9.8,4.25
14,"Abstract","A2","almighty",3.678459114,"name",8,8.47,1.9
14,"Concrete","A2","blackberry",3.553068223,"name",10,8.95,4.97
15,"Abstract","A2","stinginess",1.473886977,"noun",10,8.84,1.78
15,"Concrete","A2","stepchild",1.598825713,"noun",9,7.89,4.33
16,"Abstract","A1","righteousness",2.695735726,"noun",13,9.94,1.67
16,"Concrete","A1","photocopier",2.604220745,"noun",11,10.22,4.72
17,"Abstract","A2","uneasiness",1.899855709,"noun",10,9.37,1.82
17,"Concrete","A2","handmaiden",1.737128411,"noun",10,9.93,4.64
18,"Abstract","A1","suggestible",1.841863762,"adjective",11,11.16,1.79
18,"Concrete","A1","skintight",1.649978236,"adjective",9,11.39,4.14
19,"Abstract","A1","indicative",3.093675735,"adjective",10,12.05,1.75
19,"Concrete","A1","mortuary",2.928731837,"adjective",8,12.06,4.52
20,"Abstract","A2","charade",2.785640838,"noun",7,9.56,1.93
20,"Concrete","A2","bonbon",2.902561602,"noun",6,9.28,4.61
21,"Abstract","A2","aggravation",2.763921588,"noun",11,9.11,1.53
21,"Concrete","A2","pincushion",2.789157411,"noun",10,8.56,4.69
22,"Abstract","A2","truth",4.909890512,"noun",5,4.42,1.96
22,"Concrete","A2","bag",4.885787144,"noun",3,4.28,4.9
23,"Abstract","A1","intuitive",3.040128,"adjective",9,12.74,1.23
23,"Concrete","A1","sedative",3.0261495,"adjective",8,11.85,4.56
24,"Abstract","A1","sexless",2.275519323,"adjective",7,14.72,1.97
24,"Concrete","A1","opiate",2.403305902,"adjective",6,14.44,4.17
25,"Abstract","A2","heaven",4.601693425,"noun",6,4.22,1.81
25,"Concrete","A2","bell",4.537282891,"noun",4,3.89,4.96
26,"Abstract","A2","peacemaking",1.841863762,"noun",11,9.79,1.83
26,"Concrete","A2","drawstring",1.809679079,"noun",10,9.72,4.74
27,"Abstract","A1","totality",2.708572951,"noun",8,12,1.92
27,"Concrete","A1","genitalia",2.546994075,"noun",9,11.84,4.69
28,"Abstract","A1","ultra",3.572530702,"noun",5,9.27,1.55
28,"Concrete","A1","mascot",3.495076276,"noun",6,9.5,4.2
29,"Abstract","A2","positivity",2.990201952,"noun",10,11.61,1.86
29,"Concrete","A2","cartilage",2.899855709,"noun",9,10.94,4.71
30,"Abstract","A2","unreliable",3.18709742,"adjective",10,8.89,1.83
30,"Concrete","A2","charcoal",3.381477465,"adjective",8,8,4.85
31,"Abstract","A2","godliness",2.26393745,"noun",9,9.14,1.41
31,"Concrete","A2","comforter",2.172856981,"noun",9,8.61,4.7
32,"Abstract","A1","indescribable",2.729159482,"adjective",13,11.72,1.5
32,"Concrete","A1","invertebrate",2.604220745,"adjective",12,10.78,4
33,"Abstract","A1","bolster",3.042088701,"verb",7,12.5,1.89
33,"Concrete","A1","minced",3.229761832,"verb",6,13.06,4.04
34,"Abstract","A2","fun",5.309112361,"noun",3,3.67,1.97
34,"Concrete","A2","hand",5.436619257,"noun",4,2.74,4.72
35,"Abstract","A2","motive",3.607957783,"noun",6,11.06,1.5
35,"Concrete","A2","nudge",3.481065561,"noun",5,11.05,4.47
36,"Abstract","A1","mysterious",4.064951584,"adjective",10,9,1.96
36,"Concrete","A1","civilian",3.908455881,"adjective",8,9.76,4.25
37,"Abstract","A1","impracticality",1.394705731,"noun",14,12.89,1.85
37,"Concrete","A1","microcomputer",1.297795718,"noun",13,13.89,4.55
38,"Abstract","A2","impolite",2.34894824,"adjective",8,7.26,1.96
38,"Concrete","A2","bucketful",2.385931806,"adjective",9,7.05,4.45
39,"Abstract","A1","procrastination",2.18709742,"noun",15,11.63,1.96
39,"Concrete","A1","supercomputer",2.367833584,"noun",13,12.44,4
40,"Abstract","A1","advanced",4.006216618,"adjective",8,9.05,1.83
40,"Concrete","A1","paramedic",3.820565876,"adjective",9,9.89,4.74
41,"Abstract","A1","unassisted",1.996765722,"adjective",10,8.89,1.73
41,"Concrete","A1","treeless",2.093675735,"adjective",8,9.18,4.24
42,"Abstract","A1","unaided",2.659523554,"adjective",7,10.59,1.88
42,"Concrete","A1","corduroy",2.528244639,"adjective",8,10.47,4.56
43,"Abstract","A1","unbelieving",1.737128411,"adjective",11,10.94,1.69
43,"Concrete","A1","featherless",1.540833766,"adjective",11,10.33,4
44,"Abstract","A1","expressionism",2.559058586,"noun",13,14.39,1.71
44,"Concrete","A1","psychotherapist",2.576549318,"noun",15,15.06,4.16
45,"Abstract","A1","effortless",3.128705017,"adjective",10,9.78,1.96
45,"Concrete","A1","nicotine",3.061223711,"adjective",8,10.22,4.1
46,"Abstract","A2","catchy",3.311685778,"noun",6,8.74,1.79
46,"Concrete","A2","spades",3.355651926,"noun",6,7.99,4.53
47,"Abstract","A1","outrageousness",1.649978236,"noun",14,10.11,1.81
47,"Concrete","A1","groundskeeper",1.649978236,"noun",13,10.35,4.38
48,"Abstract","A2","sadness",3.721860243,"noun",7,5,1.82
48,"Concrete","A2","tortoise",3.820239951,"noun",8,5.88,4.87
49,"Abstract","A2","guilt",3.834038424,"noun",5,7.05,1.93
