"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
39,"Concrete","A2","sparrow",3.377880803,"noun",7,7.49,4.85
40,"Abstract","A2","lieu",2.712769065,"noun",4,11.65,1.73
40,"Concrete","A2","mauve",2.708572951,"noun",5,11.26,4
41,"Abstract","A2","majesty",4.301040772,"name",7,7.63,1.94
41,"Concrete","A2","plaid",4.164673532,"name",5,8.56,4.23
42,"Abstract","A1","unfeasible",1.974489327,"adjective",10,14.76,1.44
42,"Concrete","A1","colonoscopy",2.017955021,"adjective",11,15.76,4.16
43,"Abstract","A1","metaphor",3.479639305,"noun",8,11.59,1.94
43,"Concrete","A1","carcass",3.451610582,"noun",7,12.25,4.46
44,"Abstract","A1","discerning",3.103975692,"adjective",10,11.56,1.46
44,"Concrete","A1","prosthetic",3.007489587,"adjective",10,11.44,4.4
45,"Abstract","A2","dreamland",2.645125733,"noun",9,7.29,1.73
45,"Concrete","A2","cornfield",2.546994075,"noun",9,6.42,4.96
46,"Abstract","A2","moderation",2.969893575,"noun",10,10.79,1.9
46,"Concrete","A2","polyester",2.792645739,"noun",9,10.16,4.12
47,"Abstract","A1","vitality",3.011706072,"noun",8,12.94,1.78
47,"Concrete","A1","baguette",3.049844165,"noun",8,13.75,4.64
48,"Abstract","A2","whimsy",2.367833584,"noun",6,10.26,1.85
48,"Concrete","A2","winery",2.41173907,"noun",6,10.78,4.35
49,"Abstract","A2","befall",2.559058586,"verb",6,10.59,1.72
49,"Concrete","A2","clench",2.5019157,"verb",6,9.89,4.25
50,"Abstract","A2","liberty",4.029787167,"name",7,8.83,1.85
50,"Concrete","A2","afghan",4.211079619,"name",6,9.11,4.5
51,"Abstract","A1","adherence",2.239803771,"noun",9,12.22,1.5
51,"Concrete","A1","darkroom",2.358493558,"noun",8,11.67,4.45
52,"Abstract","A1","longevity",3.156633569,"noun",9,10.72,1.9
52,"Concrete","A1","organism",3.164083057,"noun",8,10.61,4.16
53,"Abstract","A2","amazed",4.156783818,"verb",6,7.17,1.52
53,"Concrete","A2","wrap",4.097308572,"verb",4,7,4.11
54,"Abstract","A2","wariness",1.774916972,"noun",8,11.88,1.73
54,"Concrete","A2","tailcoat",1.695735726,"noun",8,12.33,4.67
55,"Abstract","A2","calmness",2.752640578,"noun",8,8.21,1.83
55,"Concrete","A2","morsel",2.604220745,"noun",6,8.78,4.19
56,"Abstract","A1","timelessness",2.057463562,"noun",12,10.84,1.65
56,"Concrete","A1","infantryman",1.871826985,"noun",11,10.44,4.36
57,"Abstract","A1","instigation",2.200885705,"noun",11,12.47,1.67
57,"Concrete","A1","chairwoman",2.239803771,"noun",10,12.95,4.41
58,"Abstract","A2","pity",4.095236388,"noun",4,8.72,1.87
58,"Concrete","A2","herd",4.027365444,"noun",4,7.74,4.11
59,"Abstract","A2","glory",4.371605682,"noun",5,7.4,1.45
59,"Concrete","A2","rail",4.397130995,"noun",4,7.89,4.9
60,"Abstract","A2","charade",2.785640838,"noun",7,9.56,1.93
60,"Concrete","A2","server",2.933781829,"noun",6,9.94,4.55
61,"Abstract","A1","resultant",2.297795718,"adjective",9,13.67,1.92
61,"Concrete","A1","paraplegic",2.142893758,"adjective",10,13.53,4
62,"Abstract","A2","sin",3.95676056,"noun",3,6.74,1.85
62,"Concrete","A2","cab",4.027972142,"noun",3,6.94,4.88
63,"Abstract","A2","fantasy",3.995678626,"noun",7,8.4,1.59
63,"Concrete","A2","paperwork",4.045595808,"noun",9,7.53,4.63
64,"Abstract","A1","implicate",2.34894824,"verb",9,11.68,1.68
64,"Concrete","A1","corrode",2.358493558,"verb",7,11.44,4.04
65,"Abstract","A2","sympathy",4.052144053,"noun",8,8.79,1.88
65,"Concrete","A2","goalkeeper",4.133486289,"noun",10,8,4.5
66,"Abstract","A2","sadness",3.721860243,"noun",7,5,1.82
66,"Concrete","A2","gravy",3.86746218,"noun",5,6,4.97
67,"Abstract","A2","someplace",2.998931784,"noun",9,6.41,1.97
67,"Concrete","A2","lioness",3.015882012,"noun",7,7.41,4.43
68,"Abstract","A1","complication",3.161118578,"noun",12,9.5,1.86
68,"Concrete","A1","mathematician",3.326163601,"noun",13,9.17,4.38
69,"Abstract","A2","bonkers",3.746888249,"noun",7,8.28,1.76
69,"Concrete","A2","barge",3.596102855,"noun",5,9.28,4.66
70,"Abstract","A2","psyche",3.339188403,"noun",6,12.53,1.34
70,"Concrete","A2","lark",3.521810529,"noun",4,11.82,4.28
71,"Abstract","A1","survivability",1.540833766,"noun",13,11.7,1.71
71,"Concrete","A1","paleontologist",1.649978236,"noun",14,12.5,4.62
72,"Abstract","A1","overambitious",1.926184648,"adjective",13,12.53,1.86
72,"Concrete","A1","quadriplegic",1.899855709,"adjective",12,13.5,4.11
73,"Abstract","A2","whatnot",3.097136267,"noun",7,9.61,1.92
73,"Concrete","A2","seaman",3.070484072,"noun",6,9.45,4.42
74,"Abstract","A1","unlucky",4.266395396,"adjective",7,7.05,1.79
74,"Concrete","A1","blind",4.420011596,"adjective",5,7,4.03
75,"Abstract","A2","weirdness",2.625154652,"noun",9,8.61,1.93
75,"Concrete","A2","steamroller",2.508649083,"noun",11,7.67,4.79
76,"Abstract","A2","inspire",3.951972259,"verb",7,8.11,1.74
76,"Concrete","A2","whisk",3.823164504,"verb",5,8.72,4.33
77,"Abstract","A1","unexciting",1.951008231,"adjective",10,8.53,1.65
77,"Concrete","A1","sequined",2.017955021,"adjective",8,9.2,4.19
78,"Abstract","A1","bravery",3.834669666,"noun",7,8.32,1.96
78,"Concrete","A1","safari",3.827033523,"noun",6,8.44,4.14
79,"Abstract","A2","unkindness",1.809679079,"noun",10,7.68,1.96
79,"Concrete","A2","mountaintop",1.899855709,"noun",11,7.61,4.56
80,"Abstract","A2","forbid",3.340174316,"verb",6,8.47,1.96
80,"Concrete","A2","funnel",3.26393745,"verb",6,8.44,4.52
81,"Abstract","A1","handy",4.183298286,"adjective",5,7.35,1.88
81,"Concrete","A1","fried",4.163047789,"adjective",5,7.47,4.11
82,"Abstract","A2","concern",4.70014309,"noun",7,7.42,1.7
82,"Concrete","A2","material",4.569230708,"noun",8,8.06,4.26
83,"Abstract","A1","ungrateful",3.107355432,"adjective",10,9.15,1.63
83,"Concrete","A1","undercooked",3.196794988,"adjective",11,9.61,4.38
84,"Abstract","A1","disparity",2.974489327,"noun",9,12.5,1.78
84,"Concrete","A1","cornerstone",2.996765722,"noun",11,11.74,4.04
85,"Abstract","A1","spellbound",2.678006959,"adjective",10,10.33,1.62
85,"Concrete","A1","corduroy",2.528244639,"adjective",8,10.47,4.56
86,"Abstract","A2","infamy",2.508649083,"noun",6,10.56,1.75
86,"Concrete","A2","armband",2.66886358,"noun",7,10,4.67
87,"Abstract","A1","prodigal",2.756433567,"adjective",8,11.72,1.65
87,"Concrete","A1","manicured",2.880427157,"adjective",9,11.85,4.11
88,"Abstract","A1","impossibility",2.716925025,"noun",13,9.5,1.52
88,"Concrete","A1","photocopier",2.604220745,"noun",11,10.22,4.72
89,"Abstract","A2","democracy",4.416473703,"noun",9,10.17,1.78
89,"Concrete","A2","cathedral",4.306182948,"noun",9,10.58,4.86
90,"Abstract","A2","fairness",4.045207525,"noun",8,5.61,1.83
90,"Concrete","A2","lightning",4.000441624,"noun",9,4.76,4.59
91,"Abstract","A1","privacy",4.036576276,"noun",7,7.84,1.5
91,"Concrete","A1","click",4.062345437,"noun",5,6.94,4.03
92,"Abstract","A1","fond",3.980617441,"adjective",4,9.21,1.68
92,"Concrete","A1","naval",3.908987778,"adjective",5,9.7,4.14
93,"Abstract","A1","luckless",1.737128411,"adjective",8,8.61,1.9
93,"Concrete","A1","foxhound",1.809679079,"adjective",8,9.33,4.48
94,"Abstract","A2","fruition",3.13030463,"noun",8,12.12,1.82
94,"Concrete","A2","mincemeat",3.120617363,"noun",9,12.06,4.36
95,"Abstract","A2","nifty",3.198162846,"adjective",5,9.12,1.73
95,"Concrete","A2","silky",3.272077076,"adjective",5,9.1,4.12
96,"Abstract","A1","adventuresome",1.473886977,"adjective",13,10.38,1.79
96,"Concrete","A1","featherless",1.540833766,"adjective",11,10.33,4
97,"Abstract","A1","misrepresentation",2.521810529,"noun",17,12.72,1.55
97,"Concrete","A1","cinematographer",2.339188403,"noun",15,13.53,4.32
98,"Abstract","A1","reason",5.18989032,"noun",6,7.84,1.93
98,"Concrete","A1","mate",5.102820562,"noun",4,8.67,4.34
99,"Abstract","A1","infallible",2.68250746,"adjective",10,11.56,1.88
99,"Concrete","A1","foursome",2.508649083,"adjective",8,12.24,4
100,"Abstract","A1","indifferent",3.10566885,"adjective",11,10.47,1.89
100,"Concrete","A1","antibiotic",2.923622431,"adjective",10,9.53,4.43
101,"Abstract","A1","derivation",2.214249666,"noun",10,14.22,1.86
101,"Concrete","A1","afterbirth",2.239803771,"noun",10,14.06,4.57
102,"Abstract","A2","guilt",3.834038424,"noun",5,7.05,1.93
102,"Concrete","A2","hail",3.673459331,"noun",4,7.9,4.32
103,"Abstract","A1","adaptable",3.159628715,"adjective",9,9.37,1.85
103,"Concrete","A1","metallic",3.281196456,"adjective",8,9.63,4.03
104,"Abstract","A2","freewill",1.297795718,"noun",8,10.28,1.85
104,"Concrete","A2","broiler",1.473886977,"noun",7,9.63,4.83
105,"Abstract","A1","irregularity",2.308519583,"noun",12,12.63,1.86
105,"Concrete","A1","confectioner",2.34894824,"noun",12,13.13,4.08
106,"Abstract","A2","useless",4.097997109,"adjective",7,7.05,1.78
106,"Concrete","A2","blonde",3.919750538,"adjective",6,6.06,4.52
107,"Abstract","A1","likeability",1.996765722,"noun",11,10.5,1.71
107,"Concrete","A1","chickadee",1.951008231,"noun",9,9.79,4.52
108,"Abstract","A1","steadfast",2.534584817,"adjective",9,13.89,1.92
108,"Concrete","A1","lactose",2.598825713,"adjective",7,13.06,4.18
109,"Abstract","A1","whimsical",2.733162224,"adjective",9,11.11,1.93
109,"Concrete","A1","serrated",2.716925025,"adjective",8,11.29,4.04
110,"Abstract","A2","idleness",2.428129486,"noun",8,11.53,1.9
110,"Concrete","A2","hemlock",2.394705731,"noun",7,12.2,4.88
111,"Abstract","A2","outlook",3.814000452,"noun",7,10.65,1.97
111,"Concrete","A2","coroner",3.726335448,"noun",7,11.39,4.34
112,"Abstract","A2","pacification",1.809679079,"noun",12,12.52,1.76
112,"Concrete","A2","letterhead",1.996765722,"noun",10,12.17,4.31
113,"Abstract","A2","motive",3.607957783,"noun",6,11.06,1.5
113,"Concrete","A2","brewery",3.454647619,"noun",7,10.72,4.62
114,"Abstract","A1","unwillingness",2.428129486,"noun",13,9.47,1.8
114,"Concrete","A1","bullfighting",2.593362817,"noun",12,9.32,4.52
115,"Abstract","A2","damnation",2.733162224,"noun",9,8.94,1.56
115,"Concrete","A2","eardrum",2.546994075,"noun",7,7.95,4.58
116,"Abstract","A1","repent",2.865997442,"verb",6,8.53,1.96
116,"Concrete","A1","urinate",2.7000571,"verb",7,7.63,4.46
117,"Abstract","A2","future",5.300544768,"noun",6,7.16,1.86
117,"Concrete","A2","bank",5.280146112,"noun",4,6.44,4.78
118,"Abstract","A2","analogy",3.329204182,"noun",7,11.33,1.61
118,"Concrete","A2","birch",3.426518002,"noun",5,10.84,4.12
119,"Abstract","A2","powerlessness",1.951008231,"noun",13,10.33,1.81
119,"Concrete","A2","decapitation",2.057463562,"noun",12,10.68,4.25
120,"Abstract","A2","manner",4.173291058,"noun",6,6.83,1.62
120,"Concrete","A2","cotton",4.101423513,"noun",6,6,4.97
121,"Abstract","A1","ought",4.391480001,"verb",5,9.62,1.43
