,word_concrete,item_nr_concrete,condition_concrete,Zipf_concrete,PoS_concrete,Length_concrete,AoA_concrete,CNC_M_concrete,CNC_SD_concrete,word_abstract,item_nr_abstract,condition_abstract,Zipf_abstract,PoS_abstract,Length_abstract,AoA_abstract,CNC_M_abstract,CNC_SD_abstract,exclude?
39,dress,141,concrete,4.847258794,noun,5,4.05,4.93,0.26,mistake,141,abstract,4.791637005,noun,7,5.78,1.97,1,
40,vulva,144,concrete,1.899855709,noun,5,13.11,4.5,1.17,scruple,144,abstract,2.057463562,noun,7,11.84,1.92,1.02,x
41,busload,146,concrete,1.871826985,noun,7,7.47,4.12,1.15,overuse,146,abstract,2.057463562,noun,7,9.17,2.24,1.43,x
42,maize,147,concrete,3.10903549,noun,5,9.59,4.58,0.93,sanity,147,abstract,3.144442046,noun,6,10.29,1.85,1.23,
43,sketch,148,concrete,3.85379652,noun,6,9,4.56,0.7,curse,148,abstract,3.803623751,noun,5,7.47,2.39,1.34,
44,ground,149,concrete,5.189751101,noun,6,4.89,4.77,0.57,times,149,abstract,5.45582633,noun,5,6.7,2.07,1.16,
45,floss,155,concrete,3.270923571,noun,5,7.06,4.41,1.08,cruelty,155,abstract,3.550648749,noun,7,8.89,2.04,1.37,
46,spades,157,concrete,3.355651926,noun,6,7.99,4.53,0.9,whatnot,157,abstract,3.097136267,noun,7,9.61,1.92,1.32,x
47,leak,159,concrete,3.961496643,noun,4,5.47,4.28,1.14,loser,159,abstract,3.982416696,noun,5,6.67,2.35,1.33,
48,risotto,162,concrete,3.733560477,noun,7,16,4.36,1.45,respite,162,abstract,3.509983322,noun,7,14.31,1.77,1.14,
49,vampire,171,concrete,3.98016646,noun,7,7.16,4.18,1.36,pardon,171,abstract,4.144596572,noun,6,7.83,2.24,1.35,
50,egg,173,concrete,4.797035907,noun,3,3.89,4.97,0.18,yours,173,abstract,4.902183791,noun,5,4.51,2.14,1.33,x
51,rivet,179,concrete,2.822840525,noun,5,12.83,4.5,1,elation,179,abstract,2.976769093,noun,7,11.41,2.08,1.2,
52,stitch,180,concrete,3.597194048,noun,6,7.39,4.32,0.77,intent,180,abstract,3.853192494,noun,6,9.37,1.52,0.91,
53,analyst,187,concrete,3.482487148,noun,7,11.75,4.23,1.19,karma,187,abstract,3.294526233,noun,5,13.67,1.93,1.39,
54,pigment,194,concrete,3.072312683,noun,7,11.06,4.4,0.87,fiasco,194,abstract,3.267444558,noun,6,11.68,2.28,1.31,
55,flour,195,concrete,4.392703367,noun,5,6.89,4.97,0.19,memory,195,abstract,4.579851088,noun,6,6.4,2.38,1.52,
56,stone,198,concrete,4.837122781,noun,5,4.44,4.72,0.84,heaven,198,abstract,4.601693425,noun,6,4.22,1.81,1.47,
57,snorer,200,concrete,1.841863762,noun,6,7.79,4.23,0.99,doubter,200,abstract,1.926184648,noun,7,9.44,2.39,1.42,
58,lager,203,concrete,3.563792088,noun,5,14,4.64,0.99,homage,203,abstract,3.415067013,noun,6,13.72,2.17,1.42,
59,lube,204,concrete,2.172856981,noun,4,12.65,4,1.44,impure,204,abstract,2.428129486,noun,6,11.53,2,1.16,
60,head,221,concrete,5.60944364,noun,4,3.42,4.75,0.65,kind,221,abstract,5.602124647,noun,4,4.89,2.07,1.3,
61,drapery,225,concrete,2.515279662,noun,7,12,4.32,1.06,doting,225,abstract,2.691370921,noun,6,11.6,2.13,1.14,x
62,parfait,242,concrete,3.198162846,noun,7,10.76,4.68,0.9,defect,242,abstract,3.243510432,noun,6,10.26,2.48,1.22,
63,haircut,244,concrete,3.729159482,noun,7,4.05,4.77,0.71,sadness,244,abstract,3.721860243,noun,7,5,1.82,1.06,
64,bowler,248,concrete,3.553670991,noun,6,10.58,4.45,0.95,clarity,248,abstract,3.793340055,noun,7,10.55,2,1.1,
65,deli,254,concrete,3.079551092,noun,4,8.84,4.57,0.84,fad,254,abstract,3.011706072,noun,3,10.25,2.36,1.19,
66,garbage,256,concrete,3.449318785,noun,7,4.89,4.69,0.6,hurray,256,abstract,3.498509451,noun,6,5.25,2.48,1.55,
67,cowhide,265,concrete,1.841863762,noun,7,11.44,4.76,0.64,asinine,265,abstract,1.926184648,noun,7,12.71,1.67,0.92,x
68,quiz,266,concrete,4.573337406,noun,4,7.05,4.43,1,excuse,266,abstract,4.858628567,noun,6,6.33,2.29,1.33,
69,brim,271,concrete,2.994588803,noun,4,10.68,4.23,1.14,quirk,271,abstract,2.857103728,noun,5,11.39,2.25,1.27,
70,gypsy,275,concrete,3.591710459,noun,5,8.95,4.45,1.06,wrath,275,abstract,3.409226269,noun,5,10.17,2.42,1.33,x
71,bubble,278,concrete,4.161861597,noun,6,3.79,4.6,0.72,fuss,278,abstract,3.953654177,noun,4,5.5,2.43,1.41,
72,flare,283,concrete,3.290128277,noun,5,9.84,4.5,0.86,info,283,abstract,3.045983745,noun,4,9.37,2.39,1.5,
73,guava,287,concrete,2.227214643,noun,5,12.39,4.86,0.76,revelry,287,abstract,2.158133724,noun,7,12.67,2.23,1.27,
74,judo,289,concrete,3.293430912,noun,4,10.67,4.32,1.19,folly,289,abstract,3.296708622,noun,5,10.67,1.92,1.02,
