noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG
beggar,12,concrete,3.152101759,6,2,4,4,4.59,2.6207,647.8157895,0.63,6.258
blunder,12,abstract,3.020018181,7,2,6,6,2.35,3.4118,598.2631579,1.26,3.059
brake,13,concrete,3.839374961,5,1,4,2,4.44,4.8529,569.5294118,0.87,5.657
hint,13,abstract,3.948588757,4,1,4,4,2.33,5.7941,567.6666667,1.27,3.0
baggage,14,concrete,3.48602089,7,2,5,2,4.43,3.8065,560.9,1.1,6.0
gloom,14,abstract,3.603684248,5,1,4,4,1.86,2.8182,546.1578947,1.09,3.788
daughter,15,concrete,4.971346491,8,2,4,2,4.79,6.4118,535.55,0.5,5.879
reason,15,abstract,5.18989032,6,2,5,4,1.93,6.303,537.2,1.36,3.029
chess,16,concrete,3.905518741,5,1,3,4,4.7,5.3529,549.0540541,0.67,6.353
mercy,16,abstract,4.02370735,5,2,4,6,1.57,6.2286,569.5789474,0.73,3.229
beast,17,concrete,4.114037018,5,1,4,4,4.63,3.1364,563.9,0.67,5.563
loser,17,abstract,3.982416696,5,2,4,2,2.35,2.4118,575.9,1.33,3.559
cooker,18,concrete,3.787050886,6,2,4,10,4.22,5.25,646.6666667,0.97,6.514
mode,18,abstract,3.838750526,4,1,3,12,2.46,5.0,621.8611111,1.45,2.636
fireworks,19,concrete,3.900398238,9,2,7,4,4.86,7.3125,565.6578947,0.36,6.839
blessing,19,abstract,3.814331091,8,2,6,2,2.19,8.1143,549.0540541,1.27,3.576
blister,20,concrete,2.97219753,7,2,6,4,4.71,2.8788,539.1315789,0.85,6.314
disgust,20,abstract,3.262762092,7,2,7,6,2.19,2.3714,537.025,1.3,4.242
ground,21,concrete,5.189751101,6,1,5,2,4.77,5.4333,481.5128205,0.57,6.355
value,21,abstract,5.004641466,5,2,5,4,1.62,6.3939,512.45,0.88,2.563
night,22,concrete,5.650836325,5,1,3,2,4.52,5.9063,508.8421053,0.91,6.588
chance,22,abstract,5.455984759,6,1,4,4,1.64,6.4857,531.3,0.99,2.636
squash,23,concrete,3.924392684,6,1,5,2,4.7,4.1471,558.025,0.78,5.143
fuss,23,abstract,3.953654177,4,1,3,2,2.43,3.2121,589.7297297,1.41,3.677
packet,24,concrete,3.895216641,6,2,5,6,4.46,5.1818,535.675,0.79,5.909
myth,24,abstract,3.948588757,4,1,3,8,2.17,5.0286,567.8648649,1.36,3.194
bomb,25,concrete,4.491129061,4,1,3,2,4.84,1.5938,504.2777778,0.37,6.273
shame,25,abstract,4.723655863,5,1,3,4,2.24,2.2121,544.7567568,1.46,3.412
stab,26,concrete,3.873560698,4,1,4,4,4.07,1.8529,555.5135135,1.14,5.788
sin,26,abstract,3.95676056,3,1,3,2,1.85,2.0588,531.1081081,1.2,3.618
beer,27,concrete,4.47410407,4,1,3,4,4.88,5.5429,567.6388889,0.33,6.714
fame,27,abstract,4.182307877,4,1,3,4,1.96,6.0,567.65,1.08,4.063
book,28,concrete,5.209658815,4,1,3,2,4.9,6.7879,521.3611111,0.31,6.643
care,28,abstract,5.340331854,4,1,3,2,2.33,7.7188,524.3714286,1.14,3.212
monarch,29,concrete,3.847718122,7,2,6,6,4.14,5.3235,606.7142857,1.27,5.818
glamour,29,abstract,3.877579314,7,2,5,4,2.11,6.1515,560.3947368,1.15,4.0
forum,30,concrete,3.717338442,5,2,5,10,4.0,5.303,604.5789474,1.21,3.882
rating,30,abstract,3.855904019,6,2,5,8,2.26,5.0303,622.2,1.29,2.971
visa,31,concrete,3.649495418,4,2,4,12,4.38,5.4194,528.175,0.94,4.645
lust,31,abstract,3.375163623,4,1,4,10,2.15,5.5429,522.2162162,1.29,4.171
item,32,concrete,4.699626892,4,2,4,6,4.41,5.1471,538.5833333,0.87,4.647
limit,32,abstract,4.437989396,5,2,5,4,2.28,4.1471,580.1794872,1.33,2.529
prison,33,concrete,4.813371544,6,2,6,2,4.68,1.9032,510.3,0.67,6.0
trouble,33,abstract,5.082519966,7,2,6,4,2.25,2.3235,507.5945946,1.32,3.429
trophy,34,concrete,4.374436161,6,2,5,2,4.89,7.5429,579.825,0.42,6.559
skill,34,abstract,4.397907677,5,1,4,4,2.17,7.6129,574.05,1.29,3.419
shroud,35,concrete,2.838750526,6,1,4,12,4.34,4.1786,634.9714286,1.17,4.167
jargon,35,abstract,3.115691475,6,2,6,12,2.07,3.7333,637.9166667,1.13,2.719
pheasant,36,concrete,3.554874023,8,2,6,8,4.75,4.9412,645.25,0.59,6.177
inkling,36,abstract,3.375163623,7,2,6,10,2.25,5.6563,620.7741935,1.46,2.206
chef,37,concrete,4.69521426,4,1,3,6,4.3,5.8438,566.1111111,1.29,6.486
option,37,abstract,4.60502425,6,2,5,8,2.39,6.0857,519.0263158,1.45,3.118
dog,38,concrete,5.168214255,3,1,3,2,4.85,7.0667,525.175,0.46,6.889
truth,38,abstract,4.909890512,5,1,4,2,1.96,7.6857,503.9210526,1.4,2.677
groom,39,concrete,3.818933801,5,1,4,4,4.54,6.3333,570.2105263,0.96,5.886
notion,39,abstract,3.933279464,6,2,5,6,1.93,5.6774,568.5384615,1.01,2.219
dinner,40,concrete,4.770296194,6,2,4,2,4.5,6.8182,508.725,0.83,6.314
safety,40,abstract,4.846277268,6,2,5,2,2.37,7.0294,525.7368421,1.31,3.441
bread,41,concrete,4.691151525,5,1,4,2,4.92,5.7419,538.7837838,0.28,6.8
reserve,41,abstract,4.629425435,7,2,5,4,2.29,5.2581,548.0540541,1.41,3.281
battle,42,concrete,4.937082943,6,2,5,2,4.0,2.25,544.0277778,0.9,5.686
mistake,42,abstract,4.791637005,7,2,6,2,1.97,2.6667,561.1315789,1.0,3.429
petrol,43,concrete,4.241413876,6,2,6,8,4.29,4.5313,527.5128205,1.23,5.441
trend,43,abstract,4.017748165,5,1,5,10,2.42,5.5,562.125,1.27,3.212
clergy,44,concrete,3.362253707,6,2,5,10,4.03,4.7273,629.0571429,1.3,5.516
plight,44,abstract,3.520512189,6,1,4,10,2.04,3.7667,677.3428571,1.4,2.727
salt,45,concrete,4.693340514,4,1,4,2,4.89,5.0,512.4594595,0.32,6.324
effort,45,abstract,4.764848578,6,2,4,4,2.33,5.8788,555.2368421,1.33,3.353
puffin,46,concrete,3.298880099,6,2,5,13,4.38,5.4118,609.4,1.38,6.143
proxy,46,abstract,3.047918244,5,2,6,12,2.07,4.6296,648.9459459,1.18,2.286
throne,47,concrete,4.000226254,6,1,4,4,4.64,5.9714,590.2972973,0.99,6.471
method,47,abstract,4.12387052,6,2,5,6,2.41,5.75,571.925,1.43,2.882
lettuce,48,concrete,3.813669561,7,2,5,2,4.97,5.5,574.9189189,0.19,6.794
fiction,48,abstract,4.10549983,7,2,6,4,2.14,5.697,596.7179487,1.48,3.281
resort,49,concrete,4.112708899,6,2,6,6,4.3,5.8065,583.9736842,0.95,4.387
status,49,abstract,4.383532138,6,2,6,8,2.24,5.7059,546.8461538,1.43,3.471
street,50,concrete,5.195546483,6,1,5,2,4.75,5.3333,541.7837838,0.76,6.0
service,50,abstract,5.195079085,7,2,5,2,2.21,6.0,519.0,1.26,3.057
pastry,51,concrete,4.372429336,6,2,6,6,4.97,5.9714,580.9736842,0.18,6.485
outcome,51,abstract,4.279953838,7,2,5,8,2.27,5.7059,532.725,1.4,2.794
crab,52,concrete,4.208686806,4,1,4,4,4.9,5.0286,518.1842105,0.56,6.606
mood,52,abstract,4.502458229,4,1,3,6,1.75,5.3125,541.6923077,0.97,2.765
heart,53,concrete,5.299583497,5,1,4,2,4.52,7.6207,518.3589744,0.95,6.393
fun,53,abstract,5.309112361,3,1,3,2,1.97,8.4412,499.4473684,1.38,5.303
concert,54,concrete,4.234560715,7,2,6,4,4.35,7.2,531.3513514,0.8,6.364
romance,54,abstract,4.088959843,7,2,6,2,2.19,7.5588,535.65,1.3,4.857
lightning,55,concrete,4.000441624,9,2,6,4,4.59,4.8485,575.1714286,0.87,6.765
command,55,abstract,4.253002255,7,2,6,2,2.48,4.1875,566.0810811,1.24,3.484
wreck,56,concrete,3.960789515,5,1,3,2,4.07,2.8571,531.2972973,1.08,5.177
curse,56,abstract,3.803623751,5,1,3,4,2.39,1.9697,515.3589744,1.34,3.824
pasta,57,concrete,4.192941907,5,2,5,12,4.86,6.0323,551.0512821,0.36,6.636
closure,57,abstract,3.976769093,7,2,5,12,1.78,6.0,535.8888889,1.28,3.029
bridesmaid,58,concrete,3.454647619,10,2,8,6,4.41,7.0286,601.1315789,0.93,6.394
tranquil,58,abstract,3.443923753,8,2,8,8,1.9,7.697,636.9166667,0.96,4.029
mountain,59,concrete,4.6449305,8,2,6,4,4.96,6.1563,568.5263158,0.2,6.833
progress,59,abstract,4.677418454,8,2,7,6,2.12,7.129,540.6052632,1.21,3.364
stake,60,concrete,4.271731346,5,1,4,6,4.21,4.303,617.974359,1.26,3.909
version,60,abstract,4.536782192,7,2,5,6,1.7,5.1176,584.8378378,0.79,2.688
badger,61,concrete,3.97288634,6,2,4,8,4.37,4.9714,582.0,1.21,6.364
output,61,abstract,3.765033738,6,2,5,8,2.48,5.3824,579.6,1.6,2.677
vein,62,concrete,3.579397161,4,1,3,6,4.63,4.6667,585.1578947,0.93,6.242
pause,62,abstract,3.860385942,5,1,3,6,2.38,4.9394,535.175,1.21,3.182
midwife,63,concrete,3.593362817,7,2,6,12,4.56,6.7143,605.7567568,0.89,5.912
virtue,63,abstract,3.514621141,6,2,4,10,1.62,7.6176,583.825,1.12,2.343
metal,64,concrete,4.631746522,5,2,5,4,4.87,5.0968,510.15,0.35,5.903
scheme,64,abstract,4.689568593,6,1,4,6,2.41,4.3939,539.4054054,1.19,3.182
morgue,65,concrete,3.115691475,6,1,4,6,4.62,2.4063,689.4411765,0.92,5.706
deceit,65,abstract,3.013799061,6,2,5,8,2.37,2.2121,678.0277778,1.13,2.371
medal,66,concrete,4.637048352,5,2,5,4,4.89,7.7273,545.0540541,0.42,6.618
freedom,66,abstract,4.643757259,7,2,6,4,2.34,8.5588,502.5897436,1.4,3.429
rash,67,concrete,3.612715774,4,1,3,6,4.62,2.8286,556.5945946,0.68,5.147
greed,67,abstract,3.629223014,5,1,4,6,1.53,2.2647,556.3333333,0.73,3.636
trap,68,concrete,4.218831564,4,1,4,2,4.3,2.9706,541.0833333,0.93,5.636
anger,68,abstract,4.303726585,5,2,4,2,2.41,2.5294,532.3684211,1.32,4.758
dagger,69,concrete,3.281196456,6,2,4,4,4.96,2.7429,569.6756757,0.19,6.606
boredom,69,abstract,3.261583545,7,2,6,6,1.96,2.4286,555.575,1.32,3.771
taste,70,concrete,4.946984489,5,1,4,2,4.07,6.9394,509.0,1.39,3.088
trust,70,abstract,5.018037736,5,1,5,2,2.04,7.3548,514.1842105,1.29,2.735
port,71,concrete,4.491059491,4,1,4,4,4.41,5.1176,541.3783784,1.18,5.177
drama,71,abstract,4.519144741,5,2,5,6,2.34,4.4706,575.9189189,1.37,3.735
pulse,72,concrete,3.928731837,5,1,4,6,4.19,6.0588,573.3947368,0.88,5.177
outlook,72,abstract,3.814000452,7,2,5,6,1.97,5.9697,587.1794872,1.38,3.353
mother,73,concrete,5.288977475,6,2,4,2,4.6,8.3143,506.7179487,0.72,6.594
idea,73,abstract,5.564656286,4,3,4,2,1.61,7.5588,484.05,1.2,2.971
husband,74,concrete,4.94466486,7,2,7,2,4.11,6.6765,535.2307692,1.22,5.853
language,74,abstract,4.819587367,8,2,7,2,2.35,6.7667,554.4358974,1.5,2.484
stance,75,concrete,3.739098004,6,1,5,10,4.04,5.6364,610.2820513,1.16,3.886
essence,75,abstract,3.964313698,7,2,5,10,1.66,6.0909,581.027027,1.08,2.471
corpse,76,concrete,3.413406229,6,1,5,6,4.89,2.5161,565.1351351,0.42,5.968
hatred,76,abstract,3.648043736,6,2,6,6,2.0,1.6774,582.7567568,1.2,3.032
lager,77,concrete,3.563792088,5,2,4,12,4.64,5.8387,650.32,0.99,6.0
norm,77,abstract,3.52375079,4,1,4,14,2.11,4.9118,692.7407407,1.1,2.516
wave,78,concrete,4.55330943,4,1,3,2,4.55,6.3235,525.5263158,1.02,6.265
soul,78,abstract,4.526773212,4,1,3,2,1.86,7.1515,531.1428571,1.33,2.912
bugle,79,concrete,3.013799061,5,2,6,6,4.84,4.8,667.1111111,0.47,5.136
folly,79,abstract,3.296708622,5,2,4,8,1.92,4.3571,650.9230769,1.02,2.778
mansion,80,concrete,3.841553441,7,2,6,4,4.89,6.6452,614.3513514,0.58,6.419
consent,80,abstract,3.863643536,7,2,7,6,2.08,6.5152,572.85,1.16,3.147
toga,81,concrete,2.576549318,4,2,4,10,4.73,5.5313,663.75,0.83,5.97
zeal,81,abstract,2.809679079,4,1,3,10,2.33,6.4286,654.9655172,1.33,2.826
gadget,82,concrete,3.683401991,6,2,5,6,4.6,6.4545,564.8,0.89,5.714
leisure,82,abstract,3.906054246,7,2,4,6,2.03,7.2353,580.2777778,1.32,4.177
traffic,83,concrete,4.537032614,7,2,6,2,4.67,3.0,553.5833333,0.62,6.103
fault,83,abstract,4.751801656,5,1,4,4,2.41,2.8529,601.7368421,1.45,2.5
doctor,84,concrete,5.021887178,6,2,5,2,4.69,6.1176,498.2105263,0.81,6.546
interest,84,abstract,5.048574016,8,2,7,4,1.8,7.0,529.925,1.12,3.143
piston,85,concrete,2.931264173,6,2,6,8,4.81,4.7,671.46875,0.56,5.444
doctrine,85,abstract,3.16995199,8,2,7,10,2.12,4.8571,637.1891892,1.18,2.839
tripod,86,concrete,3.036179841,6,2,6,10,4.72,5.2903,624.6756757,0.84,6.177
tact,86,abstract,2.883256447,4,1,4,10,1.76,5.7576,576.5675676,1.12,2.371
hydrant,87,concrete,2.34894824,7,2,7,6,4.76,5.0303,688.7428571,0.64,5.4
pronoun,87,abstract,2.093675735,7,2,6,6,2.48,5.2571,646.2,1.55,2.6
lynx,88,concrete,3.164083057,4,1,5,13,4.5,5.75,641.2121212,1.2,5.97
allure,88,abstract,2.943708993,6,2,4,13,1.92,6.0,648.0,1.29,2.594
ditch,89,concrete,3.915843814,5,1,3,4,4.5,3.375,579.6111111,0.9,4.938
pity,89,abstract,4.095236388,4,2,4,4,1.87,3.2258,614.8157895,1.14,3.344
picture,90,concrete,5.126213914,7,2,5,2,4.52,6.1176,510.1282051,1.01,5.969
future,90,abstract,5.300544768,6,2,5,4,1.86,6.5313,487.5384615,1.3,3.667
barrel,91,concrete,4.058595029,6,2,5,4,4.86,4.9394,548.7368421,0.44,6.469
function,91,abstract,4.062345437,8,2,7,6,1.92,5.7647,571.3589744,1.0,3.029
pudding,92,concrete,4.439558948,7,2,5,2,4.9,6.5,576.6315789,0.3,6.029
heaven,92,abstract,4.601693425,6,2,5,2,1.81,7.4571,530.4871795,1.47,4.457
cake,93,concrete,4.805415495,4,1,3,2,4.81,7.2121,506.6486486,0.68,6.686
joy,93,abstract,4.525939325,3,1,2,2,2.37,8.0606,531.8157895,1.52,4.941
banker,94,concrete,3.728354487,6,2,5,4,4.43,3.6563,566.0,1.14,5.882
shortage,94,abstract,3.918452197,8,2,6,4,2.46,2.8824,611.4210526,1.32,3.559
troll,95,concrete,3.322076094,5,1,4,6,4.28,3.0286,636.3333333,1.16,5.686
setback,95,abstract,3.51396162,7,2,6,8,1.97,3.0606,620.4285714,1.13,3.25
fungus,96,concrete,3.483904097,6,2,6,10,4.59,3.3824,627.1388889,0.78,5.829
remorse,96,abstract,3.289021793,7,2,6,10,2.0,3.7576,588.6111111,1.05,2.879
church,97,concrete,5.019441484,6,1,3,2,4.9,4.4063,502.8648649,0.41,6.467
risk,97,abstract,4.984833925,4,1,4,2,1.63,3.4706,517.225,0.81,3.125
chasm,98,concrete,2.994588803,5,2,5,10,4.24,4.0,670.90625,1.2,4.115
ploy,98,abstract,3.088432679,4,1,3,12,2.21,3.7576,687.4375,1.15,2.516
froth,99,concrete,3.009602947,5,1,4,10,4.14,4.9412,667.8235294,1.15,5.613
upkeep,99,abstract,3.017955021,6,2,5,12,2.44,5.6061,674.0555556,1.37,2.5
swan,100,concrete,3.983761262,4,1,4,4,4.96,6.7419,566.3421053,0.19,6.829
thrill,100,abstract,3.858300133,6,1,4,2,2.46,7.6061,539.475,1.53,4.156
vessel,101,concrete,3.934032794,6,2,5,6,4.66,5.0882,588.1944444,0.67,5.529
fate,101,abstract,4.224395371,4,1,3,8,1.53,5.3333,608.0294118,0.97,2.441
mosque,102,concrete,3.81034671,6,1,4,13,4.54,5.2667,609.2051282,0.92,6.258
verge,102,abstract,3.645125733,5,1,3,12,2.32,4.6176,599.1891892,1.31,4.344
rhino,103,concrete,3.896859623,5,2,4,6,4.9,5.3529,592.0789474,0.3,6.829
phase,103,abstract,4.142117538,5,1,3,8,2.46,5.0882,617.1944444,1.26,2.971
wine,104,concrete,4.842080855,4,1,3,4,4.79,6.2286,523.0,0.5,6.618
role,104,abstract,4.943978809,4,1,3,6,2.19,5.6875,504.3783784,1.27,3.226
laughter,105,concrete,3.843102834,8,2,5,6,4.22,8.2258,532.5789474,1.34,5.188
triumph,105,abstract,4.010866043,7,2,6,6,2.17,8.2941,557.6410256,1.36,4.065
strike,106,concrete,4.728596142,6,1,5,2,4.07,3.4242,508.0,1.24,5.147
excuse,106,abstract,4.858628567,6,2,7,4,2.29,3.6364,550.225,1.33,2.794
door,107,concrete,5.259750452,4,1,3,2,4.81,5.3548,498.4473684,0.65,6.686
power,107,abstract,5.289376175,5,2,3,4,2.04,5.7813,519.0857143,1.34,3.818
bomber,108,concrete,3.859791018,6,2,4,4,4.45,2.0667,637.925,0.93,4.9
nuisance,108,abstract,3.697901788,8,2,6,6,2.19,2.6857,626.7647059,1.27,3.314
weapon,109,concrete,4.291342161,6,2,5,4,4.76,2.3438,525.75,0.44,6.156
madness,109,abstract,4.029384483,7,2,6,6,1.97,2.6765,532.8717949,1.2,3.324
applause,110,concrete,4.209884861,8,2,5,2,4.29,7.8235,541.775,0.9,5.914
courage,110,abstract,4.208953326,7,2,4,4,1.52,8.2353,539.275,0.99,3.697
girl,111,concrete,5.293452846,4,1,3,2,4.85,6.5,542.027027,0.46,6.531
health,111,abstract,5.1396399,6,1,4,2,2.28,7.3939,542.9230769,1.22,4.727
novel,112,concrete,4.429173753,5,2,5,6,4.21,6.4848,536.55,1.15,5.452
culture,112,abstract,4.725444089,7,2,5,6,2.04,6.8824,526.175,1.34,3.853
venom,113,concrete,3.755677614,5,2,5,10,4.62,2.5758,621.2702703,0.92,4.457
ordeal,113,abstract,3.632249469,6,2,5,10,2.04,2.6,625.5263158,1.15,3.429
shotgun,114,concrete,3.487426375,7,2,6,2,4.96,2.6,538.6923077,0.19,6.765
sorrow,114,abstract,3.562613541,6,2,4,2,2.36,2.0606,527.972973,1.39,3.6
slime,115,concrete,3.57079699,5,1,4,6,4.48,3.0,583.0540541,0.83,5.667
despair,115,abstract,3.809010419,7,2,6,6,2.21,2.0303,577.9473684,1.32,3.706
tomb,116,concrete,3.693558807,4,1,3,6,4.73,3.0645,575.8157895,0.78,5.967
guilt,116,abstract,3.834038424,5,1,4,6,1.93,2.2121,564.3513514,1.36,3.0
click,117,concrete,4.062345437,5,1,4,6,4.03,5.0294,532.5277778,1.25,5.257
aspect,117,abstract,4.235940026,6,2,6,8,1.82,5.5313,546.9189189,1.1,1.943
audience,118,concrete,4.859910068,8,3,6,4,4.29,5.9032,543.2972973,0.9,6.065
attempt,118,abstract,4.600883728,7,2,6,6,2.22,5.8286,529.7,1.09,3.0
vomit,119,concrete,3.45615821,5,2,5,8,4.75,2.5429,544.1538462,0.65,6.559
neglect,119,abstract,3.647558762,7,2,7,6,2.26,1.5714,566.5,0.98,4.057
children,120,concrete,5.528346814,8,2,7,2,4.89,6.3,530.5675676,0.32,6.067
moment,120,abstract,5.574383885,6,2,6,2,1.61,5.8667,532.1315789,1.1,2.645
treasure,121,concrete,4.458939027,8,2,5,2,4.32,7.8235,499.5135135,1.02,6.143
pleasure,121,abstract,4.662909149,8,2,5,2,2.04,8.0909,534.5263158,1.26,3.677
singer,122,concrete,4.482345199,6,2,4,2,4.62,6.8571,558.6486486,0.86,6.382
talent,122,abstract,4.578999586,6,2,6,4,2.19,7.5938,517.9230769,1.14,4.364
daylight,123,concrete,3.889972475,8,2,5,2,4.1,7.6471,540.0526316,1.11,6.273
wisdom,123,abstract,3.922335631,6,2,6,2,1.53,8.1875,564.4210526,0.86,2.5
laugh,124,concrete,4.773430592,5,1,3,2,4.21,8.4118,534.3421053,1.1,5.618
peace,124,abstract,4.743399921,5,1,3,2,1.62,8.6471,530.7894737,1.35,4.0
ulcer,125,concrete,2.863053061,5,2,4,10,4.69,2.9118,618.8787879,0.76,5.657
strife,125,abstract,3.158133724,6,1,5,12,2.2,3.4545,644.03125,1.45,3.394
carcass,126,concrete,3.451610582,7,2,6,10,4.46,2.6,705.2333333,1.17,5.531
dissent,126,abstract,3.21687381,7,2,6,12,2.17,3.1,685.7666667,1.13,2.781
court,127,concrete,5.103194617,5,1,4,4,4.31,4.1333,528.5789474,1.19,5.594
issue,127,abstract,5.182392858,5,2,3,6,2.37,3.6765,518.55,1.52,3.029
smile,128,concrete,4.712518439,5,1,4,2,4.5,8.2813,571.6578947,0.75,6.576
success,128,abstract,4.91626221,7,2,6,4,2.21,8.3529,528.5263158,1.37,4.143
bongo,129,concrete,3.038158407,5,2,5,6,4.77,6.0303,648.6969697,0.43,5.97
truce,129,abstract,3.188496115,5,1,4,6,2.47,6.9677,656.7058824,1.31,3.75
hug,130,concrete,4.130783368,3,1,3,2,4.14,8.2059,536.775,1.21,6.212
cure,130,abstract,4.138528952,4,1,4,4,2.41,8.0,553.9166667,1.38,2.844
gorge,131,concrete,3.522458246,5,1,4,6,4.15,4.4839,655.03125,1.29,4.588
plea,131,abstract,3.634755503,4,1,3,8,2.39,3.6,649.972973,1.23,3.4
dungeon,132,concrete,3.136644808,7,2,6,4,4.32,2.3636,567.1081081,1.18,6.118
treason,132,abstract,3.30426176,7,2,6,6,2.03,1.8182,615.5789474,1.12,2.969
missile,133,concrete,3.664218675,7,2,5,4,4.83,2.3438,615.3589744,0.38,6.281
hardship,133,abstract,3.521810529,8,2,7,4,1.79,2.0606,659.2285714,0.9,3.849
portrait,134,concrete,4.183298286,8,2,7,6,4.9,5.7576,619.7567568,0.31,6.152
instinct,134,abstract,4.006853569,8,2,8,8,2.0,6.697,627.9166667,1.14,2.529
slum,135,concrete,3.320017822,4,1,4,6,4.03,2.25,634.1081081,0.98,5.387
woe,135,abstract,3.174302222,3,1,2,8,1.96,2.4194,612.9444444,1.37,2.71
grave,136,concrete,4.198162846,5,1,4,2,4.56,2.4242,524.75,0.8,6.241
failure,136,abstract,4.432371224,7,2,5,4,2.08,1.7222,520.0,1.06,3.794
syringe,137,concrete,3.122246988,7,2,5,10,4.81,3.4375,675.1944444,0.57,6.4
wrath,137,abstract,3.409226269,5,1,3,12,2.42,2.6364,627.3243243,1.33,2.875
