display,randomise_trials,option1,option2,correct_answer,condition_choose
trial_experimental,1,cutting tool,shears,right,more
trial_experimental,1,pasta,Italian food,left,more
trial_experimental,1,sloth,slow animal,left,more
trial_experimental,1,small boat,boat,right,more
trial_experimental,1,mammal,marsupial,left,more
trial_experimental,1,striped horse,zebra,left,more
trial_experimental,1,person,solitary person,left,more
trial_experimental,1,anthology,poetry collection,left,more
trial_experimental,1,bronze,brown alloy,left,more
trial_experimental,1,river,narrow river,right,more
trial_experimental,1,cook,professional cook,right,more
trial_experimental,1,cocktail,mixed drink,right,more
trial_experimental,1,bird,diving bird,left,more
trial_experimental,1,large poultry,poultry,left,more
trial_experimental,1,durian,thorny fruit,left,more
trial_experimental,1,grape,fruit,left,more
trial_experimental,1,Chihuahua,dog,left,more
trial_experimental,1,orange vegetable,vegetable,right,more
trial_experimental,1,expensive boat,yacht,right,more
trial_experimental,1,agricultural vehicle,tractor,right,more
trial_experimental,1,whiskey,smoky liquor,left,more
trial_experimental,1,small boat,canoe,left,more
trial_experimental,1,loaf,baguette,left,more
trial_experimental,1,gem,emerald,right,more
trial_experimental,1,icicle,frozen stick,right,more
trial_experimental,1,tree,tropical tree,left,more
trial_experimental,1,helmet,protective hat,left,more
trial_experimental,1,tined utensil,utensil,right,more
trial_experimental,1,fast cat,cheetah,right,more
trial_experimental,1,boy,young male,right,more
trial_experimental,1,hat,beret,left,more
trial_experimental,1,building,industrial building,right,more
trial_experimental,1,yellow flower,flower,left,more
trial_experimental,1,brown alloy,alloy,left,more
trial_experimental,1,tortoise,shelled reptile,left,more
trial_experimental,1,wooden shoe,shoe,left,more
trial_experimental,1,spherical vegetable,pea,left,more
trial_experimental,1,crime,shoplifting,right,more
trial_experimental,1,Japanese dish,dish,left,more
trial_experimental,1,kernelled vegetable,vegetable,right,more
trial_experimental,1,residential building,building,left,more
trial_experimental,1,cook,chef,left,more
trial_experimental,1,storm,violent weather,right,more
trial_experimental,1,building,factory,right,more
trial_experimental,1,instrument,grasping instrument,right,more
