display,randomise_trials,option1,option2,correct_answer,condition_choose
trial_experimental,1,warm bedding,blanket,left,less
trial_experimental,1,gem,sapphire,left,less
trial_experimental,1,protesting crowd,crowd,right,less
trial_experimental,1,gooey cheese,cheese,right,less
trial_experimental,1,horse,striped horse,left,less
trial_experimental,1,ringed planet,planet,right,less
trial_experimental,1,mansion,house,right,less
trial_experimental,1,flu,seasonal illness,right,less
trial_experimental,1,large poultry,poultry,right,less
trial_experimental,1,whiskey,smoky liquor,right,less
trial_experimental,1,portable computer,laptop,left,less
trial_experimental,1,fast cat,cheetah,left,less
trial_experimental,1,large poultry,turkey,left,less
trial_experimental,1,ointment,topical cream,right,less
trial_experimental,1,banana,fruit,right,less
trial_experimental,1,clogs,shoe,right,less
trial_experimental,1,ointment,cream,right,less
trial_experimental,1,smoky liquor,liquor,right,less
trial_experimental,1,car,luxurious car,left,less
trial_experimental,1,bird,nocturnal bird,left,less
trial_experimental,1,boat,canoe,left,less
trial_experimental,1,purple fruit,fruit,right,less
trial_experimental,1,pug,dog,right,less
trial_experimental,1,limousine,luxurious car,right,less
trial_experimental,1,medical vehicle,ambulance,left,less
trial_experimental,1,horse-drawn vehicle,chariot,left,less
trial_experimental,1,music,melodic sound,right,less
trial_experimental,1,knob,round handle,right,less
trial_experimental,1,drink,mixed drink,left,less
trial_experimental,1,purple fruit,grape,left,less
trial_experimental,1,cutting tool,shears,left,less
trial_experimental,1,warm clothing,clothing,right,less
trial_experimental,1,transport,bus,left,less
trial_experimental,1,helmet,protective hat,right,less
trial_experimental,1,bus,public transport,right,less
trial_experimental,1,beret,French hat,right,less
trial_experimental,1,purple vegetable,vegetable,right,less
trial_experimental,1,tortoise,shelled reptile,right,less
trial_experimental,1,reptile,shelled reptile,left,less
trial_experimental,1,large house,house,right,less
trial_experimental,1,reptile,large reptile,left,less
trial_experimental,1,yellow flower,flower,right,less
trial_experimental,1,small boat,boat,right,less
trial_experimental,1,bedding,warm bedding,left,less
trial_experimental,1,plan,ploy,left,less
trial_experimental,1,vehicle,chariot,left,less
trial_experimental,1,Japanese dish,dish,right,less
trial_experimental,1,striped horse,zebra,left,less
trial_experimental,1,person,solitary person,left,less
trial_experimental,1,kebab,meat,right,less
trial_experimental,1,guide dog,labrador,left,less
trial_experimental,1,vegetable,starchy vegetable,left,less
trial_experimental,1,submarine,vehicle,right,less
trial_experimental,1,backless steat,stool,left,less
trial_experimental,1,vegetable,lettuce,left,less
trial_experimental,1,ruby,gem,right,less
trial_experimental,1,empress,female ruler,right,less
trial_experimental,1,shark,marine predator,right,less
trial_experimental,1,fruits,crisp fruit,left,less
trial_experimental,1,product,beauty product,left,less
trial_experimental,1,bronze,brown alloy,right,less
trial_experimental,1,chihuahua,dog,right,less
trial_experimental,1,tomato sauce,sauce,right,less
trial_experimental,1,male,boy,left,less
trial_experimental,1,naval rank,admiral,left,less
trial_experimental,1,pug,wrinkly dog,right,less
trial_experimental,1,crisps,potato snacks,right,less
trial_experimental,1,predator,marine predator,left,less
trial_experimental,1,tropical tree,palm,left,less
trial_experimental,1,flounder,flat fish,right,less
trial_experimental,1,black cat,panther,left,less
trial_experimental,1,icicle,stick,right,less
trial_experimental,1,bird,small bird,left,less
trial_experimental,1,gooey cheese,brie,left,less
trial_experimental,1,spade,tool,right,less
trial_experimental,1,device,phone,left,less
trial_experimental,1,pearl,lustrous sphere,right,less
trial_experimental,1,light meal,snack,left,less
trial_experimental,1,thorny flower,flower,right,less
trial_experimental,1,seasonal illness,illness,right,less
trial_experimental,1,tree,palm,left,less
trial_experimental,1,bagel,ring-shaped bread,right,less
trial_experimental,1,vegetable,potato,left,less
trial_experimental,1,BMW,car,right,less
trial_experimental,1,sculpture,bust,left,less
trial_experimental,1,jumper,clothing,right,less
trial_experimental,1,school,institution,right,less
trial_experimental,1,cat,cheetah,left,less
trial_experimental,1,green gem,emerald,left,less
trial_experimental,1,cardinal,bird,right,less
trial_experimental,1,boat,expensive boat,left,less
trial_experimental,1,small bird,robin,left,less
trial_experimental,1,handle,knob,left,less
trial_experimental,1,yellow fruit,banana,left,less
trial_experimental,1,watermelon,juicy fruit,right,less
trial_experimental,1,odour,stench,left,less
trial_experimental,1,meal,snack,left,less
trial_experimental,1,daffodil,yellow flower,right,less
