display,randomise_trials,option1,option2,correct_answer,condition_choose
trial_experimental,1,violin,stringed instrument,right,specific
trial_experimental,1,kiwi,fuzzy fruit,right,specific
trial_experimental,1,bird,kingfisher,left,specific
trial_experimental,1,topical cream,cream,left,specific
trial_experimental,1,utensil,fork,right,specific
trial_experimental,1,brie,cheese,right,specific
trial_experimental,1,cutting tool,shears,right,specific
trial_experimental,1,pasta,Italian food,left,specific
trial_experimental,1,sloth,slow animal,left,specific
trial_experimental,1,small boat,boat,right,specific
trial_experimental,1,mammal,marsupial,left,specific
trial_experimental,1,striped horse,zebra,left,specific
trial_experimental,1,person,solitary person,left,specific
trial_experimental,1,anthology,poetry collection,left,specific
trial_experimental,1,bronze,brown alloy,left,specific
trial_experimental,1,river,narrow river,right,specific
trial_experimental,1,cook,professional cook,right,specific
trial_experimental,1,cocktail,mixed drink,right,specific
trial_experimental,1,bird,diving bird,left,specific
trial_experimental,1,large poultry,poultry,left,specific
trial_experimental,1,durian,thorny fruit,left,specific
trial_experimental,1,grape,fruit,left,specific
trial_experimental,1,Chihuahua,dog,left,specific
trial_experimental,1,orange vegetable,vegetable,right,specific
trial_experimental,1,expensive boat,yacht,right,specific
trial_experimental,1,agricultural vehicle,tractor,right,specific
trial_experimental,1,whiskey,smoky liquor,left,specific
trial_experimental,1,small boat,canoe,left,specific
trial_experimental,1,loaf,baguette,left,specific
trial_experimental,1,gem,emerald,right,specific
trial_experimental,1,icicle,frozen stick,right,specific
trial_experimental,1,tree,tropical tree,left,specific
trial_experimental,1,helmet,protective hat,left,specific
trial_experimental,1,tined utensil,utensil,right,specific
trial_experimental,1,fast cat,cheetah,right,specific
trial_experimental,1,boy,young male,right,specific
trial_experimental,1,hat,beret,left,specific
trial_experimental,1,building,industrial building,right,specific
trial_experimental,1,yellow flower,flower,left,specific
trial_experimental,1,brown alloy,alloy,left,specific
trial_experimental,1,tortoise,shelled reptile,left,specific
trial_experimental,1,wooden shoe,shoe,left,specific
trial_experimental,1,spherical vegetable,pea,left,specific
trial_experimental,1,crime,shoplifting,right,specific
trial_experimental,1,Japanese dish,dish,left,specific
trial_experimental,1,kernelled vegetable,vegetable,right,specific
trial_experimental,1,residential building,building,left,specific
